Line,Gen,is_cluster_id,min_dist,head_qend,tail_qstart,min_i,min_j,raw_dist,min_start_raw,min_end_raw,flank_dist,dir
L01-4,2,1,4663,2999,1,699,704,4664,1198064,1202728,4663,True
L01-4,2,2,3094,2999,1,705,707,3095,1215836,1218931,3094,True
L01-4,2,3,3094,2999,1,785,786,3095,1418450,1421545,3094,True
L01-4,2,4,4663,2999,1,789,790,4664,1512549,1517213,4663,True
L01-4,2,5,3094,2999,1,791,794,3095,1840908,1844003,3094,True
L01-4,2,6,3094,2999,1,795,798,3095,2140591,2143686,3094,True
L01-4,2,7,3093,2999,1,800,801,3094,2189489,2192583,3093,True
L01-4,2,8,3093,2999,1,802,803,3094,2278042,2281136,3093,True
L01-4,2,9,4662,2999,1,804,805,4663,2465257,2469920,4662,True
L01-4,2,10,3094,2999,1,809,832,3095,2599875,2602970,3094,True
L01-4,2,11,3094,1397,1,834,835,4697,2710563,2713658,3094,True
L01-4,2,12,3093,2999,1,836,839,3094,2903808,2906902,3093,True
L01-4,2,13,1143653,2757,1,843,845,1143894,2371635,3515287,-1143653,False
L01-4,2,14,4661,2999,1415,849,852,6076,3616165,3620827,4661,True
L01-4,2,15,3095,2670,1,853,854,3425,4007993,4011089,3095,True
L01-4,2,16,4646,2999,1,855,856,4647,4105560,4110207,4646,True
L02-1,1,0,3093,2999,1,858,861,3094,1279068,1282162,3093,True
L02-1,1,1,3094,2999,1,862,863,3095,1522328,1525423,3094,True
L02-1,1,2,3094,2999,1,864,865,3095,1670849,1673944,3094,True
L02-1,1,3,3093,2999,1,866,874,3094,2284979,2288073,3093,True
L02-1,1,4,3094,2999,1,875,876,3095,2380665,2383760,3094,True
L02-1,1,5,3094,2999,1,877,878,3095,2660331,2663426,3094,True
L02-1,1,6,3094,2999,1,881,889,3095,2900297,2903392,3094,True
L02-1,1,7,3092,2059,1,891,901,4033,3041023,3044116,3092,True
L02-1,1,8,3294821,2999,2427,902,953,-3292394,3353291,58471,-3294821,True
L02-1,1,9,3094,2999,1,969,970,3095,3467723,3470818,3094,True
L02-1,1,10,3094,2999,1,972,974,3095,3670984,3674079,3094,True
L02-1,1,11,3094,2999,1,1044,1046,3095,3783382,3786477,3094,True
L02-1,1,12,3743,2999,1,1048,1049,3744,3802977,3806721,3743,True
L02-1,1,13,3101,599,5,1053,1054,5506,3933830,3936932,3101,True
L02-1,1,14,3095,1846,1,1055,1056,4249,4034296,4037392,3095,True
L02-1,2,0,3094,2999,1,1059,1060,3095,590243,593338,3094,True
L02-1,2,1,2483323,2999,1,1121,1122,2483324,1251239,3734563,2483323,False
L02-1,2,2,2436333,2999,1,1123,1126,-2436334,3694417,1258083,2436333,False
L02-1,2,3,3094,2999,1,1128,1130,3095,1501350,1504445,3094,True
L02-1,2,4,3095,1616,1,1131,1132,4479,1648490,1651586,3095,True
L02-1,2,5,3094,2999,1,1133,1134,3095,1735218,1738313,3094,True
L02-1,2,6,3093,2999,1,1136,1139,3094,1806621,1809715,3093,True
L02-1,2,7,7,2998,1,1140,1194,-5,2098137,2098131,-7,True
L02-1,2,8,216444,2034,1,1195,1204,-215480,2470579,2254134,216444,False
L02-1,2,9,3093,2999,1,1205,1206,3094,2346726,2349820,3093,True
L02-1,2,10,3093,2999,1,1207,1208,3094,2632593,2635687,3093,True
L02-1,2,11,3093,2999,1,1211,1220,3094,2872560,2875654,3093,True
L02-1,2,12,3093,2999,1,1223,1236,3094,3013284,3016378,3093,True
L02-1,2,13,3094,2999,1,1237,1287,3095,3330533,3333628,3094,True
L02-1,2,14,293343,2999,1,1290,1291,293344,3444966,3738310,293343,True
L02-1,2,15,3094,2999,1,1293,1294,3095,3831089,3834184,3094,True
L02-1,2,16,3094,2999,1,1297,1299,3095,3938476,3941571,3094,True
L02-1,2,17,1743942,2992,1,1369,1370,1743950,2225873,3969816,1743942,True
L02-1,2,18,3743,2999,1,1372,1373,3744,3986315,3990059,3743,True
L02-1,2,19,19155,2998,1,1374,1377,-19153,4009213,3990059,-19155,True
L02-1,2,20,19155,2998,1,1378,1381,-19153,4009213,3990059,-19155,True
L02-1,2,21,19155,2998,1,1382,1385,-19153,4009213,3990059,-19155,True
L02-1,2,22,3093,2999,1,1386,1387,3094,4048471,4051565,3093,True
L02-1,2,23,3092,2999,1509,1388,1390,4601,4148939,4152032,3092,True
L02-2,1,0,3094,2999,1,1393,1396,3095,1281924,1285019,3094,True
L02-2,1,1,3094,2999,1,1397,1398,3095,1528292,1531387,3094,True
L02-2,1,2,3094,2999,1,1399,1400,3095,1676818,1679913,3094,True
L02-2,1,3,3094,2999,1,1401,1409,3095,2319549,2322644,3094,True
L02-2,1,5,3069,2999,1,1411,1412,3070,2693916,2696986,3069,True
L02-2,1,6,3094,2999,1,1415,1423,3095,2936966,2940061,3094,True
L02-2,1,7,11568,989,1,1425,1431,13579,3050619,3062188,11568,True
L02-2,1,8,3094,2999,1,1432,1480,3095,3371371,3374466,3094,True
L02-2,1,9,3094,2999,1,1497,1498,3095,3495849,3498944,3094,True
L02-2,1,10,35723,2999,1,1500,1502,35724,3696010,3731734,35723,False
L02-2,1,11,3094,2999,1,1569,1571,3095,3796528,3799623,3094,True
L02-2,1,12,73376,2999,1,1574,1576,73377,3816123,3889500,73376,False
L02-2,1,13,3091,2999,447,1577,1578,3538,3910229,3913321,3091,True
L02-2,1,14,3092,2999,745,1579,1580,3837,4011399,4014492,3092,True
L02-2,2,0,3742,2999,1,1583,1585,3743,554025,557768,3742,True
L02-2,2,1,3094,2999,1,1586,1587,3095,769939,773034,3094,True
L02-2,2,2,3094,2999,1,1588,1589,3095,1015788,1018883,3094,True
L02-2,2,3,3093,2999,1,1594,1597,3094,1281827,1284921,3093,True
L02-2,2,4,3094,2999,1,1598,1599,3095,1341194,1344289,3094,True
L02-2,2,5,3094,2999,1,1679,1680,3095,1528178,1531273,3094,True
L02-2,2,6,3094,2999,1,1681,1682,3095,1676689,1679784,3094,True
L02-2,2,7,3094,2999,1,1683,1684,3095,1823896,1826991,3094,True
L02-2,2,8,3091,2999,1649,1685,1695,4740,2704045,2707137,3091,True
L02-2,2,9,3095,2999,1,1696,1697,3096,2793982,2797078,3095,True
L02-2,2,10,3093,2999,1,1698,1702,3094,2230526,2233620,3093,True
L02-2,2,11,3068,2999,1,1706,1708,3069,2444896,2447965,3068,True
L02-2,2,12,638033,2999,1,1712,1714,638034,2581729,3219763,638033,True
L02-2,2,13,876232,2999,1,1715,1723,876233,3322866,4199099,876232,False
L02-2,2,14,3093,2999,1,1725,1726,-3094,4080080,4076986,3093,True
L02-2,2,15,3092,2999,679,1727,1777,-2415,3767832,3764739,3092,True
L02-2,2,16,3093,2999,1,1797,1798,-3094,3644051,3640957,3093,True
L02-2,2,17,3093,2999,1,1800,1802,-3094,3443899,3440805,3093,True
L02-2,2,18,3089,2999,2158,1803,1874,-933,3408175,3405085,3089,True
L02-2,2,19,3094,2999,1,1875,1877,-3095,3345552,3342457,3094,True
L02-2,2,20,16500,2999,1,1879,1880,16499,3325958,3342457,-16500,True
L02-2,2,21,876889,2999,1,1882,1883,876888,3325958,4202846,-876889,False
L02-2,2,22,3743,2999,1,1884,1885,3744,4252882,4256626,3743,True
L02-2,2,23,3093,2999,1,1886,1887,3094,4267402,4270496,3093,True
L02-2,2,24,3093,2999,1,1888,1889,3094,4368563,4371657,3093,True
L02-3,1,0,3094,2999,1,1892,1895,3095,1263900,1266995,3094,True
L02-3,1,1,3094,2999,1,1896,1897,3095,1510260,1513355,3094,True
L02-3,1,2,3092,2999,561,1898,1899,3653,1658785,1661878,3092,True
L02-3,1,3,3094,2999,1,1900,1908,3095,2301586,2304681,3094,True
L02-3,1,4,3092,2999,1800,1909,1910,4892,2400372,2403465,3092,True
L02-3,1,5,3094,2999,1,1911,1912,3095,2663677,2666772,3094,True
L02-3,1,6,3093,2999,1,1915,1923,3094,2906743,2909837,3093,True
L02-3,1,7,3094,2999,1,1925,1936,3095,3048405,3051500,3094,True
L02-3,1,8,3090,2999,504,1937,1985,3594,3360675,3363766,3090,True
L02-3,1,9,3093,2999,1,2001,2002,3094,3484641,3487735,3093,True
L02-3,1,10,3094,2999,1,2004,2006,3095,3687899,3690994,3094,True
L02-3,1,11,1522948,2992,1,2073,2074,1522956,2261091,3784040,1522948,True
L02-3,1,12,3743,2999,1,2076,2077,3744,3800541,3804285,3743,True
L02-3,1,13,3094,2999,1,2079,2080,3095,3887992,3891087,3094,True
L02-3,1,14,3094,2999,1,2081,2082,3095,3989606,3992701,3094,True
L02-3,2,0,163110,2999,1,2085,2086,163111,1045226,1208337,163110,False
L02-3,2,2,163120,2999,1,2088,2090,163119,1048316,1211435,-163120,False
L02-3,2,3,3093,2999,1,2091,2094,3094,1251971,1255065,3093,True
L02-3,2,4,7,2998,1,2095,2202,-5,1305532,1305526,-7,True
L02-3,2,5,3094,2999,1,2203,2204,3095,1761597,1764692,3094,True
L02-3,2,6,3093,2999,1,2205,2206,3094,1910108,1913202,3093,True
L02-3,2,7,3743,2999,1,2207,2208,3744,2524744,2528488,3743,True
L02-3,2,8,3093,2999,1,2209,2219,3094,2556606,2559700,3093,True
L02-3,2,9,3094,2999,1,2220,2221,3095,2611228,2614323,3094,True
L02-3,2,11,3094,2999,1,2229,2231,-3095,1560412,1557317,3094,True
L02-3,2,12,1428603,2999,1,2233,2235,1428602,1468235,2896837,-1428603,False
L02-3,2,13,3092,2999,1,2238,2240,3093,2932819,2935912,3092,True
L02-3,2,14,3093,2999,1,2241,2249,3094,3136792,3139886,3093,True
L02-3,2,15,3093,2999,1,2251,2264,3094,3278439,3281533,3093,True
L02-3,2,16,3092,2999,1,2265,2312,3093,3590677,3593770,3092,True
L02-3,2,17,3094,2999,1,2329,2330,3095,3714626,3717721,3094,True
L02-3,2,18,3093,2999,1,2332,2333,3094,3854961,3858055,3093,True
L02-3,2,19,3093,2999,1,2334,2336,3094,3917876,3920970,3093,True
L02-3,2,20,3093,2999,1,2403,2404,3094,4010913,4014007,3093,True
L02-3,2,21,3742,2999,1,2406,2407,3743,4030503,4034246,3742,True
L02-3,2,22,19153,2998,1,2408,2411,-19151,4053398,4034246,-19153,True
L02-3,2,23,3093,2999,1,2412,2413,3094,4095050,4098144,3093,True
L02-3,2,24,3091,2999,2006,2414,2415,5097,4196660,4199752,3091,True
L02-4,1,0,3093,2999,1,2418,2421,3094,1278710,1281804,3093,True
L02-4,1,1,3093,2999,1,2422,2423,3094,1521967,1525061,3093,True
L02-4,1,2,3094,2999,1,2424,2425,3095,1673590,1676685,3094,True
L02-4,1,3,3094,2999,1,2426,2434,3095,2322497,2325592,3094,True
L02-4,1,5,3092,2999,1,2436,2437,3093,2645748,2648841,3092,True
L02-4,1,6,3093,2999,1,2440,2448,3094,2885710,2888804,3093,True
L02-4,1,7,3095,2999,1,2450,2460,3096,3027372,3030468,3095,True
L02-4,1,8,3420570,2391,2427,2461,2507,-3417535,3479038,58469,-3420570,True
L02-4,1,9,3094,2999,1,2522,2523,-3095,3653219,3650124,3094,True
L02-4,1,10,3093,2999,1,2525,2527,-3094,3449956,3446862,3093,True
L02-4,1,11,3094,2999,1,2593,2595,-3095,3337553,3334458,3094,True
L02-4,1,13,3093,2999,1,2598,2599,3094,3825505,3828599,3093,True
L02-4,1,14,3093,2999,1,2600,2601,3094,3932887,3935981,3093,True
L02-4,2,0,1160581,2999,414,2604,2605,1160995,137368,1297950,1160581,True
L02-4,2,2,3093,2999,1,2641,2644,3094,1276436,1279530,3093,True
L02-4,2,3,3093,2999,1,2645,2646,3094,1519674,1522768,3093,True
L02-4,2,4,3093,2999,1,2647,2709,3094,1551460,1554554,3093,True
L02-4,2,5,3093,2999,1,2710,2711,3094,1671279,1674373,3093,True
L02-4,2,6,3089,2999,1,2712,2713,3090,1743289,1746379,3089,True
L02-4,2,7,6,2998,1,2714,2715,-4,2173358,2173353,-6,True
L02-4,2,8,3093,2999,1,2716,2717,3094,2207589,2210683,3093,True
L02-4,2,10,3094,2999,1,2726,2728,3095,2348111,2351206,3094,True
L02-4,2,11,98609,2999,1,2729,2730,98610,2433522,2532132,98609,True
L02-4,2,12,599196,2999,1,2731,2732,599197,2662098,3261295,599196,False
L02-4,2,13,3092,2999,1,2734,2736,3093,2729462,2732555,3092,True
L02-4,2,14,3092,2999,1,2739,2747,3093,2969410,2972503,3092,True
L02-4,2,15,3093,2999,1,2749,2762,3094,3111061,3114155,3093,True
L02-4,2,16,4818,1811,1,2763,2766,6007,3274652,3279471,4818,True
L02-4,2,17,3741,2999,1,2767,2846,3742,3465360,3469102,3741,True
L02-4,2,18,3094,2999,1,2847,2849,3095,3482629,3485724,3094,True
L02-4,2,19,1158402,2995,1,2851,2917,-1158397,3595017,2436616,-1158402,True
L02-4,2,20,7,2999,1,2919,2924,-6,3667801,3667795,-7,True
L02-4,2,21,3093,2999,1,2925,2927,3094,3701831,3704925,3093,True
L02-4,2,22,3741,2999,1,2928,2929,3742,3812642,3816384,3741,True
L02-4,2,23,3093,2999,1,2930,2931,-3094,3911550,3908456,3093,True
L02-4,2,24,3038354,2999,1242,2932,2934,-3037114,3872551,834196,3038354,False
L02-4,2,25,54162,2985,1,2936,2938,-54147,3980098,3925937,-54162,True
L02-4,2,26,676917,2740,2816,2939,2940,-673842,3984629,3307713,-676917,False
L03-1,1,0,3094,2999,1,2942,2943,3095,207966,211061,3094,True
L03-1,1,1,3094,2999,1,2944,3023,3095,1110019,1113114,3094,True
L03-1,1,2,3094,2999,1,3024,3027,3095,1278816,1281911,3094,True
L03-1,1,3,3094,2999,1,3028,3029,3095,1672321,1675416,3094,True
L03-1,1,4,5172,2999,1,3030,3031,5173,1879128,1884301,5172,True
L03-1,1,5,3094,2999,1,3032,3033,3095,2528772,2531867,3094,True
L03-1,1,6,3094,2999,1,3034,3042,3095,2590954,2594049,3094,True
L03-1,1,7,3093,2999,1,3046,3049,3094,3432837,3435931,3093,True
L03-1,1,8,3100,2999,1,3050,3051,3101,3899401,3902502,3100,True
L03-1,2,0,3094,2999,1,3052,3053,3095,207958,211053,3094,True
L03-1,2,1,3094,2999,1,3054,3132,3095,1099107,1102202,3094,True
L03-1,2,2,3094,2999,1,3133,3136,3095,1267900,1270995,3094,True
L03-1,2,4,3094,2999,1,3138,3213,3095,1461638,1464733,3094,True
L03-1,2,5,3093,2999,1,3216,3217,3094,1649949,1653043,3093,True
L03-1,2,6,60771,2638,1,3218,3219,61133,1856392,1917164,60771,False
L03-1,2,7,1360700,2999,2489,3220,3222,-1358211,2025716,665017,-1360700,True
L03-1,2,8,3093,2772,1,3224,3225,3321,2371816,2374910,3093,True
L03-1,2,9,3094,2999,1,3356,3357,3095,2502003,2505098,3094,True
L03-1,2,10,3094,2999,1,3358,3366,3095,2564178,2567273,3094,True
L03-1,2,12,3094,2999,1,3373,3377,3095,3531800,3534895,3094,True
L03-1,2,13,3093,2999,1,3379,3380,3094,3856324,3859418,3093,True
L03-2,1,0,3093,2999,1,3381,3382,3094,207963,211057,3093,True
L03-2,1,1,3091,2999,360,3383,3462,3451,1125519,1128611,3091,True
L03-2,1,2,3091,2999,1,3463,3466,3092,1293954,1297046,3091,True
L03-2,1,3,3094,2999,1,3467,3468,3095,1681250,1684345,3094,True
L03-2,1,4,5171,2999,1,3469,3470,5172,1888063,1893235,5171,True
L03-2,1,5,3094,2999,1,3471,3472,3095,2531214,2534309,3094,True
L03-2,1,6,3094,2999,1,3473,3481,3095,2593396,2596491,3094,True
L03-2,1,7,207468,2999,1,3485,3488,207469,3438393,3645862,207468,False
L03-2,1,8,3093,2999,1,3489,3490,3094,3908042,3911136,3093,True
L03-2,2,0,3093,2999,1,3491,3492,3094,207964,211058,3093,True
L03-2,2,1,3094,2999,1,3493,3624,3095,297639,300734,3094,True
L03-2,2,2,3094,2668,1,3625,3722,3426,316008,319103,3094,True
L03-2,2,3,3094,2999,1,3723,3724,3095,417863,420958,3094,True
L03-2,2,4,3094,2999,1,3726,3729,3095,859909,863004,3094,True
L03-2,2,5,3093,2999,1,3806,3832,3094,864494,867588,3093,True
L03-2,2,6,3094,2999,1,3833,3912,3095,1125193,1128288,3094,True
L03-2,2,7,3093,2999,1,3913,3916,3094,1293630,1296724,3093,True
L03-2,2,8,3093,2999,1,3917,3918,3094,1684027,1687121,3093,True
L03-2,2,9,5172,2999,1,3919,3920,5173,1890839,1896012,5172,True
L03-2,2,10,3094,2999,1,3921,3924,3095,2039498,2042593,3094,True
L03-2,2,11,3095,2832,1,3925,3926,3263,2336217,2339313,3095,True
L03-2,2,12,3094,2999,1,3934,3935,3095,2536938,2540033,3094,True
L03-2,2,13,3094,2999,1,3936,3944,3095,2599119,2602214,3094,True
L03-2,2,14,3093,2999,1,3948,3951,3094,3145194,3148288,3093,True
L03-2,2,15,3093,2999,1,3953,3956,3094,3444088,3447182,3093,True
L03-2,2,16,400555,2999,1,3957,3958,400556,3579815,3980371,400555,False
L03-2,2,17,3093,2999,1,3960,3961,-3094,3908614,3905520,3093,True
L03-2,2,18,3094,2999,1,3996,3997,-3095,3646431,3643336,3094,True
L03-3,1,0,3094,2999,1,3998,3999,3095,207967,211062,3094,True
L03-3,1,1,3093,2999,1,4000,4079,3094,1113150,1116244,3093,True
L03-3,1,2,3094,2999,1,4080,4083,3095,1281950,1285045,3094,True
L03-3,1,4,40375,2757,1,4085,4086,40618,1862409,1902785,40375,True
L03-3,1,5,3094,2999,1,4088,4089,3095,2547265,2550360,3094,True
L03-3,1,6,3094,2999,1,4090,4098,3095,2609447,2612542,3094,True
L03-3,1,7,3093,2562,2277,4102,4105,5807,3460221,3463315,3093,True
L03-3,1,8,1875,2999,2771,4106,4107,4646,3923798,3925674,1875,True
L03-3,2,0,3093,2999,1,4108,4109,3094,207965,211059,3093,True
L03-3,2,1,3093,2999,1,4110,4128,3094,346072,349166,3093,True
L03-3,2,2,3094,2999,1,4129,4205,3095,1122428,1125523,3094,True
L03-3,2,3,3093,2999,1,4206,4209,3094,1291224,1294318,3093,True
L03-3,2,4,3094,2999,1,4210,4212,3095,1453717,1456812,3094,True
L03-3,2,5,3094,2999,1,4213,4214,3095,1573164,1576259,3094,True
L03-3,2,6,7,2998,1,4218,4219,-5,1617303,1617297,-7,True
L03-3,2,7,3093,2999,1,4220,4221,3094,1705264,1708358,3093,True
L03-3,2,8,37383,2999,1,4222,4223,37384,1889094,1926478,37383,False
L03-3,2,9,4,2999,1,4224,4225,3,1894162,1894165,-4,False
L03-3,2,10,3093,2999,1,4226,4227,3094,2099529,2102623,3093,True
L03-3,2,11,3091,2999,1555,4275,4407,4646,2412025,2415117,3091,True
L03-3,2,12,3093,2999,1,4411,4412,3094,2537067,2540161,3093,True
L03-3,2,13,3093,2999,1,4413,4421,3094,2599248,2602342,3093,True
L03-3,2,14,3091,2999,1,4425,4426,3092,2853364,2856456,3091,True
L03-3,2,17,3093,2999,1,4429,4432,3094,3414062,3417156,3093,True
L03-3,2,18,3094,2999,1,4433,4434,3095,3484021,3487116,3094,True
L03-3,2,19,3102,2999,1,4435,4436,3103,3851674,3854777,3102,True
L03-4,1,0,3092,2999,1,4437,4438,3093,211069,214162,3092,True
L03-4,1,1,3094,2999,1,4439,4518,3095,1116235,1119330,3094,True
L03-4,1,2,3094,2999,1,4519,4522,3095,1288135,1291230,3094,True
L03-4,1,3,3092,2999,1,4523,4524,3093,1675443,1678536,3092,True
L03-4,1,4,5171,2999,1,4525,4526,5172,1885356,1890528,5171,True
L03-4,1,5,3094,2999,1,4527,4528,3095,2544307,2547402,3094,True
L03-4,1,6,3094,2999,1,4529,4537,3095,2606490,2609585,3094,True
L03-4,1,7,3094,2999,1,4544,4547,3095,3508160,3511255,3094,True
L03-4,1,8,3094,2999,1,4548,4549,3095,3971625,3974720,3094,True
L03-4,2,0,3094,2999,1,4550,4552,3095,26892,29987,3094,True
L03-4,2,1,3093,2999,1,4553,4554,3094,211054,214148,3093,True
L03-4,2,2,3092,2999,1,4555,4556,3093,355866,358959,3092,True
L03-4,2,3,7,2998,1,4557,4636,-5,1122383,1122377,-7,True
L03-4,2,4,3093,2999,1,4637,4638,3094,1160625,1163719,3093,True
L03-4,2,5,3093,2999,1,4639,4642,3094,1291171,1294265,3093,True
L03-4,2,6,3094,2999,1,4643,4644,3095,1678453,1681548,3094,True
L03-4,2,7,3092,2999,1,4645,4646,3093,1743841,1746934,3092,True
L03-4,2,9,3094,2999,1,4649,4650,3095,1887712,1890807,3094,True
L03-4,2,10,3092,2999,1,4652,4653,3093,1962436,1965529,3092,True
L03-4,2,11,3093,2999,1,4656,4657,3094,1988737,1991831,3093,True
L03-4,2,12,3094,2999,1,4667,4669,3095,2002718,2005813,3094,True
L03-4,2,13,3094,2999,1,4672,4675,3095,2183407,2186502,3094,True
L03-4,2,14,3094,2999,1,4676,4677,3095,2489959,2493054,3094,True
