is_id_desc,s_start_x_f,s_end_x_f,query_id_f,q_start_f,q_end_f,s_start_y_f,s_end_y_f,alignment_length_f,evalue_f,IS_strand_f,is_match_length_f,is_ins_pos_f,is_matched_f,s_start_x_r,s_end_x_r,query_id_r,q_start_r,q_end_r,s_start_y_r,s_end_y_r,alignment_length_r,evalue_r,IS_strand_r,is_match_length_r,is_ins_pos_r,is_matched_r,_is_length,_same_strand,_range_overlap,_range_distance,_same_ins_pos,_detected_is_start,_detected_is_end,status,insert_id_f,target_locus_status_f,insert_id_r,target_locus_status_r
11,1785760,1782569,11_f,1,99,1770903,1770805,99,9.37e-45,False,-1,1770803,False,1782470,1785661,11_r,1,98,1770716,1770813,98,3.27e-44,False,-2,1770816,False,3192,True,8,0,True,1770803,1770816,simple_insertion,20,new,20,new
12,1802244,1805435,12_f,1,98,1787389,1787486,98,3.27e-44,True,-2,1787489,False,1805534,1802343,12_r,1,99,1788180,1788082,99,9.37e-45,True,-1,1788080,False,3192,True,0,596,False,1787489,1788080,unknown,21,new,22,new
13,1854994,1851804,13_f,1,99,1923020,1922922,99,9.37e-45,False,-1,1922920,False,1851705,1854895,13_r,1,98,1834358,1834455,98,3.27e-44,False,-2,1834458,False,3191,True,0,88467,False,1834458,1922920,unknown,24,new,23,new
14,1884842,1888029,14_f,1,98,1952872,1952969,98,3.27e-44,True,-2,1952972,False,1888128,1884941,14_r,1,99,1953059,1952961,99,9.36e-45,True,-1,1952959,False,3188,True,8,0,True,1952959,1952972,simple_insertion,25,new,25,new
15,1921416,1924606,15_f,1,1667,1986350,1988017,1668,0.0,True,1567,1986450,False,1924705,1921515,15_r,1,3190,1991209,1988019,3191,0.0,True,3090,1991109,True,3191,True,0,2,False,1986450,1991109,mutation_in_is,26,original,27,original
16,2066663,2063472,16_f,1,99,2130066,2129968,99,9.37e-45,False,-1,2129966,False,2063373,2066564,16_r,1,106,2129879,2129984,106,3.27e-44,False,6,2129979,False,3192,True,16,0,True,2129966,2129979,simple_insertion,28,new,28,new
17,2110088,2113278,17_f,1,98,2173497,2173594,98,3.27e-44,True,-2,2173597,False,2113377,2110187,17_r,1,99,2173684,2173586,99,9.37e-45,True,-1,2173584,False,3191,True,8,0,True,2173584,2173597,simple_insertion,29,new,29,new
18,2154120,2158880,18_f,1,99,2214431,2214529,99,1.4e-44,True,-1,2214531,False,2158979,2154219,18_r,1,4760,2306387,2311147,4762,0.0,False,4660,2306487,True,4761,False,0,91858,False,2214531,2306487,unknown,30,new,32,original
19,2242915,2239724,19_f,1,99,2319553,2319455,99,9.37e-45,False,-1,2319453,False,2239625,2242816,19_r,1,98,2225736,2225639,98,3.27e-44,True,-2,2225636,False,3192,False,0,93719,False,2225636,2319453,unknown,34,new,31,new
20,2329056,2325865,20_f,1,99,2407092,2406994,99,9.37e-45,False,-1,2406992,False,2325766,2328957,20_r,1,98,2402409,2402506,98,3.27e-44,False,-2,2402509,False,3192,True,0,4488,False,2402509,2406992,unknown,36,new,35,new
21,2583187,2586378,21_f,1,98,2661233,2661330,98,3.27e-44,True,-2,2661333,False,2586477,2583286,21_r,1,100,2667226,2667127,100,2.6799999999999997e-45,True,0,2667126,False,3192,True,0,5797,False,2661333,2667126,unknown,37,new,38,new
22,2737640,2734449,22_f,1,99,2815291,2815193,99,9.37e-45,False,-1,2815191,False,2734350,2737541,22_r,1,98,2815104,2815201,98,3.27e-44,False,-2,2815204,False,3192,True,8,0,True,2815191,2815204,simple_insertion,39,new,39,new
23,2980023,2976833,23_f,1,99,3067159,3067257,99,9.37e-45,True,-1,3067259,False,2976734,2979924,23_r,1,98,3054389,3054486,98,3.27e-44,False,-2,3054489,False,3191,False,0,12673,False,3054489,3067259,unknown,41,new,40,new
24,2992606,2997916,24_f,1,98,3054575,3054478,98,5.46e-44,False,-2,3054475,False,2998015,2992705,24_r,1,99,3085795,3085697,99,1.56e-44,True,-1,3085695,False,5311,False,0,31122,False,3054475,3085695,unknown,40,new,42,new
25,3289044,3285854,25_f,1,3190,3376836,3373646,3191,0.0,False,3090,3376736,True,3285755,3288945,25_r,1,3190,3373547,3376737,3191,0.0,False,3090,3373647,True,3191,True,3091,0,False,3373647,3376736,pristine,44,original,43,original
26,3616697,3621458,26_f,1,98,3704509,3704606,98,4.89e-44,True,-2,3704609,False,3621557,3616796,26_r,1,99,3704866,3704768,99,1.4e-44,True,-1,3704766,False,4762,True,0,162,False,3704609,3704766,unknown,45,new,46,new
27,3755020,3751828,27_f,1,99,3835229,3835131,99,9.37e-45,False,-1,3835129,False,3751729,3754921,27_r,1,105,3835042,3835147,106,9.37e-45,False,5,3835142,False,3193,True,16,0,True,3835129,3835142,simple_insertion,47,new,47,new
28,3786218,3789407,28_f,1,3189,3866432,3869621,3190,0.0,True,3089,3866532,True,3789506,3786317,28_r,1,3189,3869720,3866531,3190,0.0,True,3089,3869620,True,3190,True,3090,0,False,3866532,3869620,pristine,48,original,49,original
29,3883781,3888541,29_f,1,4760,3963996,3968754,4760,0.0,True,4660,3964096,True,3888640,3883880,29_r,1,4760,3968853,3964095,4760,0.0,True,4660,3968753,True,4761,True,4659,0,False,3964096,3968753,pristine,50,original,51,original
