is_id_desc,flank_id,s_start_x,s_end_x,flank,subject_id,query_id,q_start,q_end,s_start_y,s_end_y,alignment_length,evalue,IS_strand,is_match_length,is_ins_pos
10,10_f,1754040,1750850,f,L01_Anc_m1,10_f,1,100,1742285,1742186,100,2.6799999999999997e-45,False,0,1742185
11,11_r,1782470,1785661,r,L01_Anc_m1,11_r,1,98,1770716,1770813,98,3.27e-44,False,-2,1770816
11,11_f,1785760,1782569,f,L01_Anc_m1,11_f,1,99,1770903,1770805,99,9.37e-45,False,-1,1770803
12,12_f,1802244,1805435,f,L01_Anc_m1,12_f,1,98,1787389,1787486,98,3.27e-44,True,-2,1787489
12,12_r,1805534,1802343,r,L01_Anc_m1,12_r,1,99,1788180,1788082,99,9.37e-45,True,-1,1788080
13,13_r,1851705,1854895,r,L01_Anc_m1,13_r,1,98,1834358,1834455,98,3.27e-44,False,-2,1834458
13,13_f,1854994,1851804,f,L01_Anc_m1,13_f,1,99,1923020,1922922,99,9.37e-45,False,-1,1922920
14,14_f,1884842,1888029,f,L01_Anc_m1,14_f,1,98,1952872,1952969,98,3.27e-44,True,-2,1952972
14,14_r,1888128,1884941,r,L01_Anc_m1,14_r,1,99,1953059,1952961,99,9.36e-45,True,-1,1952959
15,15_f,1921416,1924606,f,L01_Anc_m1,15_f,1,1667,1986350,1988017,1668,0.0,True,1567,1986450
15,15_r,1924705,1921515,r,L01_Anc_m1,15_r,1,3190,1991209,1988019,3191,0.0,True,3090,1991109
16,16_r,2063373,2066564,r,L01_Anc_m1,16_r,1,106,2129879,2129984,106,3.27e-44,False,6,2129979
16,16_f,2066663,2063472,f,L01_Anc_m1,16_f,1,99,2130066,2129968,99,9.37e-45,False,-1,2129966
17,17_f,2110088,2113278,f,L01_Anc_m1,17_f,1,98,2173497,2173594,98,3.27e-44,True,-2,2173597
17,17_r,2113377,2110187,r,L01_Anc_m1,17_r,1,99,2173684,2173586,99,9.37e-45,True,-1,2173584
18,18_f,2154120,2158880,f,L01_Anc_m1,18_f,1,99,2214431,2214529,99,1.4e-44,True,-1,2214531
18,18_r,2158979,2154219,r,L01_Anc_m1,18_r,1,4760,2306387,2311147,4762,0.0,False,4660,2306487
19,19_r,2239625,2242816,r,L01_Anc_m1,19_r,1,98,2225736,2225639,98,3.27e-44,True,-2,2225636
19,19_f,2242915,2239724,f,L01_Anc_m1,19_f,1,99,2319553,2319455,99,9.37e-45,False,-1,2319453
20,20_r,2325766,2328957,r,L01_Anc_m1,20_r,1,98,2402409,2402506,98,3.27e-44,False,-2,2402509
20,20_f,2329056,2325865,f,L01_Anc_m1,20_f,1,99,2407092,2406994,99,9.37e-45,False,-1,2406992
21,21_f,2583187,2586378,f,L01_Anc_m1,21_f,1,98,2661233,2661330,98,3.27e-44,True,-2,2661333
21,21_r,2586477,2583286,r,L01_Anc_m1,21_r,1,100,2667226,2667127,100,2.6799999999999997e-45,True,0,2667126
22,22_r,2734350,2737541,r,L01_Anc_m1,22_r,1,98,2815104,2815201,98,3.27e-44,False,-2,2815204
22,22_f,2737640,2734449,f,L01_Anc_m1,22_f,1,99,2815291,2815193,99,9.37e-45,False,-1,2815191
23,23_r,2976734,2979924,r,L01_Anc_m1,23_r,1,98,3054389,3054486,98,3.27e-44,False,-2,3054489
23,23_f,2980023,2976833,f,L01_Anc_m1,23_f,1,99,3067159,3067257,99,9.37e-45,True,-1,3067259
24,24_f,2992606,2997916,f,L01_Anc_m1,24_f,1,98,3054575,3054478,98,5.46e-44,False,-2,3054475
24,24_r,2998015,2992705,r,L01_Anc_m1,24_r,1,99,3085795,3085697,99,1.56e-44,True,-1,3085695
25,25_r,3285755,3288945,r,L01_Anc_m1,25_r,1,3190,3373547,3376737,3191,0.0,False,3090,3373647
25,25_f,3289044,3285854,f,L01_Anc_m1,25_f,1,3190,3376836,3373646,3191,0.0,False,3090,3376736
26,26_f,3616697,3621458,f,L01_Anc_m1,26_f,1,98,3704509,3704606,98,4.89e-44,True,-2,3704609
26,26_r,3621557,3616796,r,L01_Anc_m1,26_r,1,99,3704866,3704768,99,1.4e-44,True,-1,3704766
27,27_r,3751729,3754921,r,L01_Anc_m1,27_r,1,105,3835042,3835147,106,9.37e-45,False,5,3835142
27,27_f,3755020,3751828,f,L01_Anc_m1,27_f,1,99,3835229,3835131,99,9.37e-45,False,-1,3835129
28,28_f,3786218,3789407,f,L01_Anc_m1,28_f,1,3189,3866432,3869621,3190,0.0,True,3089,3866532
28,28_r,3789506,3786317,r,L01_Anc_m1,28_r,1,3189,3869720,3866531,3190,0.0,True,3089,3869620
29,29_f,3883781,3888541,f,L01_Anc_m1,29_f,1,4760,3963996,3968754,4760,0.0,True,4660,3964096
29,29_r,3888640,3883880,r,L01_Anc_m1,29_r,1,4760,3968853,3964095,4760,0.0,True,4660,3968753
