is_id_desc,s_start_x_f,s_end_x_f,query_id_f,q_start_f,q_end_f,s_start_y_f,s_end_y_f,alignment_length_f,evalue_f,IS_strand_f,is_match_length_f,is_ins_pos_f,is_matched_f,s_start_x_r,s_end_x_r,query_id_r,q_start_r,q_end_r,s_start_y_r,s_end_y_r,alignment_length_r,evalue_r,IS_strand_r,is_match_length_r,is_ins_pos_r,is_matched_r,_is_length,_same_strand,_range_overlap,_range_distance,_same_ins_pos,_detected_is_start,_detected_is_end,status,insert_id_f,target_locus_status_f,insert_id_r,target_locus_status_r
10,1754040,1750850,10_f,1,100,1746630,1746531,100,2.72e-45,False,0,1746530,False,1750751,1753941,10_r,1,98,1746443,1746540,98,3.31e-44,False,-2,1746543,False,3191,True,9,0,True,1746530,1746543,simple_insertion,22,new,22,new
11,1785760,1782569,11_f,1,99,1775251,1775153,99,9.48e-45,False,-1,1775151,False,1782470,1785661,11_r,1,98,1775064,1775161,98,3.31e-44,False,-2,1775164,False,3192,True,8,0,True,1775151,1775164,simple_insertion,23,new,23,new
12,1802244,1805435,12_f,1,98,1791736,1791833,98,3.31e-44,True,-2,1791836,False,1805534,1802343,12_r,1,99,1792527,1792429,99,9.48e-45,True,-1,1792427,False,3192,True,0,596,False,1791836,1792427,unknown,24,new,25,new
13,1854994,1851804,13_f,1,99,1927364,1927266,99,9.48e-45,False,-1,1927264,False,1851705,1854895,13_r,1,98,1838705,1838802,98,3.31e-44,False,-2,1838805,False,3191,True,0,88464,False,1838805,1927264,unknown,27,new,26,new
14,1884842,1888029,14_f,1,3187,1957219,1960409,3191,0.0,True,3087,1957319,True,1888128,1884941,14_r,1,3187,1960508,1957318,3191,0.0,True,3087,1960408,True,3188,True,3091,0,False,1957319,1960408,pristine,28,original,29,original
15,1921416,1924606,15_f,1,3190,1993798,1996989,3192,0.0,True,3090,1993898,True,1924705,1921515,15_r,1,3190,2035238,2032048,3191,0.0,True,3090,2035138,True,3191,True,0,35059,False,1993898,2035138,unknown,30,original,33,original
16,2066663,2063472,16_f,1,99,2174099,2174001,99,9.48e-45,False,-1,2173999,False,2063373,2066564,16_r,1,106,2173912,2174017,106,3.31e-44,False,6,2174012,False,3192,True,16,0,True,2173999,2174012,simple_insertion,34,new,34,new
17,2110088,2113278,17_f,1,98,2217526,2217623,98,3.31e-44,True,-2,2217626,False,2113377,2110187,17_r,1,99,2217713,2217615,99,9.48e-45,True,-1,2217613,False,3191,True,8,0,True,2217613,2217626,simple_insertion,35,new,35,new
18,2154120,2158880,18_f,1,99,2258456,2258554,99,1.4200000000000001e-44,True,-1,2258556,False,2158979,2154219,18_r,1,4760,2350414,2355174,4761,0.0,False,4660,2350514,True,4761,False,0,91860,False,2258556,2350514,unknown,36,new,38,original
19,2242915,2239724,19_f,1,99,2363580,2363482,99,9.48e-45,False,-1,2363480,False,2239625,2242816,19_r,1,98,2269761,2269664,98,3.31e-44,True,-2,2269661,False,3192,False,0,93721,False,2269661,2363480,unknown,40,new,37,new
20,2329056,2325865,20_f,1,99,2451118,2451020,99,9.48e-45,False,-1,2451018,False,2325766,2328957,20_r,1,98,2446435,2446532,98,3.31e-44,False,-2,2446535,False,3192,True,0,4488,False,2446535,2451018,unknown,42,new,41,new
21,2583187,2586378,21_f,1,3191,2705260,2708449,3191,0.0,True,3091,2705360,True,2586477,2583286,21_r,1,100,2710136,2710037,100,2.72e-45,True,0,2710036,False,3192,True,0,1588,False,2705360,2710036,unknown,43,original,45,new
22,2737640,2734449,22_f,1,99,2858196,2858098,99,9.48e-45,False,-1,2858096,False,2734350,2737541,22_r,1,98,2858009,2858106,98,3.31e-44,False,-2,2858109,False,3192,True,8,0,True,2858096,2858109,simple_insertion,46,new,46,new
23,2980023,2976833,23_f,1,99,3110064,3110162,99,9.48e-45,True,-1,3110164,False,2976734,2979924,23_r,1,98,3097294,3097391,98,3.31e-44,False,-2,3097394,False,3191,False,0,12673,False,3097394,3110164,unknown,48,new,47,new
24,2992606,2997916,24_f,1,98,3097480,3097383,98,5.52e-44,False,-2,3097380,False,2998015,2992705,24_r,1,99,3128699,3128601,99,1.58e-44,True,-1,3128599,False,5311,False,0,31121,False,3097380,3128599,unknown,47,new,49,new
25,3289044,3285854,25_f,1,3190,3419739,3416550,3191,0.0,False,3090,3419639,True,3285755,3288945,25_r,1,3190,3416451,3419640,3191,0.0,False,3090,3416551,True,3191,True,3090,0,False,3416551,3419639,pristine,51,original,50,original
26,3616697,3621458,26_f,1,4761,3747407,3752167,4761,0.0,True,4661,3747507,True,3621557,3616796,26_r,1,99,3752436,3752338,99,1.4200000000000001e-44,True,-1,3752336,False,4762,True,0,171,False,3747507,3752336,unknown,52,original,54,new
27,3755020,3751828,27_f,1,99,3882802,3882704,99,9.48e-45,False,-1,3882702,False,3751729,3754921,27_r,1,105,3882615,3882720,106,9.48e-45,False,5,3882715,False,3193,True,16,0,True,3882702,3882715,simple_insertion,55,new,55,new
28,3786218,3789407,28_f,1,3189,3914001,3917190,3191,0.0,True,3089,3914101,True,3789506,3786317,28_r,1,3189,3917289,3914100,3191,0.0,True,3089,3917189,True,3190,True,3090,0,False,3914101,3917189,pristine,56,original,57,original
29,3883781,3888541,29_f,1,4760,4011562,4016322,4761,0.0,True,4660,4011662,True,3888640,3883880,29_r,1,4760,4016421,4011661,4761,0.0,True,4660,4016321,True,4761,True,4661,0,False,4011662,4016321,pristine,58,original,59,original
