gene,synonyms,bnumber,strand,start,end
thrL,b0001;ECK0001;JW4367,b0001,True,189,255
degP,b0161;ECK0160;JW0157,b0161,True,169744,171169
cdaR,b0162;ECK0161;JW5013,b0162,True,171323,172481
yaeH,b0163;ECK0162;JW0159,b0163,True,172569,172956
yaeI,b0164;ECK0163;JW5014,b0164,True,173117,173930
dapD,b0166;ECK0164;JW0161,b0166,True,173983,174808
glnD,b0167;ECK0165;JW0162,b0167,True,174838,177511
map,b0168;ECK0166;JW0163,b0168,True,177572,178367
tff,b4414;ECK0167;JWR0225,b4414,True,178572,178708
rpsB,b0169;ECK0168;JW0164,b0169,True,178734,179460
tsf,b0170;ECK0169;JW0165,b0170,True,179717,180569
pyrH,b0171;ECK0170;JW0166,b0171,True,180715,181441
frr,b0172;ECK0171;JW0167,b0172,True,181732,182290
dxr,b0173;ECK0172;JW0168,b0173,True,182381,183578
ispU,b0174;ECK0173;JW0169,b0174,True,183763,184525
cdsA,b0175;ECK0174;JW5810,b0175,True,184537,185395
yaeL,b0176;ECK0175;JW0171,b0176,True,185406,186759
yaeT,b0177;ECK0176;JW0172,b0177,True,186788,189221
hlpA,b0178;ECK0177;JW0173,b0178,True,189342,189828
lpxD,b0179;ECK0178;JW0174,b0179,True,189831,190857
fabZ,b0180;ECK0179;JW0175,b0180,True,190961,191417
lpxA,b0181;ECK0180;JW0176,b0181,True,191420,192209
lpxB,b0182;ECK0181;JW0177,b0182,True,192208,193357
rnhB,b0183;ECK0182;JW0178,b0183,True,193353,193950
dnaE,b0184;ECK0183;JW0179,b0184,True,193986,197469
accA,b0185;ECK0184;JW0180,b0185,True,197481,198441
ldcC,b0186;ECK0185;JW0181,b0186,True,198539,200681
yaeR,b0187;ECK0186;JW0182,b0187,True,200737,201127
tilS,b0188;ECK0187;JW0183,b0188,True,201191,202490
rof,b0189;ECK0188;JW0184,b0189,True,202538,202793
yaeP,b4406;ECK0189;JW0185,b4406,True,202785,202986
yaeQ,b0190;ECK0190;JW0186,b0190,True,203151,203697
yaeJ,b0191;ECK0191;JW0187,b0191,True,203693,204116
nlpE,b0192;ECK0192;JW0188,b0192,True,204129,204840
yaeF,b0193;ECK0193;JW5016,b0193,True,205039,205864
proS,b0194;ECK0194;JW0190,b0194,True,205917,207636
yaeB,b0195;ECK0195;JW0191,b0195,True,207747,208455
rcsF,b0196;ECK0196;JW0192,b0196,True,208451,208856
metQ,b0197;ECK0197;JW0193,b0197,True,208973,209789
metI,b0198;ECK0198;JW0194,b0198,True,209828,210482
metN,b0199;ECK0199;JW0195,b0199,True,210474,211506
gmhB,b0200;ECK0200;JW0196,b0200,True,211693,212269
rrsH,b0201;ECK0201;JWR0001,b0201,True,212631,214173
ileV,b0202;ECK0202;JWR0002,b0202,True,214241,214318
alaV,b0203;ECK0203;JWR0003,b0203,True,214360,214436
rrlH,b0204;ECK0204;JWR0004,b0204,True,214619,217524
rrfH,b0205;ECK0205;JWR0005,b0205,True,217617,217737
aspU,b0206;ECK0206;JWR0006,b0206,True,217789,217866
dkgB,b0207;ECK0207;JW0197,b0207,True,218028,218832
yafC,b0208;ECK0208;JW0198,b0208,True,218828,219743
yafD,b0209;ECK0209;JW5017,b0209,True,219983,220784
yafE,b0210;ECK0210;JW0200,b0210,True,220787,221411
mltD,b0211;ECK0211;JW5018,b0211,True,221458,222817
gloB,b0212;ECK0212;JW0202,b0212,True,222888,223644
yafS,b0213;ECK0213;JW0203,b0213,True,223677,224400
rnhA,b0214;ECK0214;JW0204,b0214,True,224396,224864
dnaQ,b0215;ECK0215;JW0205,b0215,True,224928,225660
aspV,b0216;ECK0216;JWR0007,b0216,True,225792,225869
yafT,b0217;ECK0217;JW0206,b0217,True,226196,226982
yafU,b0218;ECK0218;JW0207,b0218,True,227607,227946
yafF,b4503;ECK0219;JW0208,b4503,True,228051,228240
yafV,b0219;ECK0220;JW5019,b0219,True,228280,229051
ivy,b0220;ECK0221;JW0210,b0220,True,229204,229678
fadE,b0221;ECK0222;JW5020,b0221,True,229720,232165
lpcA,b0222;ECK0223;JW0212,b0222,True,232404,232983
yafJ,b0223;ECK0224;JW0213,b0223,True,233188,233956
yafK,b0224;ECK0225;JW0214,b0224,True,233926,234667
yafQ,b0225;ECK0226;JW0215,b0225,True,234822,235101
dinJ,b0226;ECK0227;JW0216,b0226,True,235103,235364
yafL,b0227;ECK0228;JW0217,b0227,True,235573,236323
yafM,b0228;ECK0229;JW0218,b0228,True,236498,236996
fhiA,b0229;ECK0230;JW5811,b0229,True,237219,238932
mbhA,b0230;ECK0231;JW5812,b0230,True,238933,239689
dinB,b0231;ECK0232;JW0221,b0231,True,239759,240815
yafN,b0232;ECK0233;JW0222,b0232,True,240866,241160
yafO,b0233;ECK0234;JW0223,b0233,True,241162,241561
yafP,b0234;ECK0235;JW0224,b0234,True,241570,242023
ykfJ,b0235;ECK0236;JW0225,b0235,True,242328,242595
prfH,b0236;ECK0237;JW0226,b0236,True,242563,243064
pepD,b0237;ECK0238;JW0227,b0237,True,243120,244578
gpt,b0238;ECK0239;JW0228,b0238,True,244838,245297
frsA,b0239;ECK0240;JW0229,b0239,True,245388,246633
crl,b0240;ECK0241;JW0230,b0240,True,246690,247092
phoE,b0241;ECK0242;JW0231,b0241,True,247130,248186
proB,b0242;ECK0243;JW0232,b0242,True,248473,249577
proA,b0243;ECK0244;JW0233,b0243,True,249588,250842
thrW,b0244;ECK0245;JWR0008,b0244,True,250956,251032
betA,b0311;ECK0309;JW0303,b0311,True,251765,253436
betB,b0312;ECK0310;JW0304,b0312,True,253449,254922
betI,b0313;ECK0311;JW0305,b0313,True,254935,255523
betT,b0314;ECK0312;JW0306,b0314,True,255651,257685
yahA,b0315;ECK0313;JW0307,b0315,True,258559,259648
yahB,b0316;ECK0314;JW0308,b0316,True,259689,260622
yahC,b0317;ECK0315;JW0309,b0317,True,260713,261211
yahD,b0318;ECK0316;JW0310,b0318,True,261468,262074
yahE,b0319;ECK0317;JW0311,b0319,True,262113,262977
yahF,b0320;ECK0318;JW0312,b0320,True,262966,264514
yahG,b0321;ECK0319;JW0313,b0321,True,264513,265932
yahH,b0322;ECK0320;JW5893,b0322,True,265981,266278
yahI,b0323;ECK0321;JW0315,b0323,True,266353,267304
yahJ,b0324;ECK0322;JW0316,b0324,True,267313,268696
yahK,b0325;ECK0323;JW0317,b0325,True,269072,270122
yahL,b0326;ECK0324;JW0318,b0326,True,270364,271180
yahM,b0327;ECK0325;JW5044,b0327,True,271592,271838
yahN,b0328;ECK0326;JW0320,b0328,True,271854,272526
yahO,b0329;ECK0327;JW0321,b0329,True,272672,272948
prpR,b0330;ECK0328;JW0322,b0330,True,273045,274632
prpB,b0331;ECK0329;JW0323,b0331,True,274870,275761
prpC,b0333;ECK0330;JW0324,b0333,True,276200,277370
prpD,b0334;ECK0331;JW0325,b0334,True,277403,278855
prpE,b0335;ECK0332;JW0326,b0335,True,278894,280781
codB,b0336;ECK0333;JW0327,b0336,True,281110,282370
codA,b0337;ECK0334;JW0328,b0337,True,282359,283643
cynR,b0338;ECK0335;JW5894,b0338,True,283979,284879
cynT,b0339;ECK0336;JW0330,b0339,True,284987,285647
cynS,b0340;ECK0337;JW0331,b0340,True,285677,286148
cynX,b0341;ECK0338;JW0332,b0341,True,286180,287335
lacA,b0342;ECK0339;JW0333,b0342,True,287437,288049
lacY,b0343;ECK0340;JW0334,b0343,True,288114,289368
lacZ,b0344;ECK0341;JW0335,b0344,True,289419,292494
lacI,b0345;ECK0342;JW0336,b0345,True,292616,293699
mhpR,b0346;ECK0343;JW0337,b0346,True,293775,294723
mhpA,b0347;ECK0344;JW0338,b0347,True,294799,296464
mhpB,b0348;ECK0345;JW0339,b0348,True,296465,297410
mhpC,b0349;ECK0346;JW0340,b0349,True,297412,298294
mhpD,b0350;ECK0347;JW0341,b0350,True,298303,299113
mhpF,b0351;ECK0348;JW0342,b0351,True,299109,300060
mhpE,b0352;ECK0349;JW0343,b0352,True,300056,301070
mhpT,b0353;ECK0350;JW5046,b0353,True,301647,302859
yaiL,b0354;ECK0351;JW0345,b0354,True,302960,303500
frmB,b0355;ECK0352;JW0346,b0355,True,303723,304557
frmA,b0356;ECK0353;JW0347,b0356,True,304650,305760
frmR,b0357;ECK0354;JW0348,b0357,True,305794,306070
hemB,b0369;ECK0366;JW0361,b0369,True,306403,307378
ddlA,b0381;ECK0376;JW0372,b0381,True,307571,308666
yaiB,b0382;ECK0377;JW0373,b0382,True,309128,309389
phoA,b0383;ECK0378;JW0374,b0383,True,309489,310905
psiF,b0384;ECK0379;JW5054,b0384,True,311023,311344
yaiC,b0385;ECK0380;JW0376,b0385,True,311445,312561
proC,b0386;ECK0381;JW0377,b0386,True,312577,313387
yaiI,b0387;ECK0382;JW0378,b0387,True,313506,313965
aroL,b0388;ECK0383;JW0379,b0388,True,314147,314672
yaiA,b0389;ECK0384;JW0380,b0389,True,314721,314913
aroM,b0390;ECK0385;JW0381,b0390,True,315170,315848
yaiE,b0391;ECK0386;JW0382,b0391,True,315919,316204
ykiA,b0392;ECK0387;JW0383,b0392,True,316411,316693
rdgC,b0393;ECK0388;JW0384,b0393,True,316850,317762
mak,b0394;ECK0389;JW0385,b0394,True,317886,318795
araJ,b0396;ECK0390;JW0386,b0396,True,319039,320224
sbcC,b0397;ECK0391;JW0387,b0397,True,320349,323496
sbcD,b0398;ECK0392;JW0388,b0398,True,323492,324695
phoB,b0399;ECK0393;JW0389,b0399,True,324884,325574
phoR,b0400;ECK0394;JW0390,b0400,True,325631,326927
brnQ,b0401;ECK0395;JW0391,b0401,True,327333,328653
proY,b0402;ECK0396;JW5055,b0402,True,328728,330102
malZ,b0403;ECK0397;JW0393,b0403,True,330257,332075
yajB,b0404;ECK0398;JW0394,b0404,True,332079,332661
queA,b0405;ECK0399;JW0395,b0405,True,332753,333824
tgt,b0406;ECK0400;JW0396,b0406,True,333879,335007
yajC,b0407;ECK0401;JW0397,b0407,True,335029,335362
secD,b0408;ECK0402;JW0398,b0408,True,335389,337237
secF,b0409;ECK0403;JW0399,b0409,True,337247,338219
yajD,b0410;ECK0404;JW0400,b0410,True,338347,338695
tsx,b0411;ECK0405;JW0401,b0411,True,338871,339756
yajI,b0412;ECK0406;JW5056,b0412,True,340054,340594
ybaD,b0413;ECK0407;JW0403,b0413,True,340744,341194
ribD,b0414;ECK0408;JW0404,b0414,True,341197,342301
ribE,b0415;ECK0409;JW0405,b0415,True,342389,342860
nusB,b0416;ECK0410;JW0406,b0416,True,342879,343299
thiL,b0417;ECK0411;JW0407,b0417,True,343376,344354
pgpA,b0418;ECK0412;JW0408,b0418,True,344331,344850
yajO,b0419;ECK0413;JW0409,b0419,True,344903,345878
dxs,b0420;ECK0414;JW0410,b0420,True,346057,347920
ispA,b0421;ECK0415;JW0411,b0421,True,347944,348844
xseB,b0422;ECK0416;JW0412,b0422,True,348843,349086
thiI,b0423;ECK0417;JW0413,b0423,True,349291,350740
yajL,b0424;ECK0418;JW5057,b0424,True,350793,351384
panE,b0425;ECK0419;JW0415,b0425,True,351346,352258
yajQ,b0426;ECK0420;JW5058,b0426,True,352425,352917
yajR,b0427;ECK0421;JW5059,b0427,True,353044,354409
cyoE,b0428;ECK0422;JW0418,b0428,True,354557,355448
cyoD,b0429;ECK0423;JW0419,b0429,True,355459,355789
cyoC,b0430;ECK0424;JW0420,b0430,True,355788,356403
cyoB,b0431;ECK0425;JW0421,b0431,True,356392,358384
cyoA,b0432;ECK0426;JW0422,b0432,True,358405,359353
ampG,b0433;ECK0427;JW0423,b0433,True,359812,361288
yajG,b0434;ECK0428;JW0424,b0434,True,361331,361910
bolA,b0435;ECK0429;JW5060,b0435,True,362214,362532
tig,b0436;ECK0430;JW0426,b0436,True,362875,364174
clpP,b0437;ECK0431;JW0427,b0437,True,364419,365043
clpX,b0438;ECK0432;JW0428,b0438,True,365168,366443
lon,b0439;ECK0433;JW0429,b0439,True,366630,368985
hupB,b0440;ECK0434;JW0430,b0440,True,369193,369466
ppiD,b0441;ECK0435;JW0431,b0441,True,369657,371529
ybaV,b0442;ECK0436;JW0432,b0442,True,371679,372051
ybaW,b0443;ECK0437;JW0433,b0443,True,372144,372543
ybaX,b0444;ECK0438;JW0434,b0444,True,372594,373290
ybaE,b0445;ECK0439;JW0435,b0445,True,373354,375055
cof,b0446;ECK0440;JW0436,b0446,True,375154,375973
ybaO,b0447;ECK0441;JW0437,b0447,True,376125,376584
mdlA,b0448;ECK0442;JW0438,b0448,True,376613,378386
mdlB,b0449;ECK0443;JW5061,b0449,True,378378,380160
glnK,b0450;ECK0444;JW0440,b0450,True,380340,380679
amtB,b0451;ECK0445;JW0441,b0451,True,380708,381995
tesB,b0452;ECK0446;JW0442,b0452,True,382043,382904
ybaY,b0453;ECK0447;JW0443,b0453,True,383121,383694
ybaZ,b0454;ECK0448;JW0444,b0454,True,383724,384114
ffs,b0455;ECK0449;JWR0009,b0455,True,384190,384304
ybaA,b0456;ECK0450;JW0445,b0456,True,384414,384768
ylaB,b0457;ECK0451;JW5062,b0457,True,384809,386360
ylaC,b0458;ECK0452;JW5063,b0458,True,386523,386994
maa,b0459;ECK0453;JW0448,b0459,True,387109,387661
hha,b0460;ECK0454;JW0449,b0460,True,387832,388051
ybaJ,b0461;ECK0455;JW0450,b0461,True,388076,388451
acrB,b0462;ECK0456;JW0451,b0462,True,388996,392146
acrA,b0463;ECK0457;JW0452,b0463,True,392168,393362
acrR,b0464;ECK0458;JW0453,b0464,True,393503,394151
kefA,b0465;ECK0459;JW0454,b0465,True,394278,397641
ybaM,b0466;ECK0460;JW0455,b0466,True,397852,398014
priC,b0467;ECK0461;JW0456,b0467,True,398027,398555
ybaN,b0468;ECK0462;JW0457,b0468,True,398624,399002
apt,b0469;ECK0463;JW0458,b0469,True,399154,399706
dnaX,b0470;ECK0464;JW0459,b0470,True,399834,401766
ybaB,b0471;ECK0465;JW0460,b0471,True,401818,402148
recR,b0472;ECK0466;JW0461,b0472,True,402147,402753
htpG,b0473;ECK0467;JW0462,b0473,True,402862,404737
adk,b0474;ECK0468;JW0463,b0474,True,404917,405562
hemH,b0475;ECK0469;JW0464,b0475,True,405797,406760
aes,b0476;ECK0470;JW0465,b0476,True,406756,407716
gsk,b0477;ECK0471;JW0466,b0477,True,407867,409172
ybaL,b0478;ECK0472;JW0467,b0478,True,409304,410981
fsr,b0479;ECK0473;JW0468,b0479,True,411218,412439
ushA,b0480;ECK0474;JW0469,b0480,True,412656,414309
ybaK,b0481;ECK0475;JW0470,b0481,True,414345,414825
ybaP,b0482;ECK0476;JW0471,b0482,True,415028,415823
ybaQ,b0483;ECK0477;JW0472,b0483,True,415960,416302
copA,b0484;ECK0478;JW0473,b0484,True,416617,419122
ybaS,b0485;ECK0479;JW0474,b0485,True,419383,420316
ybaT,b0486;ECK0480;JW0475,b0486,True,420318,421611
cueR,b0487;ECK0481;JW0476,b0487,True,421735,422143
ybbJ,b0488;ECK0482;JW5065,b0488,True,422143,422599
ybbK,b0489;ECK0483;JW0478,b0489,True,422598,423516
ybbL,b0490;ECK0484;JW0479,b0490,True,423661,424339
ybbM,b0491;ECK0485;JW5066,b0491,True,424325,425105
ybbN,b0492;ECK0486;JW5067,b0492,True,425167,426022
ybbO,b0493;ECK0487;JW0482,b0493,True,426082,426892
tesA,b0494;ECK0488;JW0483,b0494,True,426881,427508
ybbA,b0495;ECK0489;JW0484,b0495,True,427475,428162
ybbP,b0496;ECK0490;JW0485,b0496,True,428158,430573
ybbB,b0503;ECK0496;JW0491,b0503,True,430586,431681
ybbS,b0504;ECK0497;JW0492,b0504,True,431749,432676
allA,b0505;ECK0498;JW0493,b0505,True,432905,433388
allR,b0506;ECK0499;JW0494,b0506,True,433465,434281
gcl,b0507;ECK0500;JW0495,b0507,True,434370,436152
hyi,b0508;ECK0501;JW0496,b0508,True,436164,436941
glxR,b0509;ECK0502;JW0497,b0509,True,437040,437919
ybbV,b0510;ECK0503;JW0498,b0510,True,437950,438229
ybbW,b0511;ECK0504;JW0499,b0511,True,438087,439542
allB,b0512;ECK0505;JW0500,b0512,True,439601,440963
ybbY,b0513;ECK0506;JW0501,b0513,True,441019,442321
glxK,b0514;ECK0507;JW0502,b0514,True,442342,443488
ylbA,b0515;ECK0508;JW0503,b0515,True,443715,444501
allC,b0516;ECK0509;JW0504,b0516,True,444511,445747
allD,b0517;ECK0510;JW0505,b0517,True,445768,446818
fdrA,b0518;ECK0511;JW0506,b0518,True,447134,448802
ylbE,b4572;ECK0512;JW0508+JW0507,b4572,True,448811,450070
ylbE,b4507;ECK0512;JW0507,b4507,True,448811,449072
ylbE,b0519;ECK0512;JW0508,b0519,True,449069,450071
ylbF,b0520;ECK0513;JW0509,b0520,True,450081,450897
ybcF,b0521;ECK0514;JW0510,b0521,True,450893,451787
purK,b0522;ECK0515;JW0511,b0522,True,451981,453049
purE,b0523;ECK0516;JW0512,b0523,True,453045,453555
lpxH,b0524;ECK0517;JW0513,b0524,True,453672,454395
ppiB,b0525;ECK0518;JW0514,b0525,True,454397,454892
cysS,b0526;ECK0519;JW0515,b0526,True,455065,456451
ybcI,b0527;ECK0520;JW0516,b0527,True,456486,457008
ybcJ,b0528;ECK0521;JW5070,b0528,True,457115,457328
folD,b0529;ECK0522;JW0518,b0529,True,457329,458196
sfmA,b0530;ECK0523;JW0519,b0530,True,458666,459209
sfmC,b0531;ECK0524;JW0520,b0531,True,459428,460121
sfmD,b0532;ECK0525;JW0521,b0532,True,460151,462755
sfmH,b0533;ECK0526;JW5071,b0533,True,462796,463774
sfmF,b0534;ECK0527;JW5072,b0534,True,463784,464300
fimZ,b0535;ECK0528;JW5073,b0535,True,464302,464935
argU,b0536;ECK0529;JWR0010,b0536,True,465177,465254
envY,b0566;ECK0558;JW0555,b0566,True,465547,466309
ybcH,b0567;ECK0559;JW0556,b0567,True,466491,467382
nfrA,b0568;ECK0560;JW0557,b0568,True,467382,470355
nfrB,b0569;ECK0561;JW0558,b0569,True,470341,472579
cusS,b0570;ECK0562;JW5082,b0570,True,472728,474171
cusR,b0571;ECK0563;JW0560,b0571,True,474160,474844
cusC,b0572;ECK0564;JW0561,b0572,True,475000,476374
cusF,b0573;ECK0565;JW0562,b0573,True,476531,476864
cusB,b0574;ECK0566;JW0563,b0574,True,476879,478103
cusA,b0575;ECK0567;JW0564,b0575,True,478114,481258
pheP,b0576;ECK0568;JW0565,b0576,True,481359,482736
entD,b0583;ECK0575;JW5085,b0583,True,482974,483604
fepA,b0584;ECK0576;JW5086,b0584,True,483769,486010
fes,b0585;ECK0577;JW0576,b0585,True,486330,487455
