group,start,end,depth,length,start_fix,end_fix,is_start,is_end,line,gen_id
28,3939928,3942236,0.0,2309,3943020,3945328,43,44,L01-1,3
29,3942237,3977333,1.0,35097,3945329,3980425,44,-1,L01-1,3
1,1,1485236,1.0,1485236,1,1488328,-1,6,L01-2,1
2,1485237,1485904,0.0,668,1488329,1488996,6,7,L01-2,1
3,1485905,1968467,1.0,482563,1488997,1971559,7,8,L01-2,1
4,1968468,1977701,0.0,9234,1971560,1980793,8,9,L01-2,1
5,1977702,3867438,1.0,1889737,1980794,3870530,9,-1,L01-2,1
6,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L01-2,1
7,3867521,3939927,1.0,72407,3870613,3943019,-1,13,L01-2,1
8,3939928,3942236,0.0,2309,3943020,3945328,13,14,L01-2,1
9,3942237,3977333,1.0,35097,3945329,3980425,14,-1,L01-2,1
1,1,528523,1.0,528523,1,528523,-1,2,L01-2,2
2,528524,554065,0.0,25542,528524,554065,2,3,L01-2,2
3,554066,565100,1.0,11035,554066,565100,3,4,L01-2,2
4,565101,581256,2.0,16156,565101,581256,4,5,L01-2,2
5,581257,1482773,1.0,901517,581257,1485865,5,10,L01-2,2
6,1482774,1485904,0.0,3131,1485866,1488996,10,11,L01-2,2
7,1485905,1968467,1.0,482563,1488997,1971559,11,12,L01-2,2
8,1968468,1977701,0.0,9234,1971560,1980793,12,13,L01-2,2
9,1977702,2292978,1.0,315277,1980794,2296070,13,15,L01-2,2
10,2292979,2293071,0.0,93,2296071,2296163,15,16,L01-2,2
11,2293072,3502729,1.0,1209658,2296164,3505821,16,18,L01-2,2
12,3502730,3503888,0.0,1159,3505822,3506980,18,19,L01-2,2
13,3503889,3867438,1.0,363550,3506981,3870530,19,-1,L01-2,2
14,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L01-2,2
15,3867521,3939927,1.0,72407,3870613,3943019,-1,22,L01-2,2
16,3939928,3942236,0.0,2309,3943020,3945328,22,23,L01-2,2
17,3942237,3977333,1.0,35097,3945329,3980425,23,-1,L01-2,2
1,1,529717,1.0,529717,1,529717,-1,2,L01-2,3
2,529718,554065,0.0,24348,529718,554065,2,3,L01-2,3
3,554066,576487,1.0,22422,554066,576487,3,4,L01-2,3
4,576488,581266,2.0,4779,576488,581266,4,5,L01-2,3
5,581267,583129,0.0,1863,581267,583129,5,6,L01-2,3
6,583130,1482772,1.0,899643,583130,1485864,6,12,L01-2,3
7,1482773,1485904,0.0,3132,1485865,1488996,12,13,L01-2,3
8,1485905,1968467,1.0,482563,1488997,1971559,13,15,L01-2,3
9,1968468,1977701,0.0,9234,1971560,1980793,15,16,L01-2,3
10,1977702,2088470,1.0,110769,1980794,2091562,16,17,L01-2,3
11,2088471,2088702,0.0,232,2091563,2091794,17,18,L01-2,3
12,2088703,2292978,1.0,204276,2091795,2296070,18,19,L01-2,3
13,2292979,2293069,0.0,91,2296071,2296161,19,20,L01-2,3
14,2293070,3502729,1.0,1209660,2296162,3505821,20,25,L01-2,3
15,3502730,3503888,0.0,1159,3505822,3506980,25,26,L01-2,3
16,3503889,3699192,1.0,195304,3506981,3702284,26,27,L01-2,3
17,3699193,3726213,0.0,27021,3702285,3729305,27,28,L01-2,3
18,3726214,3845239,1.0,119026,3729306,3848331,28,30,L01-2,3
19,3845240,3845371,0.0,132,3848332,3848463,30,31,L01-2,3
20,3845372,3867438,1.0,22067,3848464,3870530,31,-1,L01-2,3
21,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L01-2,3
22,3867521,3939909,1.0,72389,3870613,3943001,-1,32,L01-2,3
23,3939910,3947646,0.0,7737,3943002,3950738,32,33,L01-2,3
24,3947647,3977333,1.0,29687,3950739,3980425,33,-1,L01-2,3
1,1,1485236,1.0,1485236,1,1488328,-1,6,L01-3,1
2,1485237,1485904,0.0,668,1488329,1488996,6,7,L01-3,1
3,1485905,1968467,1.0,482563,1488997,1971559,7,8,L01-3,1
4,1968468,1977701,0.0,9234,1971560,1980793,8,9,L01-3,1
5,1977702,3867438,1.0,1889737,1980794,3870530,9,-1,L01-3,1
6,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L01-3,1
7,3867521,3939927,1.0,72407,3870613,3943019,-1,13,L01-3,1
8,3939928,3942236,0.0,2309,3943020,3945328,13,14,L01-3,1
9,3942237,3977333,1.0,35097,3945329,3980425,14,-1,L01-3,1
1,1,546067,1.0,546067,1,546067,-1,3,L01-3,2
2,546068,554339,0.0,8272,546068,554339,3,4,L01-3,2
3,554340,1175377,1.0,621038,554340,1175377,4,5,L01-3,2
4,1175378,1181596,0.0,6219,1175378,1181596,5,6,L01-3,2
5,1181597,1484618,1.0,303022,1181597,1487710,6,9,L01-3,2
6,1484619,1485904,0.0,1286,1487711,1488996,9,10,L01-3,2
7,1485905,1821964,1.0,336060,1488997,1825056,10,14,L01-3,2
8,1821965,1831725,0.0,9761,1825057,1834817,14,15,L01-3,2
9,1831726,1968467,1.0,136742,1834818,1971559,15,17,L01-3,2
10,1968468,1977701,0.0,9234,1971560,1980793,17,18,L01-3,2
11,1977702,3456602,1.0,1478901,1980794,3459694,18,24,L01-3,2
12,3456603,3458010,0.0,1408,3459695,3461102,24,25,L01-3,2
13,3458011,3867438,1.0,409428,3461103,3870530,25,-1,L01-3,2
14,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L01-3,2
15,3867521,3939927,1.0,72407,3870613,3943019,-1,28,L01-3,2
16,3939928,3942236,0.0,2309,3943020,3945328,28,29,L01-3,2
17,3942237,3977333,1.0,35097,3945329,3980425,29,-1,L01-3,2
1,1,546067,1.0,546067,1,546067,-1,3,L01-3,3
2,546068,554339,0.0,8272,546068,554339,3,4,L01-3,3
3,554340,1044781,1.0,490442,554340,1044781,4,5,L01-3,3
4,1044782,1045907,0.0,1126,1044782,1045907,5,6,L01-3,3
5,1045908,1175377,1.0,129470,1045908,1175377,6,7,L01-3,3
6,1175378,1181596,0.0,6219,1175378,1181596,7,8,L01-3,3
7,1181597,1484618,1.0,303022,1181597,1487710,8,11,L01-3,3
8,1484619,1485904,0.0,1286,1487711,1488996,11,12,L01-3,3
9,1485905,1557854,1.0,71950,1488997,1560946,12,13,L01-3,3
10,1557855,1558951,0.0,1097,1560947,1562043,13,14,L01-3,3
11,1558952,1808712,1.0,249761,1562044,1811804,14,16,L01-3,3
12,1808713,1808879,0.0,167,1811805,1811971,16,17,L01-3,3
13,1808880,1821964,1.0,13085,1811972,1825056,17,18,L01-3,3
14,1821965,1822878,0.0,914,1825057,1825970,18,19,L01-3,3
15,1822879,1954799,1.0,131921,1825971,1957891,19,20,L01-3,3
16,1954800,1977699,0.0,22900,1957892,1980791,20,21,L01-3,3
17,1977700,2293079,1.0,315380,1980792,2296171,21,22,L01-3,3
18,2293080,2301502,0.0,8423,2296172,2304594,22,23,L01-3,3
19,2301503,3126822,1.0,825320,2304595,3129914,23,28,L01-3,3
20,3126823,3127792,0.0,970,3129915,3130884,28,29,L01-3,3
21,3127793,3333001,1.0,205209,3130885,3336093,29,30,L01-3,3
22,3333002,3358209,0.0,25208,3336094,3361301,30,31,L01-3,3
23,3358210,3456602,1.0,98393,3361302,3459694,31,32,L01-3,3
24,3456603,3458010,0.0,1408,3459695,3461102,32,33,L01-3,3
25,3458011,3840826,1.0,382816,3461103,3843918,33,34,L01-3,3
26,3840827,3845372,0.0,4546,3843919,3848464,34,35,L01-3,3
27,3845373,3867438,1.0,22066,3848465,3870530,35,-1,L01-3,3
28,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L01-3,3
29,3867521,3906056,1.0,38536,3870613,3909148,-1,36,L01-3,3
30,3906057,3919567,0.0,13511,3909149,3922659,36,37,L01-3,3
31,3919568,3939927,1.0,20360,3922660,3943019,37,38,L01-3,3
32,3939928,3942236,0.0,2309,3943020,3945328,38,39,L01-3,3
33,3942237,3977333,1.0,35097,3945329,3980425,39,-1,L01-3,3
1,1,1485236,1.0,1485236,1,1488328,-1,6,L01-4,1
2,1485237,1485904,0.0,668,1488329,1488996,6,7,L01-4,1
3,1485905,1968467,1.0,482563,1488997,1971559,7,8,L01-4,1
4,1968468,1977701,0.0,9234,1971560,1980793,8,9,L01-4,1
5,1977702,3867438,1.0,1889737,1980794,3870530,9,-1,L01-4,1
6,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L01-4,1
7,3867521,3939927,1.0,72407,3870613,3943019,-1,13,L01-4,1
8,3939928,3942236,0.0,2309,3943020,3945328,13,14,L01-4,1
9,3942237,3977333,1.0,35097,3945329,3980425,14,-1,L01-4,1
1,1,1485236,1.0,1485236,1,1488328,-1,6,L01-4,2
2,1485237,1485904,0.0,668,1488329,1488996,6,7,L01-4,2
3,1485905,1968467,1.0,482563,1488997,1971559,7,9,L01-4,2
4,1968468,1977701,0.0,9234,1971560,1980793,9,10,L01-4,2
5,1977702,2293079,1.0,315378,1980794,2296171,10,13,L01-4,2
6,2293080,2319522,0.0,26443,2296172,2322614,13,14,L01-4,2
7,2319523,3867438,1.0,1547916,2322615,3870530,14,-1,L01-4,2
8,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L01-4,2
9,3867521,3939927,1.0,72407,3870613,3943019,-1,21,L01-4,2
10,3939928,3942236,0.0,2309,3943020,3945328,21,22,L01-4,2
11,3942237,3977333,1.0,35097,3945329,3980425,22,-1,L01-4,2
1,1,434058,1.0,434058,1,434058,-1,4,L01-4,3
2,434059,436241,0.0,2183,434059,436241,4,5,L01-4,3
3,436242,1485236,1.0,1048995,436242,1488328,5,12,L01-4,3
4,1485237,1485904,0.0,668,1488329,1488996,12,13,L01-4,3
5,1485905,1968467,1.0,482563,1488997,1971559,13,15,L01-4,3
6,1968468,1977701,0.0,9234,1971560,1980793,15,16,L01-4,3
7,1977702,2293079,1.0,315378,1980794,2296171,16,19,L01-4,3
8,2293080,2319522,0.0,26443,2296172,2322614,19,20,L01-4,3
9,2319523,2557070,1.0,237548,2322615,2560162,20,22,L01-4,3
10,2557071,2558662,0.0,1592,2560163,2561754,22,23,L01-4,3
11,2558663,3347915,1.0,789253,2561755,3351007,23,27,L01-4,3
12,3347916,3355590,0.0,7675,3351008,3358682,27,28,L01-4,3
13,3355591,3456472,1.0,100882,3358683,3459564,28,29,L01-4,3
14,3456473,3457878,0.0,1406,3459565,3460970,29,30,L01-4,3
15,3457879,3845053,1.0,387175,3460971,3848145,30,31,L01-4,3
16,3845054,3845372,0.0,319,3848146,3848464,31,32,L01-4,3
17,3845373,3867438,1.0,22066,3848465,3870530,32,-1,L01-4,3
18,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L01-4,3
19,3867521,3939927,1.0,72407,3870613,3943019,-1,33,L01-4,3
20,3939928,3942236,0.0,2309,3943020,3945328,33,34,L01-4,3
21,3942237,3977333,1.0,35097,3945329,3980425,34,-1,L01-4,3
1,1,3867438,1.0,3867438,1,3870530,-1,-1,L02-1,1
2,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-1,1
3,3867521,3977333,1.0,109813,3870613,3980425,-1,-1,L02-1,1
1,1,1232043,1.0,1232043,1,1232043,-1,2,L02-1,2
2,1232044,1232459,0.0,416,1232044,1232459,2,3,L02-1,2
3,1232460,1810132,1.0,577673,1232460,1813224,3,9,L02-1,2
4,1810133,1844919,0.0,34787,1813225,1848011,9,10,L02-1,2
5,1844920,3038387,1.0,1193468,1848012,3041479,10,16,L02-1,2
6,3038388,3039320,0.0,933,3041480,3042412,16,17,L02-1,2
7,3039321,3348505,1.0,309185,3042413,3351597,17,18,L02-1,2
8,3348506,3358538,0.0,10033,3351598,3361630,18,19,L02-1,2
9,3358539,3851145,1.0,492607,3361631,3854237,19,25,L02-1,2
10,3851146,3853542,0.0,2397,3854238,3856634,25,26,L02-1,2
11,3853543,3867438,1.0,13896,3856635,3870530,26,-1,L02-1,2
12,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-1,2
13,3867521,3950992,1.0,83472,3870613,3954084,-1,27,L02-1,2
14,3950993,3952135,0.0,1143,3954085,3955227,27,28,L02-1,2
15,3952136,3977333,1.0,25198,3955228,3980425,28,-1,L02-1,2
1,1,101582,1.0,101582,1,101582,-1,-1,L02-1,3
2,101583,101680,0.0,98,101583,101680,-1,-1,L02-1,3
3,101681,1232046,1.0,1130366,101681,1232046,-1,6,L02-1,3
4,1232047,1232460,0.0,414,1232047,1232460,6,7,L02-1,3
5,1232461,1272609,1.0,40149,1232461,1272609,7,8,L02-1,3
6,1272610,1512782,2.0,240173,1275702,1515874,8,11,L02-1,3
7,1512783,1656824,1.0,144042,1515875,1659916,11,12,L02-1,3
8,1656825,1658198,0.0,1374,1659917,1661290,12,13,L02-1,3
9,1658199,1810132,1.0,151934,1661291,1813224,13,15,L02-1,3
10,1810133,1844919,0.0,34787,1813225,1848011,15,16,L02-1,3
11,1844920,2283153,1.0,438234,1848012,2286245,16,18,L02-1,3
12,2283154,2294724,0.0,11571,2286246,2297816,18,19,L02-1,3
13,2294725,3038387,1.0,743663,2297817,3041479,19,25,L02-1,3
14,3038388,3039320,0.0,933,3041480,3042412,25,26,L02-1,3
15,3039321,3348505,1.0,309185,3042413,3351597,26,28,L02-1,3
16,3348506,3358538,0.0,10033,3351598,3361630,28,29,L02-1,3
17,3358539,3692088,1.0,333550,3361631,3695180,29,33,L02-1,3
18,3692089,3776235,0.0,84147,3695181,3779327,33,34,L02-1,3
19,3776236,3851145,1.0,74910,3779328,3854237,34,36,L02-1,3
20,3851146,3853542,0.0,2397,3854238,3856634,36,37,L02-1,3
21,3853543,3867438,1.0,13896,3856635,3870530,37,-1,L02-1,3
22,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-1,3
23,3867521,3950993,1.0,83473,3870613,3954085,-1,38,L02-1,3
24,3950994,3953645,0.0,2652,3954086,3956737,38,39,L02-1,3
25,3953646,3977333,1.0,23688,3956738,3980425,39,-1,L02-1,3
1,1,3867438,1.0,3867438,1,3870530,-1,-1,L02-2,1
2,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-2,1
3,3867521,3977333,1.0,109813,3870613,3980425,-1,-1,L02-2,1
1,1,554073,1.0,554073,1,554073,-1,1,L02-2,2
2,554074,554755,0.0,682,554074,554755,1,2,L02-2,2
3,554756,2383225,1.0,1828470,554756,2386317,2,12,L02-2,2
4,2383226,2387311,0.0,4086,2386318,2390403,12,13,L02-2,2
5,2387312,3019789,1.0,632478,2390404,3022881,13,18,L02-2,2
6,3019790,3039320,0.0,19531,3022882,3042412,18,19,L02-2,2
7,3039321,3699565,1.0,660245,3042413,3702657,19,23,L02-2,2
8,3699566,3714546,0.0,14981,3702658,3717638,23,24,L02-2,2
9,3714547,3776235,1.0,61689,3717639,3779327,24,25,L02-2,2
10,3776236,3792727,2.0,16492,3779328,3795819,25,26,L02-2,2
11,3792728,3853541,1.0,60814,3795820,3856633,26,28,L02-2,2
12,3853542,3853982,0.0,441,3856634,3857074,28,29,L02-2,2
13,3853983,3867438,1.0,13456,3857075,3870530,29,-1,L02-2,2
14,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-2,2
15,3867521,3952142,1.0,84622,3870613,3955234,-1,30,L02-2,2
16,3952143,3952879,0.0,737,3955235,3955971,30,31,L02-2,2
17,3952880,3977333,1.0,24454,3955972,3980425,31,-1,L02-2,2
1,1,554073,1.0,554073,1,554073,-1,1,L02-2,3
2,554074,554755,0.0,682,554074,554755,1,2,L02-2,3
3,554756,2294734,1.0,1739979,554756,2297826,2,12,L02-2,3
4,2294735,2296375,0.0,1641,2297827,2299467,12,13,L02-2,3
5,2296376,2383226,1.0,86851,2299468,2386318,13,14,L02-2,3
6,2383227,2387311,0.0,4085,2386319,2390403,14,15,L02-2,3
7,2387312,2425318,1.0,38007,2390404,2428410,15,16,L02-2,3
8,2425319,2797664,2.0,372346,2428411,2800756,16,19,L02-2,3
9,2797665,3019789,1.0,222125,2800757,3022881,19,21,L02-2,3
10,3019790,3039320,0.0,19531,3022882,3042412,21,22,L02-2,3
11,3039321,3348505,1.0,309185,3042413,3351597,22,23,L02-2,3
12,3348506,3349176,0.0,671,3351598,3352268,23,24,L02-2,3
13,3349177,3699565,1.0,350389,3352269,3702657,24,27,L02-2,3
14,3699566,3716706,0.0,17141,3702658,3719798,27,28,L02-2,3
15,3716707,3853541,1.0,136835,3719799,3856633,28,32,L02-2,3
16,3853542,3853982,0.0,441,3856634,3857074,32,33,L02-2,3
17,3853983,3867438,1.0,13456,3857075,3870530,33,-1,L02-2,3
18,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-2,3
19,3867521,3952142,1.0,84622,3870613,3955234,-1,34,L02-2,3
20,3952143,3952879,0.0,737,3955235,3955971,34,35,L02-2,3
21,3952880,3977333,1.0,24454,3955972,3980425,35,-1,L02-2,3
1,1,3867438,1.0,3867438,1,3870530,-1,-1,L02-3,1
2,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-3,1
3,3867521,3977333,1.0,109813,3870613,3980425,-1,-1,L02-3,1
1,1,1214035,1.0,1214035,1,1214035,-1,3,L02-3,2
2,1214036,1232064,0.0,18029,1214036,1232064,3,4,L02-3,2
3,1232065,1658205,1.0,426141,1232065,1661297,4,9,L02-3,2
4,1658206,1658759,0.0,554,1661298,1661851,9,10,L02-3,2
5,1658760,2387319,1.0,728560,1661852,2390411,10,14,L02-3,2
6,2387320,2389111,0.0,1792,2390412,2392203,14,15,L02-3,2
7,2389112,2557141,1.0,168030,2392204,2560233,15,16,L02-3,2
8,2557142,2574788,0.0,17647,2560234,2577880,16,17,L02-3,2
9,2574789,3348503,1.0,773715,2577881,3351595,17,22,L02-3,2
10,3348504,3349001,0.0,498,3351596,3352093,22,23,L02-3,2
11,3349002,3756885,1.0,407884,3352094,3759977,23,27,L02-3,2
12,3756886,3776235,0.0,19350,3759978,3779327,27,28,L02-3,2
13,3776236,3867438,1.0,91203,3779328,3870530,28,-1,L02-3,2
14,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-3,2
15,3867521,3977333,1.0,109813,3870613,3980425,-1,-1,L02-3,2
1,1,1098836,1.0,1098836,1,1098836,-1,2,L02-3,3
2,1098837,1113756,0.0,14920,1098837,1113756,2,3,L02-3,3
3,1113757,1214035,1.0,100279,1113757,1214035,3,5,L02-3,3
4,1214036,1232066,0.0,18031,1214036,1232066,5,6,L02-3,3
5,1232067,1658205,1.0,426139,1232067,1661297,6,11,L02-3,3
6,1658206,1658759,0.0,554,1661298,1661851,11,12,L02-3,3
7,1658760,2362392,1.0,703633,1661852,2365484,12,17,L02-3,3
8,2362393,2389112,0.0,26720,2365485,2392204,17,18,L02-3,3
9,2389113,2557141,2.0,168029,2392205,2560233,18,19,L02-3,3
10,2557142,2574788,0.0,17647,2560234,2577880,19,20,L02-3,3
11,2574789,2663889,2.0,89101,2577881,2666981,20,21,L02-3,3
12,2663890,3348503,1.0,684614,2666982,3351595,21,25,L02-3,3
13,3348504,3349001,0.0,498,3351596,3352093,25,26,L02-3,3
14,3349002,3756885,1.0,407884,3352094,3759977,26,30,L02-3,3
15,3756886,3776235,0.0,19350,3759978,3779327,30,31,L02-3,3
16,3776236,3867438,1.0,91203,3779328,3870530,31,-1,L02-3,3
17,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-3,3
18,3867521,3952144,1.0,84624,3870613,3955236,-1,34,L02-3,3
19,3952145,3954142,0.0,1998,3955237,3957234,34,35,L02-3,3
20,3954143,3977333,1.0,23191,3957235,3980425,35,-1,L02-3,3
1,1,3867438,1.0,3867438,1,3870530,-1,-1,L02-4,1
2,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-4,1
3,3867521,3977333,1.0,109813,3870613,3980425,-1,-1,L02-4,1
1,1,1190323,1.0,1190323,1,1190323,-1,-1,L02-4,2
2,1190324,1190432,0.0,109,1190324,1190432,-1,-1,L02-4,2
3,1190433,2329026,1.0,1138594,1190433,2332118,-1,12,L02-4,2
4,2329027,2387311,0.0,58285,2332119,2390403,12,13,L02-4,2
5,2387312,3135332,1.0,748021,2390404,3138424,13,19,L02-4,2
6,3135333,3144812,0.0,9480,3138425,3147904,19,20,L02-4,2
7,3144813,3330719,1.0,185907,3147905,3333811,20,21,L02-4,2
8,3330720,3362144,0.0,31425,3333812,3365236,21,22,L02-4,2
9,3362145,3789766,1.0,427622,3365237,3792858,22,27,L02-4,2
10,3789767,3792728,0.0,2962,3792859,3795820,27,28,L02-4,2
11,3792729,3867438,1.0,74710,3795821,3870530,28,-1,L02-4,2
12,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-4,2
13,3867521,3894543,1.0,27023,3870613,3897635,-1,31,L02-4,2
14,3894544,3895619,0.0,1076,3897636,3898711,31,32,L02-4,2
15,3895620,3977333,1.0,81714,3898712,3980425,32,-1,L02-4,2
1,1,137383,1.0,137383,1,137383,-1,1,L02-4,3
2,137384,144383,0.0,7000,137384,144383,1,2,L02-4,3
3,144384,1190323,1.0,1045940,144384,1190323,2,-1,L02-4,3
4,1190324,1190432,0.0,109,1190324,1190432,-1,-1,L02-4,3
5,1190433,2174253,1.0,983821,1190433,2177345,-1,13,L02-4,3
6,2174254,2183363,0.0,9110,2177346,2186455,13,14,L02-4,3
7,2183364,2294733,1.0,111370,2186456,2297825,14,16,L02-4,3
8,2294734,2301187,0.0,6454,2297826,2304279,16,17,L02-4,3
9,2301188,2329026,1.0,27839,2304280,2332118,17,18,L02-4,3
10,2329027,2387309,0.0,58283,2332119,2390401,18,19,L02-4,3
11,2387310,2599607,1.0,212298,2390402,2602699,19,21,L02-4,3
12,2599608,2663891,2.0,64284,2602700,2666983,21,22,L02-4,3
13,2663892,3119110,1.0,455219,2666984,3122202,22,25,L02-4,3
14,3119111,3123878,0.0,4768,3122203,3126970,25,26,L02-4,3
15,3123879,3134145,1.0,10267,3126971,3137237,26,27,L02-4,3
16,3134146,3144814,0.0,10669,3137238,3147906,27,28,L02-4,3
17,3144815,3330719,1.0,185905,3147907,3333811,28,29,L02-4,3
18,3330720,3362144,0.0,31425,3333812,3365236,29,30,L02-4,3
19,3362145,3573602,1.0,211458,3365237,3576694,30,32,L02-4,3
20,3573603,3574511,0.0,909,3576695,3577603,32,33,L02-4,3
21,3574512,3789766,1.0,215255,3577604,3792858,33,36,L02-4,3
22,3789767,3792728,0.0,2962,3792859,3795820,36,37,L02-4,3
23,3792729,3842711,1.0,49983,3795821,3845803,37,39,L02-4,3
24,3842712,3842900,0.0,189,3845804,3845992,39,40,L02-4,3
25,3842901,3867438,1.0,24538,3845993,3870530,40,-1,L02-4,3
26,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L02-4,3
27,3867521,3889528,1.0,22008,3870613,3892620,-1,42,L02-4,3
28,3889529,3895618,0.0,6090,3892621,3898710,42,43,L02-4,3
29,3895619,3912128,1.0,16510,3898711,3915220,43,44,L02-4,3
30,3912129,3912783,0.0,655,3915221,3915875,44,45,L02-4,3
31,3912784,3951885,1.0,39102,3915876,3954977,45,46,L02-4,3
32,3951886,3957695,0.0,5810,3954978,3960787,46,47,L02-4,3
33,3957696,3977333,1.0,19638,3960788,3980425,47,-1,L02-4,3
1,1,1656831,1.0,1656831,1,1659923,-1,5,L03-1,1
2,1656832,1658359,0.0,1528,1659924,1661451,5,6,L03-1,1
3,1658360,1862085,1.0,203726,1661452,1865177,6,7,L03-1,1
4,1862086,1919531,0.0,57446,1865178,1922623,7,8,L03-1,1
5,1919532,2557823,1.0,638292,1922624,2560915,8,9,L03-1,1
6,2557824,2558721,0.0,898,2560916,2561813,9,10,L03-1,1
7,2558722,2617812,1.0,59091,2561814,2620904,10,11,L03-1,1
8,2617813,2617964,0.0,152,2620905,2621056,11,12,L03-1,1
9,2617965,3456799,1.0,838835,2621057,3459891,12,13,L03-1,1
10,3456800,3458031,0.0,1232,3459892,3461123,13,14,L03-1,1
11,3458032,3867438,1.0,409407,3461124,3870530,14,-1,L03-1,1
12,3867439,3867520,0.0,82,3870531,3870612,-1,-1,L03-1,1
13,3867521,3977333,1.0,109813,3870613,3980425,-1,-1,L03-1,1
1,1,1656831,1.0,1656831,1,1659923,-1,7,L03-1,2
2,1656832,1658359,0.0,1528,1659924,1661451,7,8,L03-1,2
