gene,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,line,gen_id,duplicated
fabG,100.0,734,0,0,1,734,1622404,1623137,0.0,1356,734,L01-1,1,False
rpsB,100.0,725,0,0,1,725,806212,806936,0.0,1339,725,L01-1,1,False
yhbG,100.0,725,0,0,1,725,3460807,3461531,0.0,1339,725,L01-1,1,False
pyrH,100.0,725,0,0,1,725,808193,808917,0.0,1339,725,L01-1,1,False
lpxH,100.0,722,0,0,1,722,1081145,1081866,0.0,1334,722,L01-1,1,False
ispD,100.0,710,0,0,1,710,3022752,3023461,0.0,1312,710,L01-1,1,False
lolD,100.0,701,0,0,1,701,1648353,1649053,0.0,1295,701,L01-1,1,False
rpsC,100.0,701,0,0,1,701,3560561,3561261,0.0,1295,701,L01-1,1,False
yeaZ,100.0,695,0,0,1,695,2206504,2207198,0.0,1284,695,L01-1,1,False
mukE,100.0,677,0,0,1,677,1216977,1216301,0.0,1251,677,L01-1,1,False
folE,100.0,668,0,0,1,668,2457586,2458253,0.0,1234,668,L01-1,1,False
ftsE,100.0,668,0,0,1,668,3693624,3694291,0.0,1234,668,L01-1,1,False
can,100.0,662,0,0,1,662,764258,764919,0.0,1223,662,L01-1,1,False
ribB,100.0,653,0,0,1,653,3304488,3305140,0.0,1206,653,L01-1,1,False
adk,100.0,644,0,0,1,644,1032391,1033034,0.0,1190,644,L01-1,1,False
ribC,100.0,641,0,0,1,641,2059969,2060609,0.0,1184,641,L01-1,1,False
nadD,100.0,641,0,0,1,641,1170920,1171560,0.0,1184,641,L01-1,1,False
tmk,100.0,641,0,0,1,641,1626858,1627498,0.0,1184,641,L01-1,1,False
rplC,100.0,629,0,0,1,629,3563676,3564304,0.0,1162,629,L01-1,1,False
lolB,100.0,623,0,0,1,623,1708665,1709287,0.0,1151,623,L01-1,1,False
gmk,100.0,623,0,0,1,623,3897184,3897806,0.0,1151,623,L01-1,1,False
rpsD,100.0,620,0,0,1,620,3552434,3553053,0.0,1146,620,L01-1,1,False
coaE,100.0,620,0,0,1,620,734849,735468,0.0,1146,620,L01-1,1,False
lolA,100.0,614,0,0,1,614,1255258,1254645,0.0,1134,614,L01-1,1,False
lexA,100.0,608,0,0,1,608,331371,331978,0.0,1123,608,L01-1,1,False
rplD,100.0,605,0,0,1,605,3563060,3563664,0.0,1118,605,L01-1,1,False
yihA,100.0,596,0,0,1,596,124389,124984,0.0,1101,596,L01-1,1,False
grpE,100.0,593,0,0,1,593,2936180,2936772,0.0,1096,593,L01-1,1,False
ribA,100.0,590,0,0,1,590,1783159,1783748,0.0,1090,590,L01-1,1,False
pth,100.0,584,0,0,1,584,1703717,1704300,0.0,1079,584,L01-1,1,False
rlpB,100.0,581,0,0,1,581,1172594,1173174,0.0,1074,581,L01-1,1,False
yrbK,100.0,575,0,0,1,575,3459699,3460273,0.0,1062,575,L01-1,1,False
yrdC,100.0,572,0,0,1,572,3542222,3542793,0.0,1057,572,L01-1,1,False
kdsC,100.0,566,0,0,1,566,3459136,3459701,0.0,1046,566,L01-1,1,False
efp,100.0,566,0,0,1,566,449841,450406,0.0,1046,566,L01-1,1,False
yhbN,100.0,557,0,0,1,557,3460243,3460799,0.0,1029,557,L01-1,1,False
frr,100.0,557,0,0,1,557,809210,809766,0.0,1029,557,L01-1,1,False
pgsA,100.0,548,0,0,1,548,2291434,2291981,0.0,1013,548,L01-1,1,False
nusG,100.0,545,0,0,1,545,251995,252539,0.0,1007,545,L01-1,1,False
hemG,100.0,545,0,0,1,545,108864,109408,0.0,1007,545,L01-1,1,False
orn,100.0,545,0,0,1,545,465745,466289,0.0,1007,545,L01-1,1,False
infC,100.0,542,0,0,1,542,2117462,2118003,0.0,1002,542,L01-1,1,False
rplE,100.0,539,0,0,1,539,3558278,3558816,0.0,996,539,L01-1,1,False
rpsG,100.0,539,0,0,1,539,3568995,3569533,0.0,996,539,L01-1,1,False
dnaT,100.0,539,0,0,1,539,586761,587299,0.0,996,539,L01-1,1,False
ssb,100.0,536,0,0,1,536,348382,348917,0.0,990,536,L01-1,1,False
rplF,100.0,533,0,0,1,533,3556986,3557518,0.0,985,533,L01-1,1,False
fldA,100.0,530,0,0,1,530,1476321,1475792,0.0,979,530,L01-1,1,False
ppa,100.0,530,0,0,1,530,526363,526892,0.0,979,530,L01-1,1,False
fabA,100.0,518,0,0,1,518,1519050,1519567,0.0,957,518,L01-1,1,False
secM,100.0,512,0,0,1,512,729955,730466,0.0,946,512,L01-1,1,False
def,100.0,509,0,0,1,509,3545069,3545577,0.0,941,509,L01-1,1,False
rpsE,100.0,503,0,0,1,503,3556105,3556607,0.0,929,503,L01-1,1,False
rplJ,100.0,497,0,0,1,497,254248,254744,0.0,918,497,L01-1,1,False
lspA,100.0,494,0,0,1,494,647461,647954,0.0,913,494,L01-1,1,False
mreD,100.0,488,0,0,1,488,3509767,3510254,0.0,902,488,L01-1,1,False
folA,100.0,479,0,0,1,479,672075,672553,0.0,885,479,L01-1,1,False
ispF,100.0,479,0,0,1,479,3022273,3022751,0.0,885,479,L01-1,1,False
coaD,100.0,479,0,0,1,479,3885664,3886142,0.0,885,479,L01-1,1,False
folK,100.0,479,0,0,1,479,779504,779982,0.0,885,479,L01-1,1,False
accB,100.0,470,0,0,1,470,3516816,3517285,0.0,869,470,L01-1,1,False
ribE,100.0,470,0,0,1,470,969865,970334,0.0,869,470,L01-1,1,False
yjeE,100.0,461,0,0,1,461,469726,470186,0.0,852,461,L01-1,1,False
fabZ,100.0,455,0,0,1,455,818439,818893,0.0,841,455,L01-1,1,False
dut,100.0,452,0,0,4,455,3889773,3890224,0.0,835,455,L01-1,1,False
rplO,100.0,434,0,0,1,434,3555484,3555917,0.0,802,434,L01-1,1,False
rplM,100.0,428,0,0,1,428,3489604,3490031,0.0,791,428,L01-1,1,False
nusB,100.0,419,0,0,1,419,970355,970773,0.0,774,419,L01-1,1,False
yqgF,100.0,416,0,0,1,416,3239875,3240290,0.0,769,416,L01-1,1,False
rplP,100.0,410,0,0,1,410,3560138,3560547,0.0,758,410,L01-1,1,False
rpsI,100.0,392,0,0,1,392,3489196,3489587,0.0,725,392,L01-1,1,False
rpsH,100.0,392,0,0,1,392,3557532,3557923,0.0,725,392,L01-1,1,False
rpsK,100.0,389,0,0,1,389,3553088,3553476,0.0,719,389,L01-1,1,False
rplQ,100.0,383,0,0,1,383,3550995,3551377,0.0,708,383,L01-1,1,False
secE,100.0,383,0,0,1,383,251610,251992,0.0,708,383,L01-1,1,False
acpS,100.0,380,0,0,1,380,2886685,2887064,0.0,702,380,L01-1,1,False
rnpB,99.202,376,1,2,1,376,3387077,3387450,0.0,676,376,L01-1,1,False
rpsL,100.0,374,0,0,1,374,3569631,3570004,0.0,691,374,L01-1,1,False
rplN,100.0,371,0,0,1,371,3559157,3559527,0.0,686,371,L01-1,1,False
folB,100.0,368,0,0,1,368,3317979,3318346,0.0,680,368,L01-1,1,False
ftsL,100.0,365,0,0,1,365,713282,713646,0.0,675,365,L01-1,1,False
rplL,100.0,365,0,0,1,365,254812,255176,0.0,675,365,L01-1,1,False
rnpA,100.0,359,0,0,1,359,3960249,3960607,0.0,664,359,L01-1,1,False
rplT,100.0,356,0,0,1,356,2116759,2117114,0.0,658,356,L01-1,1,False
rpsM,100.0,356,0,0,1,356,3553494,3553849,0.0,658,356,L01-1,1,False
rplR,100.0,353,0,0,1,353,3556623,3556975,0.0,652,353,L01-1,1,False
rplS,100.0,347,0,0,1,347,2930248,2930594,0.0,641,347,L01-1,1,False
yadR,100.0,344,0,0,1,344,792949,793292,0.0,636,344,L01-1,1,False
rplV,100.0,332,0,0,1,332,3561280,3561611,1.59e-176,614,332,L01-1,1,False
yceQ,100.0,320,0,0,1,320,1616236,1616555,7.139999999999999e-170,592,320,L01-1,1,False
rplX,100.0,314,0,0,1,314,3558832,3559145,1.5200000000000002e-166,580,314,L01-1,1,False
ftsB,100.0,311,0,0,1,311,3023481,3023791,6.979999999999999e-165,575,311,L01-1,1,False
rpsJ,100.0,311,0,0,1,311,3564338,3564648,6.979999999999999e-165,575,311,L01-1,1,False
rplU,100.0,311,0,0,1,311,3450001,3450311,6.979999999999999e-165,575,311,L01-1,1,False
rpsN,100.0,305,0,0,1,305,3557958,3558262,1.48e-161,564,305,L01-1,1,False
rplW,100.0,302,0,0,1,302,3562761,3563062,6.81e-160,558,302,L01-1,1,False
groS,100.0,293,0,0,1,293,444830,445122,6.64e-155,542,293,L01-1,1,False
rpsS,100.0,278,0,0,1,278,3561627,3561904,1.37e-146,514,278,L01-1,1,False
rpmA,100.0,257,0,0,1,257,3449723,3449979,5.92e-135,475,257,L01-1,1,False
rpsQ,100.0,254,0,0,1,254,3559693,3559946,2.7200000000000002e-133,470,254,L01-1,1,False
rpsP,100.0,248,0,0,1,248,2932002,2932249,5.74e-130,459,248,L01-1,1,False
acpP,100.0,236,0,0,1,236,1623349,1623584,2.55e-123,436,236,L01-1,1,False
rpmB,100.0,236,0,0,1,236,3887277,3887512,2.55e-123,436,236,L01-1,1,False
rpsR,100.0,227,0,0,1,227,503080,503306,2.46e-118,420,227,L01-1,1,False
infA,100.0,218,0,0,1,218,1266401,1266184,2.37e-113,403,218,L01-1,1,False
rpmC,100.0,191,0,0,1,191,3559947,3560137,2.1e-98,353,191,L01-1,1,False
csrA,100.0,185,0,0,1,185,2969934,2970118,4.38e-95,342,185,L01-1,1,False
rpmD,100.0,179,0,0,1,179,3555922,3556100,9.14e-92,331,179,L01-1,1,False
rpmH,100.0,140,0,0,1,140,3960092,3960231,3.3e-70,259,140,L01-1,1,False
ffs,100.0,113,0,0,1,113,1011666,1011778,2.6099999999999998e-55,209,113,L01-1,1,False
serV,100.0,92,0,0,1,92,2969526,2969617,9.68e-44,171,92,L01-1,1,False
serT,100.0,87,0,0,1,87,1534721,1534807,5.43e-41,161,87,L01-1,1,False
leuU,100.0,86,0,0,1,86,3438934,3439019,1.9199999999999998e-40,159,86,L01-1,1,False
leuZ,100.0,86,0,0,1,86,2290980,2291065,1.9199999999999998e-40,159,86,L01-1,1,False
leuW,100.0,84,0,0,1,84,1490292,1490209,2.41e-39,156,84,L01-1,1,False
argU,100.0,76,0,0,1,76,1092650,1092725,5.93e-35,141,76,L01-1,1,False
proM,100.0,76,0,0,1,76,56992,57067,5.93e-35,141,76,L01-1,1,False
hisR,100.0,76,0,0,1,76,56767,56842,5.93e-35,141,76,L01-1,1,False
argX,100.0,76,0,0,1,76,56633,56708,5.93e-35,141,76,L01-1,1,False
trpT,100.0,75,0,0,1,75,21215,21289,2.09e-34,139,75,L01-1,1,False
thrU,100.0,75,0,0,1,75,249640,249714,2.09e-34,139,75,L01-1,1,False
glyT,100.0,74,0,0,1,74,249925,249998,7.4e-34,137,74,L01-1,1,False
cysT,100.0,73,0,0,1,73,2291079,2291151,2.61e-33,135,73,L01-1,1,False
mukB,100.0,4460,0,0,1,4460,1217546,1213087,0.0,8237,4460,L01-1,2,False
rpoC,100.0,4223,0,0,1,4223,259595,263817,0.0,7799,4223,L01-1,2,False
rpoB,100.0,4028,0,0,1,4028,255490,259517,0.0,7439,4028,L01-1,2,False
ftsK,100.0,3989,0,0,1,3989,1260648,1256660,0.0,7367,3989,L01-1,2,False
dnaE,100.0,3482,0,0,1,3482,819600,823081,0.0,6431,3482,L01-1,2,False
rne,100.0,3185,0,0,1,3185,1614159,1617343,0.0,5882,3185,L01-1,2,False
valS,100.0,2855,0,0,1,2855,556362,559216,0.0,5273,2855,L01-1,2,False
