,line,gen_id,prime_end,distance,initial_weight,factor,normalized_weight,cumulative_weight
1899,L09-3,1,distance_5_prime,564,564,8,0.006123429446204207,0.15685306988654898
1916,L09-3,2,distance_5_prime,565,565,12,0.005643735453646452,0.16249680534019545
2537,L01-4,2,distance_3_prime,570,570,12,0.005695799347980864,0.16819260468817632
3854,L07-2,2,distance_3_prime,591,591,12,0.005037693912502389,0.1732302986006787
2187,L11-1,2,distance_5_prime,606,606,12,0.006466316378222599,0.1796966149789013
833,L04-3,2,distance_5_prime,608,608,12,0.0021762506506231814,0.18187286562952448
3155,L04-2,2,distance_3_prime,679,679,12,0.005968251363878748,0.18784111699340322
4345,L10-1,1,distance_3_prime,682,682,8,0.005444370823920107,0.19328548781732333
4355,L10-1,2,distance_3_prime,682,682,12,0.0068609196683888825,0.20014640748571222
4437,L10-3,1,distance_3_prime,682,682,8,0.005444370823920107,0.20559077830963232
4384,L10-2,1,distance_3_prime,682,682,8,0.005444370823920107,0.21103514913355242
4448,L10-3,2,distance_3_prime,682,682,12,0.005820929599042932,0.21685607873259535
4482,L10-4,1,distance_3_prime,682,682,8,0.005444370823920107,0.22230044955651546
3275,L04-4,2,distance_3_prime,704,704,12,0.004452971810495689,0.22675342136701115
3070,L04-1,1,distance_3_prime,704,704,8,0.0059924137233935025,0.23274583509040467
3144,L04-2,2,distance_3_prime,704,704,12,0.006187995523078997,0.23893383061348367
3191,L04-3,1,distance_3_prime,704,704,8,0.0059924137233935025,0.24492624433687718
3261,L04-4,1,distance_3_prime,704,704,8,0.0059924137233935025,0.2509186580602707
3130,L04-2,1,distance_3_prime,704,704,8,0.0059924137233935025,0.2569110717836642
3208,L04-3,2,distance_3_prime,704,704,12,0.002519869174405789,0.25943094095806996
3760,L06-4,2,distance_3_prime,719,719,12,0.005370755155065927,0.26480169611313586
2380,L01-1,2,distance_3_prime,754,754,12,0.007296703580287932,0.2720983996934238
647,L03-4,2,distance_5_prime,775,775,12,0.005846041664047473,0.27794444135747126
2484,L01-3,2,distance_3_prime,790,790,12,0.005364208844267624,0.2833086502017389
1583,L07-4,2,distance_5_prime,792,792,12,0.007161636415836078,0.29047028661757496
4322,L09-4,2,distance_3_prime,848,848,12,0.013324708587470898,0.3037949952050459
4193,L09-1,2,distance_3_prime,848,848,12,0.011435712327104526,0.31523070753215043
4224,L09-2,1,distance_3_prime,849,849,8,0.01004730755234452,0.32527801508449494
4310,L09-4,1,distance_3_prime,849,849,8,0.01004730755234452,0.33532532263683945
4260,L09-3,1,distance_3_prime,849,849,8,0.009217715602530801,0.34454303823937027
4274,L09-3,2,distance_3_prime,849,849,12,0.008480586548930687,0.35302362478830096
4234,L09-2,2,distance_3_prime,849,849,12,0.012411449037893416,0.3654350738261944
4180,L09-1,1,distance_3_prime,849,849,8,0.009217715602530801,0.3746527894287252
3348,L05-1,2,distance_3_prime,929,929,12,0.006137418045264284,0.3807902074739895
3388,L05-2,2,distance_3_prime,961,961,12,0.006386329754360005,0.3871765372283495
1084,L05-3,2,distance_5_prime,992,992,12,0.008392986948707878,0.3955695241770574
376,L02-3,2,distance_5_prime,1001,1001,12,0.00745885891629213,0.4030283830933495
306,L02-2,2,distance_5_prime,1002,1002,12,0.006429650828892361,0.40945803392224184
237,L02-1,2,distance_5_prime,1002,1002,12,0.00810924004200295,0.4175672739642448
284,L02-2,1,distance_5_prime,1002,1002,8,0.009081176610532397,0.4266484505747772
353,L02-3,1,distance_5_prime,1002,1002,8,0.009081176610532397,0.43572962718530955
420,L02-4,1,distance_5_prime,1002,1002,8,0.009081176610532397,0.4448108037958419
217,L02-1,1,distance_5_prime,1002,1002,8,0.009081176610532397,0.4538919804063743
2223,L11-2,2,distance_5_prime,1047,1047,12,0.008681688023084833,0.46257366842945913
2370,L01-1,1,distance_3_prime,1065,1065,8,0.011223403694765573,0.4737970721242247
2527,L01-4,1,distance_3_prime,1065,1065,8,0.011223403694765573,0.4850204758189903
2426,L01-2,1,distance_3_prime,1065,1065,8,0.011223403694765573,0.4962438795137559
2473,L01-3,1,distance_3_prime,1065,1065,8,0.011223403694765573,0.5074672832085215
2869,L03-1,2,distance_3_prime,1096,1096,12,0.010764181596457773,0.5182314648049793
3755,L06-4,2,distance_3_prime,1105,1105,12,0.008254081288383657,0.526485546093363
3700,L06-3,2,distance_3_prime,1106,1106,12,0.008828136692442005,0.5353136827858049
3560,L06-1,1,distance_3_prime,1106,1106,8,0.01208467467121572,0.5473983574570207
3615,L06-2,1,distance_3_prime,1106,1106,8,0.01208467467121572,0.5594830321282365
3579,L06-1,2,distance_3_prime,1106,1106,12,0.010791217744040316,0.5702742498722768
3680,L06-3,1,distance_3_prime,1106,1106,8,0.01208467467121572,0.5823589245434926
3636,L06-2,2,distance_3_prime,1106,1106,12,0.006761441646140013,0.5891203661896326
3736,L06-4,1,distance_3_prime,1106,1106,8,0.01208467467121572,0.6012050408608484
3902,L07-3,2,distance_3_prime,1115,1115,12,0.010773432618539967,0.6119784734793883
4195,L09-1,2,distance_3_prime,1263,1263,12,0.0170321989022795,0.6290106723816677
4226,L09-2,1,distance_3_prime,1263,1263,8,0.014946701341120293,0.643957373722788
4182,L09-1,1,distance_3_prime,1263,1263,8,0.013712573387510484,0.6576699471102986
4237,L09-2,2,distance_3_prime,1263,1263,12,0.018463675070505753,0.6761336221808043
4277,L09-3,2,distance_3_prime,1263,1263,12,0.01261599624416897,0.6887496184249733
4262,L09-3,1,distance_3_prime,1263,1263,8,0.013712573387510484,0.7024621918124838
4312,L09-4,1,distance_3_prime,1263,1263,8,0.014946701341120293,0.7174088931536041
4324,L09-4,2,distance_3_prime,1263,1263,12,0.019845644983461964,0.7372545381370661
903,L04-4,2,distance_5_prime,1361,1361,12,0.008608657150688398,0.7458631952877545
1632,L08-1,2,distance_5_prime,1370,1370,12,0.016845332387918084,0.7627085276756725
1777,L08-4,2,distance_5_prime,1371,1371,12,0.012905047652665019,0.7756135753283375
1617,L08-1,1,distance_5_prime,1371,1371,8,0.00887179814879675,0.7844853734771343
1716,L08-3,1,distance_5_prime,1371,1371,8,0.00887179814879675,0.7933571716259311
1677,L08-2,2,distance_5_prime,1371,1371,12,0.013876916173372044,0.8072340877993032
1731,L08-3,2,distance_5_prime,1371,1371,12,0.013920830985271943,0.8211549187845751
1762,L08-4,1,distance_5_prime,1371,1371,8,0.00887179814879675,0.8300267169333719
1662,L08-2,1,distance_5_prime,1371,1371,8,0.00887179814879675,0.8388985150821687
2181,L11-1,2,distance_5_prime,1417,1417,12,0.015120083016404988,0.8540185980985737
4285,L09-3,2,distance_3_prime,1422,1422,12,0.01420423330103585,0.8682228313996095
2816,L02-4,2,distance_3_prime,1428,1428,12,0.011923266930607643,0.8801460983302172
1199,L06-1,2,distance_5_prime,1448,1448,12,0.014128104243553687,0.8942742025737709
1198,L06-1,2,distance_5_prime,1453,1453,12,0.01417688913389745,0.9084510917076684
3290,L04-4,2,distance_3_prime,1493,1493,12,0.009443589365156338,0.9178946810728247
2968,L03-3,2,distance_3_prime,1518,1518,12,0.01266402716898231,0.930558708241807
2046,L10-2,2,distance_5_prime,1555,1555,12,0.008870389631626886,0.9394290978734339
2438,L01-2,2,distance_3_prime,1615,1615,12,0.018907224842805645,0.9583363227162395
25,L01-1,2,distance_5_prime,1616,1616,12,0.015638558336532226,0.9739748810527717
183,L01-4,2,distance_5_prime,1616,1616,12,0.016148090783047502,0.9901229718358192
133,L01-3,2,distance_5_prime,1616,1616,12,0.01097286264852719,1.0010958344843464
81,L01-2,2,distance_5_prime,1616,1616,12,0.01891893210277023,1.0200147665871167
65,L01-2,1,distance_5_prime,1617,1617,8,0.017040604483038433,1.037055371070155
9,L01-1,1,distance_5_prime,1617,1617,8,0.017040604483038433,1.0540959755531936
112,L01-3,1,distance_5_prime,1617,1617,8,0.017040604483038433,1.071136580036232
166,L01-4,1,distance_5_prime,1617,1617,8,0.017040604483038433,1.0881771845192705
4329,L09-4,2,distance_3_prime,1651,1651,12,0.025942327686219874,1.1141195122054903
4231,L09-2,1,distance_3_prime,1651,1651,8,0.019538403732533335,1.1336579159380236
4202,L09-1,2,distance_3_prime,1651,1651,12,0.02226457671232261,1.1559224926503462
4268,L09-3,1,distance_3_prime,1651,1651,8,0.017925145417877916,1.1738476380682241
4317,L09-4,1,distance_3_prime,1651,1651,8,0.019538403732533335,1.1933860418007574
4242,L09-2,2,distance_3_prime,1651,1651,12,0.02413580961314727,1.2175218514139046
4188,L09-1,1,distance_3_prime,1651,1651,8,0.017925145417877916,1.2354469968317825
3355,L05-1,2,distance_3_prime,1661,1661,12,0.010973359928077476,1.24642035675986
655,L03-4,2,distance_5_prime,1664,1664,12,0.012552017198677413,1.2589723739585374
4556,L11-1,2,distance_3_prime,1680,1680,12,0.017926421642597303,1.2768987956011348
3517,L05-4,2,distance_3_prime,1691,1691,12,0.00945013461272471,1.2863489302138595
3638,L06-2,2,distance_3_prime,1696,1696,12,0.010368358979976004,1.2967172891938354
2738,L02-3,2,distance_3_prime,1713,1713,12,0.012764261062545874,1.3094815502563812
3470,L05-3,2,distance_3_prime,1726,1726,12,0.014603120436965523,1.3240846706933467
4054,L08-2,2,distance_3_prime,1794,1794,12,0.01815841547412797,1.3422430861674746
2381,L01-1,2,distance_3_prime,1821,1821,12,0.017622410105708655,1.3598654962731833
3577,L06-1,2,distance_3_prime,1841,1841,12,0.01796259662457344,1.3778280928977567
788,L04-2,2,distance_5_prime,1877,1877,12,0.016498391472754653,1.3943264843705112
4600,L11-2,2,distance_3_prime,1928,1928,12,0.015986909750245994,1.4103133941207573
3553,L06-1,1,distance_3_prime,1980,1980,8,0.02163440854340608,1.4319478026641634
3566,L06-1,2,distance_3_prime,1980,1980,12,0.019318816576130042,1.4512666192402934
3729,L06-4,1,distance_3_prime,1980,1980,8,0.02163440854340608,1.4729010277836996
3684,L06-3,2,distance_3_prime,1980,1980,12,0.01580444000997755,1.488705467793677
3619,L06-2,2,distance_3_prime,1980,1980,12,0.012104570035585195,1.5008100378292624
3673,L06-3,1,distance_3_prime,1980,1980,8,0.02163440854340608,1.5224444463726685
3608,L06-2,1,distance_3_prime,1980,1980,8,0.02163440854340608,1.5440788549160747
3740,L06-4,2,distance_3_prime,1980,1980,12,0.01479011850769198,1.5588689734237666
2496,L01-3,2,distance_3_prime,2010,2010,12,0.013648176932883449,1.5725171503566502
3027,L03-4,2,distance_3_prime,2041,2041,12,0.015395833595252765,1.587912983951903
3453,L05-3,2,distance_3_prime,2047,2047,12,0.01731899625403733,1.6052319802059405
4584,L11-2,1,distance_3_prime,2178,2178,8,0.01940357179844963,1.62463555200439
4598,L11-2,2,distance_3_prime,2178,2178,12,0.018059901159769593,1.6426954531641595
4653,L11-3,2,distance_3_prime,2178,2178,12,0.03005886182078312,1.6727543149849426
4641,L11-3,1,distance_3_prime,2178,2178,8,0.01940357179844963,1.6921578867833922
4535,L11-1,1,distance_3_prime,2178,2178,8,0.01940357179844963,1.7115614585818417
4679,L11-4,1,distance_3_prime,2178,2178,8,0.01940357179844963,1.7309650303802913
4549,L11-1,2,distance_3_prime,2179,2179,12,0.02325099569001162,1.7542160260703028
4694,L11-4,2,distance_3_prime,2179,2179,12,0.01562859552432121,1.769844621594624
836,L04-3,2,distance_5_prime,2201,2201,12,0.007878170529640826,1.7777227921242649
366,L02-3,2,distance_5_prime,2299,2299,12,0.017130785862692913,1.7948535779869579
915,L04-4,2,distance_5_prime,2318,2318,12,0.014661915705580973,1.8095154936925388
174,L01-4,2,distance_5_prime,2327,2327,12,0.023252851022371002,1.83276834471491
175,L01-4,2,distance_5_prime,2433,2433,12,0.024312069848486738,1.8570804145633966
2675,L02-2,2,distance_3_prime,2558,2558,12,0.01641421838353958,1.8734946329469362
2745,L02-3,2,distance_3_prime,2558,2558,12,0.0190607004074678,1.892555333354404
2606,L02-1,2,distance_3_prime,2558,2558,12,0.020702031963516512,1.9132573653179206
2586,L02-1,1,distance_3_prime,2559,2559,8,0.023192346253844715,1.9364497115717654
2722,L02-3,1,distance_3_prime,2559,2559,8,0.023192346253844715,1.9596420578256102
2653,L02-2,1,distance_3_prime,2559,2559,8,0.023192346253844715,1.982834404079455
2789,L02-4,1,distance_3_prime,2559,2559,8,0.023192346253844715,2.0060267503333
2972,L03-3,2,distance_3_prime,2725,2725,12,0.022733513857362844,2.028760264190663
3139,L04-2,2,distance_3_prime,2763,2763,12,0.02428612447481146,2.053046388665474
3125,L04-2,1,distance_3_prime,2763,2763,8,0.02351852147405717,2.076564910139531
3065,L04-1,1,distance_3_prime,2763,2763,8,0.02351852147405717,2.100083431613588
3270,L04-4,2,distance_3_prime,2763,2763,12,0.017476649307385777,2.117560080920974
3256,L04-4,1,distance_3_prime,2763,2763,8,0.02351852147405717,2.141078602395031
3201,L04-3,2,distance_3_prime,2763,2763,12,0.009889770637618176,2.150968373032649
3186,L04-3,1,distance_3_prime,2763,2763,8,0.02351852147405717,2.174486894506706
1269,L06-2,2,distance_5_prime,2770,2770,12,0.016934171211399486,2.1914210657181052
60,L01-2,1,distance_5_prime,2854,2854,8,0.03007661422052671,2.221497679938632
171,L01-4,2,distance_5_prime,2854,2854,12,0.02851896726164454,2.2500166472002765
16,L01-1,2,distance_5_prime,2854,2854,12,0.027619087557217186,2.2776357347574936
72,L01-2,2,distance_5_prime,2854,2854,12,0.03341251993892713,2.311048254696421
107,L01-3,1,distance_5_prime,2854,2854,8,0.03007661422052671,2.3411248689169475
4,L01-1,1,distance_5_prime,2854,2854,8,0.03007661422052671,2.371201483137474
161,L01-4,1,distance_5_prime,2854,2854,8,0.03007661422052671,2.401278097358001
118,L01-3,2,distance_5_prime,2854,2854,12,0.019379053217138988,2.4206571505751397
837,L04-3,2,distance_5_prime,2859,2859,12,0.010233389161400782,2.4308905397365406
700,L04-1,1,distance_5_prime,2859,2859,8,0.024335668799974463,2.455226208536515
891,L04-4,1,distance_5_prime,2859,2859,8,0.024335668799974463,2.479561877336489
760,L04-2,1,distance_5_prime,2859,2859,8,0.024335668799974463,2.5038975461364634
821,L04-3,1,distance_5_prime,2859,2859,8,0.024335668799974463,2.5282332149364377
774,L04-2,2,distance_5_prime,2861,2861,12,0.025147521578876432,2.5533807365153143
905,L04-4,2,distance_5_prime,2862,2862,12,0.018102848468236732,2.571483584983551
1150,L05-4,2,distance_5_prime,2929,2929,12,0.01636868378513937,2.5878522687686907
4106,L08-3,2,distance_3_prime,2964,2964,12,0.03009580090470171,2.6179480696733926
1541,L07-3,2,distance_5_prime,2977,2977,12,0.028764581977931372,2.646712651651324
590,L03-3,2,distance_5_prime,2994,2994,12,0.02497766623447499,2.671690317885799
3808,L07-1,2,distance_3_prime,2996,2996,12,0.0274745597437175,2.6991648776295163
4316,L09-4,1,distance_3_prime,3003,3003,8,0.03553835639539528,2.7347032340249116
4284,L09-3,2,distance_3_prime,3003,3003,12,0.029996703658938577,2.76469993768385
4267,L09-3,1,distance_3_prime,3003,3003,8,0.03260400465771495,2.7973039423415647
4187,L09-1,1,distance_3_prime,3003,3003,8,0.03260400465771495,2.8299079469992794
4230,L09-2,1,distance_3_prime,3003,3003,8,0.03553835639539528,2.8654463033946747
4241,L09-2,2,distance_3_prime,3004,3004,12,0.043915185995090485,2.9093614893897652
4328,L09-4,2,distance_3_prime,3004,3004,12,0.047202151647125684,2.9565636410368907
230,L02-1,2,distance_5_prime,3005,3005,12,0.024319627072074714,2.9808832681089656
4201,L09-1,2,distance_3_prime,3005,3005,12,0.040523957008194694,3.0214072251171604
223,L02-1,2,distance_5_prime,3043,3043,12,0.02462716312157183,3.0460343882387324
4440,L10-3,1,distance_3_prime,3086,3086,8,0.024635378830817373,3.0706697670695497
4485,L10-4,1,distance_3_prime,3086,3086,8,0.024635378830817373,3.095305145900367
4348,L10-1,1,distance_3_prime,3086,3086,8,0.024635378830817373,3.1199405247311844
4404,L10-2,2,distance_3_prime,3086,3086,12,0.017603872928103257,3.137544397659288
4387,L10-2,1,distance_3_prime,3086,3086,8,0.024635378830817373,3.162179776490105
4359,L10-1,2,distance_3_prime,3086,3086,12,0.031045158499484006,3.193224934989589
4453,L10-3,2,distance_3_prime,3087,3087,12,0.026347814768688464,3.2195727497582776
4497,L10-4,2,distance_3_prime,3087,3087,12,0.029764951376038427,3.249337701134316
2741,L02-3,2,distance_3_prime,3094,3094,12,0.023054654832175676,3.272392355966492
1039,L05-2,2,distance_5_prime,3107,3107,12,0.020647582254731046,3.2930399382212228
3905,L07-3,2,distance_3_prime,3112,3112,12,0.030068988617844284,3.3231089268390672
4412,L10-2,2,distance_3_prime,3121,3121,12,0.017803528000197754,3.340912454839265
3857,L07-2,2,distance_3_prime,3142,3142,12,0.02678246069895517,3.36769491553822
4007,L08-1,2,distance_3_prime,3153,3153,12,0.03876885621832535,3.4064637717565454
2920,L03-2,2,distance_3_prime,3235,3235,12,0.02456912265068049,3.4310328944072257
848,L04-3,2,distance_5_prime,3280,3280,12,0.011740299562572425,3.4427731939697983
3031,L03-4,2,distance_3_prime,3282,3282,12,0.024757043537295235,3.4675302375070935
3399,L05-2,2,distance_3_prime,3285,3285,12,0.021830482042739453,3.489360719549833
3752,L06-4,2,distance_3_prime,3314,3314,12,0.024754774108328905,3.514115493658162
3461,L05-3,2,distance_3_prime,3330,3330,12,0.028174038849997213,3.542289532508159
2723,L02-3,1,distance_3_prime,3393,3393,8,0.03075093037877887,3.573040462886938
2587,L02-1,1,distance_3_prime,3393,3393,8,0.03075093037877887,3.6037913932657166
2608,L02-1,2,distance_3_prime,3393,3393,12,0.02745973199851897,3.6312511252642357
2790,L02-4,1,distance_3_prime,3393,3393,8,0.03075093037877887,3.6620020556430144
2747,L02-3,2,distance_3_prime,3393,3393,12,0.025282625677301898,3.687284681320316
2654,L02-2,1,distance_3_prime,3393,3393,8,0.03075093037877887,3.718035611699095
2742,L02-3,2,distance_3_prime,3395,3395,12,0.02529752849231946,3.7433331401914143
2809,L02-4,2,distance_3_prime,3395,3395,12,0.028346982653650526,3.7716801228450647
2603,L02-1,2,distance_3_prime,3396,3396,12,0.027484011160321377,3.799164134005386
2650,L02-2,1,distance_3_prime,3397,3397,8,0.030787182580816922,3.829951316586203
2672,L02-2,2,distance_3_prime,3397,3397,12,0.021797928009727893,3.851749244595931
2786,L02-4,1,distance_3_prime,3397,3397,8,0.030787182580816922,3.8825364271767477
2719,L02-3,1,distance_3_prime,3397,3397,8,0.030787182580816922,3.9133236097575645
2583,L02-1,1,distance_3_prime,3397,3397,8,0.030787182580816922,3.9441107923383814
987,L05-1,2,distance_5_prime,3400,3400,12,0.0224620251387498,3.966572817477131
1477,L07-2,1,distance_5_prime,3434,3434,8,0.023290810422196807,3.989863627899328
1428,L07-1,1,distance_5_prime,3434,3434,8,0.023290810422196807,4.013154438321525
1525,L07-3,1,distance_5_prime,3434,3434,8,0.023290810422196807,4.036445248743722
1444,L07-1,2,distance_5_prime,3435,3435,12,0.03150037140175889,4.067945620145481
1493,L07-2,2,distance_5_prime,3435,3435,12,0.029279997613275308,4.097225617758756
2335,L11-4,2,distance_5_prime,3456,3456,12,0.024787712772856404,4.122013330531613
3347,L05-1,2,distance_3_prime,3470,3470,12,0.02292447859748877,4.144937809129101
4550,L11-1,2,distance_3_prime,3500,3500,12,0.037346711755411044,4.1822845208845125
2581,L02-1,1,distance_3_prime,3514,3514,8,0.031847559490429986,4.2141320803749425
2668,L02-2,2,distance_3_prime,3514,3514,12,0.022548695621484788,4.236680775996427
2601,L02-1,2,distance_3_prime,3514,3514,12,0.028438991524549265,4.265119767520976
2648,L02-2,1,distance_3_prime,3514,3514,8,0.031847559490429986,4.296967327011406
2717,L02-3,1,distance_3_prime,3514,3514,8,0.031847559490429986,4.328814886501836
2784,L02-4,1,distance_3_prime,3514,3514,8,0.031847559490429986,4.360662445992266
966,L05-1,1,distance_5_prime,3530,3530,8,0.02491040106274969,4.385572847055015
1016,L05-2,1,distance_5_prime,3530,3530,8,0.024893361388316163,4.4104662084433315
1080,L05-3,1,distance_5_prime,3530,3530,8,0.024893361388316163,4.435359569831648
1131,L05-4,1,distance_5_prime,3530,3530,8,0.02491040106274969,4.460269970894397
1096,L05-3,2,distance_5_prime,3531,3531,12,0.02987463398778984,4.490144604882187
984,L05-1,2,distance_5_prime,3531,3531,12,0.023327473754389868,4.5134720786365765
1035,L05-2,2,distance_5_prime,3531,3531,12,0.023465276131784785,4.536937354768361
1257,L06-2,2,distance_5_prime,3581,3581,12,0.021892154190621505,4.558829508958983
447,L02-4,2,distance_5_prime,3624,3624,12,0.030259047168432845,4.5890885561274155
4011,L08-1,2,distance_3_prime,3696,3696,12,0.04544550985820821,4.634534065985624
3447,L05-3,1,distance_3_prime,3778,3778,8,0.026642243434860755,4.661176309420484
3498,L05-4,1,distance_3_prime,3778,3778,8,0.02666048023089754,4.6878367896513815
3333,L05-1,1,distance_3_prime,3778,3778,8,0.02666048023089754,4.714497269882279
3383,L05-2,1,distance_3_prime,3778,3778,8,0.026642243434860755,4.7411395133171395
3505,L05-4,2,distance_3_prime,3841,3841,12,0.021465385598743707,4.762604898915884
75,L01-2,2,distance_5_prime,3916,3916,12,0.04584563002131697,4.8084505289372
4152,L08-4,2,distance_3_prime,3939,3939,12,0.0370773032121426,4.845527832149343
3954,L07-4,2,distance_3_prime,3940,3940,12,0.03562733267474009,4.881155164824083
4052,L08-2,2,distance_3_prime,3940,3940,12,0.03987968615834125,4.921034850982424
4037,L08-2,1,distance_3_prime,3941,3941,8,0.025502375276738144,4.946537226259162
3889,L07-3,1,distance_3_prime,3941,3941,8,0.026729494430366225,4.973266720689528
3939,L07-4,1,distance_3_prime,3941,3941,8,0.026440259505008286,4.999706980194537
4091,L08-3,1,distance_3_prime,3941,3941,8,0.025502375276738144,5.025209355471275
3792,L07-1,1,distance_3_prime,3941,3941,8,0.026729494430366225,5.051938849901641
4137,L08-4,1,distance_3_prime,3941,3941,8,0.025502375276738144,5.077441225178379
3841,L07-2,1,distance_3_prime,3941,3941,8,0.026729494430366225,5.104170719608746
3992,L08-1,1,distance_3_prime,3941,3941,8,0.025502375276738144,5.129673094885484
2595,L02-1,2,distance_3_prime,3962,3962,12,0.0320646796870416,5.161737774572526
2733,L02-3,2,distance_3_prime,3962,3962,12,0.02952247654979962,5.191260251122325
2798,L02-4,2,distance_3_prime,3962,3962,12,0.033081220993744734,5.22434147211607
2578,L02-1,1,distance_3_prime,3963,3963,8,0.03591686916920149,5.2602583412852715
2714,L02-3,1,distance_3_prime,3963,3963,8,0.03591686916920149,5.296175210454473
2645,L02-2,1,distance_3_prime,3963,3963,8,0.03591686916920149,5.332092079623675
2664,L02-2,2,distance_3_prime,3963,3963,12,0.025429846541816792,5.357521926165492
2781,L02-4,1,distance_3_prime,3963,3963,8,0.03591686916920149,5.393438795334694
2290,L11-3,2,distance_5_prime,3980,3980,12,0.054928498644038946,5.448367293978733
4361,L10-1,2,distance_3_prime,4038,4038,12,0.040622278036589896,5.488989572015323
292,L02-2,2,distance_5_prime,4117,4117,12,0.026418036389770312,5.515407608405093
3952,L07-4,2,distance_3_prime,4124,4124,12,0.037291147195590894,5.552698755600684
448,L02-4,2,distance_5_prime,4157,4157,12,0.034709398200655446,5.58740815380134
1273,L06-2,2,distance_5_prime,4179,4179,12,0.025547978878136632,5.612956132679476
1376,L06-4,2,distance_5_prime,4204,4204,12,0.03140285767996823,5.644358990359444
1364,L06-4,1,distance_5_prime,4204,4204,8,0.045934875513373316,5.6902938658728175
1308,L06-3,1,distance_5_prime,4204,4204,8,0.045934875513373316,5.736228741386191
1203,L06-1,2,distance_5_prime,4204,4204,12,0.0410183358010357,5.777247077187227
