,line,gen_id,prime_end,distance,initial_weight,factor,normalized_weight,cumulative_weight_rv
2680,L02-2,2,distance_3_prime,374,374,12,6.416817194503354e-06,867.9733700821183
4138,L08-3,2,distance_3_prime,376,376,12,4.900401383710004e-06,867.9709701924876
862,L04-3,2,distance_5_prime,401,401,12,3.5793596227354955e-06,867.9691276415673
1835,L09-1,2,distance_5_prime,405,405,12,1.3485509819698733e-05,867.9676923183586
841,L04-3,2,distance_5_prime,466,466,12,3.5793596227354955e-06,867.9622306868815
3835,L07-1,2,distance_3_prime,493,493,12,9.170413799638686e-06,867.9605627052973
2397,L01-1,2,distance_3_prime,524,524,12,7.559159874971496e-06,867.9560416912941
1974,L09-4,2,distance_5_prime,554,554,12,1.571309974937606e-05,867.9520806915197
1912,L09-3,1,distance_5_prime,555,555,8,1.0857144408163487e-05,867.9433756342585
1929,L09-3,2,distance_5_prime,555,555,12,9.988912307338854e-06,867.937349919112
1962,L09-4,1,distance_5_prime,555,555,8,1.1834284513951141e-05,867.9318060727813
1886,L09-2,2,distance_5_prime,555,555,12,1.4618903460416273e-05,867.9252380448761
1832,L09-1,1,distance_5_prime,555,555,8,1.0857144408163487e-05,867.9171245534556
1875,L09-2,1,distance_5_prime,555,555,8,1.1834284513951141e-05,867.911098838309
1846,L09-1,2,distance_5_prime,555,555,12,1.3485509819698733e-05,867.9045308104038
1975,L09-4,2,distance_5_prime,563,563,12,1.571309974937606e-05,867.8970463524539
1963,L09-4,1,distance_5_prime,564,564,8,1.1834284513951141e-05,867.888199877295
1913,L09-3,1,distance_5_prime,564,564,8,1.0857144408163487e-05,867.8815253408292
1876,L09-2,1,distance_5_prime,564,564,8,1.1834284513951141e-05,867.8754019113829
1847,L09-1,2,distance_5_prime,564,564,12,1.3485509819698733e-05,867.8687273749171
1887,L09-2,2,distance_5_prime,564,564,12,1.4618903460416273e-05,867.8611215473787
1833,L09-1,1,distance_5_prime,564,564,8,1.0857144408163487e-05,867.8528764858271
1930,L09-3,2,distance_5_prime,565,565,12,9.988912307338854e-06,867.8467530563809
2553,L01-4,2,distance_3_prime,570,570,12,9.992630435054149e-06,867.8411093209272
3883,L07-2,2,distance_3_prime,591,591,12,8.52401677242367e-06,867.8354135215792
2202,L11-1,2,distance_5_prime,606,606,12,1.0670489072974586e-05,867.8303758276667
843,L04-3,2,distance_5_prime,608,608,12,3.5793596227354955e-06,867.8239095112884
3180,L04-2,2,distance_3_prime,679,679,12,8.78976636800994e-06,867.8217332606378
4375,L10-1,1,distance_3_prime,682,682,8,7.982948422170244e-06,867.8157650092738
4385,L10-1,2,distance_3_prime,682,682,12,1.005999951376669e-05,867.8103206384499
4467,L10-3,1,distance_3_prime,682,682,8,7.982948422170244e-06,867.8034597187815
4478,L10-3,2,distance_3_prime,682,682,12,8.534978118449848e-06,867.7980153479575
4414,L10-2,1,distance_3_prime,682,682,8,7.982948422170244e-06,867.7921944928808
4512,L10-4,1,distance_3_prime,682,682,8,7.982948422170244e-06,867.7867501220568
3286,L04-4,1,distance_3_prime,704,704,8,8.511951311638497e-06,867.7813057512328
3093,L04-1,1,distance_3_prime,704,704,8,8.511951311638497e-06,867.7753133375094
3300,L04-4,2,distance_3_prime,704,704,12,6.325244048999557e-06,867.7693209237859
3155,L04-2,1,distance_3_prime,704,704,8,8.511951311638497e-06,867.7648679519755
3169,L04-2,2,distance_3_prime,704,704,12,8.78976636800994e-06,867.758875538252
3233,L04-3,2,distance_3_prime,704,704,12,3.5793596227354955e-06,867.752687542729
3216,L04-3,1,distance_3_prime,704,704,8,8.511951311638497e-06,867.7501676735545
3789,L06-4,2,distance_3_prime,719,719,12,7.469756822066657e-06,867.7441752598311
2395,L01-1,2,distance_3_prime,754,754,12,7.559159874971496e-06,867.7388045046761
654,L03-4,2,distance_5_prime,775,775,12,5.468557390003386e-06,867.7331048981304
2500,L01-3,2,distance_3_prime,790,790,12,6.790137777553954e-06,867.7288667661531
4352,L09-4,2,distance_3_prime,848,848,12,1.571309974937606e-05,867.7235025573088
4222,L09-1,2,distance_3_prime,848,848,12,1.3485509819698733e-05,867.7101778487214
4289,L09-3,1,distance_3_prime,849,849,8,1.0857144408163487e-05,867.6987421363943
4209,L09-1,1,distance_3_prime,849,849,8,1.0857144408163487e-05,867.6895244207918
4263,L09-2,2,distance_3_prime,849,849,12,1.4618903460416273e-05,867.6803067051893
4303,L09-3,2,distance_3_prime,849,849,12,9.988912307338854e-06,867.6678952561514
4340,L09-4,1,distance_3_prime,849,849,8,1.1834284513951141e-05,867.6594146696025
4253,L09-2,1,distance_3_prime,849,849,8,1.1834284513951141e-05,867.6493673620502
3373,L05-1,2,distance_3_prime,929,929,12,6.6064779819852355e-06,867.6393200544978
3413,L05-2,2,distance_3_prime,961,961,12,4.967929942251954e-06,867.6331826364526
1096,L05-3,2,distance_5_prime,992,992,12,8.46067232732649e-06,867.6284084557781
382,L02-3,2,distance_5_prime,1001,1001,12,7.0366456779163085e-06,867.6200154688294
240,L02-1,2,distance_5_prime,1002,1002,12,6.2998409290165425e-06,867.6129717865058
312,L02-2,2,distance_5_prime,1002,1002,12,6.416817194503354e-06,867.606659345895
220,L02-1,1,distance_5_prime,1002,1002,8,9.06305050951337e-06,867.6002296950661
290,L02-2,1,distance_5_prime,1002,1002,8,9.06305050951337e-06,867.5911485184556
359,L02-3,1,distance_5_prime,1002,1002,8,9.06305050951337e-06,867.5820673418451
427,L02-4,1,distance_5_prime,1002,1002,8,9.06305050951337e-06,867.5729861652346
2238,L11-2,2,distance_5_prime,1047,1047,12,8.291965638094397e-06,867.5639049886241
2489,L01-3,1,distance_3_prime,1065,1065,8,1.0538407225131994e-05,867.555223300601
2385,L01-1,1,distance_3_prime,1065,1065,8,1.0538407225131994e-05,867.5439998969063
2442,L01-2,1,distance_3_prime,1065,1065,8,1.0538407225131994e-05,867.5327764932115
2543,L01-4,1,distance_3_prime,1065,1065,8,1.0538407225131994e-05,867.5215530895167
2891,L03-1,2,distance_3_prime,1096,1096,12,9.821333573410376e-06,867.510329685822
3784,L06-4,2,distance_3_prime,1105,1105,12,7.469756822066657e-06,867.4995655042255
3589,L06-1,1,distance_3_prime,1106,1106,8,1.0926468961316203e-05,867.4913114229372
3765,L06-4,1,distance_3_prime,1106,1106,8,1.0926468961316203e-05,867.479226748266
3665,L06-2,2,distance_3_prime,1106,1106,12,6.113419209891512e-06,867.4671420735948
3729,L06-3,2,distance_3_prime,1106,1106,12,7.982040409079571e-06,867.4603806319486
3709,L06-3,1,distance_3_prime,1106,1106,8,1.0926468961316203e-05,867.4515524952562
3608,L06-1,2,distance_3_prime,1106,1106,12,9.756978068752546e-06,867.439467820585
3644,L06-2,1,distance_3_prime,1106,1106,8,1.0926468961316203e-05,867.428676602841
3931,L07-3,2,distance_3_prime,1115,1115,12,9.662271406762302e-06,867.4165919281699
4342,L09-4,1,distance_3_prime,1263,1263,8,1.1834284513951141e-05,867.4058184955513
4255,L09-2,1,distance_3_prime,1263,1263,8,1.1834284513951141e-05,867.3908717942102
4306,L09-3,2,distance_3_prime,1263,1263,12,9.988912307338854e-06,867.375925092869
4354,L09-4,2,distance_3_prime,1263,1263,12,1.571309974937606e-05,867.3633090966248
4224,L09-1,2,distance_3_prime,1263,1263,12,1.3485509819698733e-05,867.3434634516414
4291,L09-3,1,distance_3_prime,1263,1263,8,1.0857144408163487e-05,867.3264312527391
4211,L09-1,1,distance_3_prime,1263,1263,8,1.0857144408163487e-05,867.3127186793516
4266,L09-2,2,distance_3_prime,1263,1263,12,1.4618903460416273e-05,867.2990061059642
913,L04-4,2,distance_5_prime,1361,1361,12,6.325244048999557e-06,867.2805424308937
1644,L08-1,2,distance_5_prime,1370,1370,12,1.2295863056874513e-05,867.271933773743
1791,L08-4,2,distance_5_prime,1371,1371,12,9.412872102600306e-06,867.255088441355
1629,L08-1,1,distance_5_prime,1371,1371,8,6.4710416840238876e-06,867.2421833937024
1674,L08-2,1,distance_5_prime,1371,1371,8,6.4710416840238876e-06,867.2333115955536
1743,L08-3,2,distance_5_prime,1371,1371,12,4.900401383710004e-06,867.2244397974048
1728,L08-3,1,distance_5_prime,1371,1371,8,6.4710416840238876e-06,867.2177213471077
1689,L08-2,2,distance_5_prime,1371,1371,12,1.0121747755924174e-05,867.2088495489589
1776,L08-4,1,distance_5_prime,1371,1371,8,6.4710416840238876e-06,867.1949726327856
2196,L11-1,2,distance_5_prime,1417,1417,12,1.0670489072974586e-05,867.1861008346368
4314,L09-3,2,distance_3_prime,1422,1422,12,9.988912307338854e-06,867.1709807516204
2838,L02-4,2,distance_3_prime,1428,1428,12,8.349626702106193e-06,867.1567765183194
1213,L06-1,2,distance_5_prime,1448,1448,12,9.756978068752546e-06,867.1448532513888
1212,L06-1,2,distance_5_prime,1453,1453,12,9.756978068752546e-06,867.1307251471452
3315,L04-4,2,distance_3_prime,1493,1493,12,6.325244048999557e-06,867.1165482580113
2990,L03-3,2,distance_3_prime,1518,1518,12,8.342573892610218e-06,867.1071046686462
2061,L10-2,2,distance_5_prime,1555,1555,12,5.704430631271309e-06,867.0944406414773
2454,L01-2,2,distance_3_prime,1615,1615,12,1.1707259964585538e-05,867.0855702518456
26,L01-1,2,distance_5_prime,1616,1616,12,7.559159874971496e-06,867.0666630270028
82,L01-2,2,distance_5_prime,1616,1616,12,1.1707259964585538e-05,867.0544474246449
184,L01-4,2,distance_5_prime,1616,1616,12,9.992630435054149e-06,867.0355284925421
134,L01-3,2,distance_5_prime,1616,1616,12,6.790137777553954e-06,867.019380401759
113,L01-3,1,distance_5_prime,1617,1617,8,1.0538407225131994e-05,867.0084075391105
167,L01-4,1,distance_5_prime,1617,1617,8,1.0538407225131994e-05,866.9913669346275
9,L01-1,1,distance_5_prime,1617,1617,8,1.0538407225131994e-05,866.9743263301445
66,L01-2,1,distance_5_prime,1617,1617,8,1.0538407225131994e-05,866.9572857256616
4347,L09-4,1,distance_3_prime,1651,1651,8,1.1834284513951141e-05,866.9402451211786
4231,L09-1,2,distance_3_prime,1651,1651,12,1.3485509819698733e-05,866.920706717446
4271,L09-2,2,distance_3_prime,1651,1651,12,1.4618903460416273e-05,866.8984421407337
4359,L09-4,2,distance_3_prime,1651,1651,12,1.571309974937606e-05,866.8743063311205
4297,L09-3,1,distance_3_prime,1651,1651,8,1.0857144408163487e-05,866.8483640034342
4260,L09-2,1,distance_3_prime,1651,1651,8,1.1834284513951141e-05,866.8304388580164
4217,L09-1,1,distance_3_prime,1651,1651,8,1.0857144408163487e-05,866.8109004542838
3380,L05-1,2,distance_3_prime,1661,1661,12,6.6064779819852355e-06,866.792975308866
662,L03-4,2,distance_5_prime,1664,1664,12,5.468557390003386e-06,866.7820019489378
4586,L11-1,2,distance_3_prime,1680,1680,12,1.0670489072974586e-05,866.7729022694408
3546,L05-4,2,distance_3_prime,1691,1691,12,3.7404151860856554e-06,866.7549758477982
3667,L06-2,2,distance_3_prime,1696,1696,12,6.113419209891512e-06,866.7486508057185
2759,L02-3,2,distance_3_prime,1713,1713,12,7.0366456779163085e-06,866.7382824467385
3497,L05-3,2,distance_3_prime,1726,1726,12,8.46067232732649e-06,866.7262286726922
4081,L08-2,2,distance_3_prime,1794,1794,12,1.0121747755924174e-05,866.7116255522552
2396,L01-1,2,distance_3_prime,1821,1821,12,7.559159874971496e-06,866.6934671367811
3606,L06-1,2,distance_3_prime,1841,1841,12,9.756978068752546e-06,866.6797019066488
798,L04-2,2,distance_5_prime,1877,1877,12,8.78976636800994e-06,866.6617393100242
4630,L11-2,2,distance_3_prime,1928,1928,12,8.291965638094397e-06,866.6452409185515
3758,L06-4,1,distance_3_prime,1980,1980,8,1.0926468961316203e-05,866.6292540088012
3769,L06-4,2,distance_3_prime,1980,1980,12,7.469756822066657e-06,866.6076196002579
3595,L06-1,2,distance_3_prime,1980,1980,12,9.756978068752546e-06,866.5928294817502
3648,L06-2,2,distance_3_prime,1980,1980,12,6.113419209891512e-06,866.573510665174
3702,L06-3,1,distance_3_prime,1980,1980,8,1.0926468961316203e-05,866.5614060951384
3713,L06-3,2,distance_3_prime,1980,1980,12,7.982040409079571e-06,866.539771686595
3582,L06-1,1,distance_3_prime,1980,1980,8,1.0926468961316203e-05,866.523967246585
3637,L06-2,1,distance_3_prime,1980,1980,8,1.0926468961316203e-05,866.5023328380416
2512,L01-3,2,distance_3_prime,2010,2010,12,6.790137777553954e-06,866.4806984294983
3049,L03-4,2,distance_3_prime,2041,2041,12,5.468557390003386e-06,866.4670502525654
3480,L05-3,2,distance_3_prime,2047,2047,12,8.46067232732649e-06,866.4558889269324
4565,L11-1,1,distance_3_prime,2178,2178,8,8.909697983512604e-06,866.4385699306783
4709,L11-4,1,distance_3_prime,2178,2178,8,8.909697983512604e-06,866.4191646084703
4628,L11-2,2,distance_3_prime,2178,2178,12,8.291965638094397e-06,866.3997592862622
4614,L11-2,1,distance_3_prime,2178,2178,8,8.909697983512604e-06,866.3816993851025
4683,L11-3,2,distance_3_prime,2178,2178,12,1.3801130312572599e-05,866.3622940628944
4671,L11-3,1,distance_3_prime,2178,2178,8,8.909697983512604e-06,866.3322352010737
4579,L11-1,2,distance_3_prime,2179,2179,12,1.0670489072974586e-05,866.3128298788656
4724,L11-4,2,distance_3_prime,2179,2179,12,7.172370593997801e-06,866.2895788831756
846,L04-3,2,distance_5_prime,2201,2201,12,3.5793596227354955e-06,866.2739502876514
372,L02-3,2,distance_5_prime,2299,2299,12,7.0366456779163085e-06,866.2660721171217
925,L04-4,2,distance_5_prime,2318,2318,12,6.325244048999557e-06,866.2498948687081
175,L01-4,2,distance_5_prime,2327,2327,12,9.992630435054149e-06,866.2352329530025
176,L01-4,2,distance_5_prime,2433,2433,12,9.992630435054149e-06,866.2119801019802
2624,L02-1,2,distance_3_prime,2558,2558,12,6.2998409290165425e-06,866.1876680321317
2766,L02-3,2,distance_3_prime,2558,2558,12,7.0366456779163085e-06,866.1715530390353
2696,L02-2,2,distance_3_prime,2558,2558,12,6.416817194503354e-06,866.1535532993912
2674,L02-2,1,distance_3_prime,2559,2559,8,9.06305050951337e-06,866.1371390810077
2604,L02-1,1,distance_3_prime,2559,2559,8,9.06305050951337e-06,866.1139467347539
2743,L02-3,1,distance_3_prime,2559,2559,8,9.06305050951337e-06,866.0907543885
2811,L02-4,1,distance_3_prime,2559,2559,8,9.06305050951337e-06,866.0675620422462
2994,L03-3,2,distance_3_prime,2725,2725,12,8.342573892610218e-06,866.0443696959924
3295,L04-4,2,distance_3_prime,2763,2763,12,6.325244048999557e-06,866.021636182135
3281,L04-4,1,distance_3_prime,2763,2763,8,8.511951311638497e-06,866.0041595328277
3226,L04-3,2,distance_3_prime,2763,2763,12,3.5793596227354955e-06,865.9806410113536
3211,L04-3,1,distance_3_prime,2763,2763,8,8.511951311638497e-06,865.9707512407159
3088,L04-1,1,distance_3_prime,2763,2763,8,8.511951311638497e-06,865.9472327192418
3164,L04-2,2,distance_3_prime,2763,2763,12,8.78976636800994e-06,865.9237141977677
3150,L04-2,1,distance_3_prime,2763,2763,8,8.511951311638497e-06,865.8994280732929
1283,L06-2,2,distance_5_prime,2770,2770,12,6.113419209891512e-06,865.8759095518188
108,L01-3,1,distance_5_prime,2854,2854,8,1.0538407225131994e-05,865.8589753806075
172,L01-4,2,distance_5_prime,2854,2854,12,9.992630435054149e-06,865.8288987663869
162,L01-4,1,distance_5_prime,2854,2854,8,1.0538407225131994e-05,865.8003797991253
4,L01-1,1,distance_5_prime,2854,2854,8,1.0538407225131994e-05,865.7703031849047
16,L01-1,2,distance_5_prime,2854,2854,12,7.559159874971496e-06,865.7402265706842
61,L01-2,1,distance_5_prime,2854,2854,8,1.0538407225131994e-05,865.718652728401
119,L01-3,2,distance_5_prime,2854,2854,12,6.790137777553954e-06,865.6885761141805
73,L01-2,2,distance_5_prime,2854,2854,12,1.1707259964585538e-05,865.6691970609634
770,L04-2,1,distance_5_prime,2859,2859,8,8.511951311638497e-06,865.6357845410245
901,L04-4,1,distance_5_prime,2859,2859,8,8.511951311638497e-06,865.6114488722245
831,L04-3,1,distance_5_prime,2859,2859,8,8.511951311638497e-06,865.5871132034246
847,L04-3,2,distance_5_prime,2859,2859,12,3.5793596227354955e-06,865.5627775346246
708,L04-1,1,distance_5_prime,2859,2859,8,8.511951311638497e-06,865.5525441454632
784,L04-2,2,distance_5_prime,2861,2861,12,8.78976636800994e-06,865.5282084766633
915,L04-4,2,distance_5_prime,2862,2862,12,6.325244048999557e-06,865.5030609550844
1164,L05-4,2,distance_5_prime,2929,2929,12,3.7404151860856554e-06,865.4849581066161
4133,L08-3,2,distance_3_prime,2964,2964,12,4.900401383710004e-06,865.4740024305361
1555,L07-3,2,distance_5_prime,2977,2977,12,9.662271406762302e-06,865.4594776408347
597,L03-3,2,distance_5_prime,2994,2994,12,8.342573892610218e-06,865.4307130588568
3837,L07-1,2,distance_3_prime,2996,2996,12,9.170413799638686e-06,865.4057353926223
4259,L09-2,1,distance_3_prime,3003,3003,8,1.1834284513951141e-05,865.3782608328786
4296,L09-3,1,distance_3_prime,3003,3003,8,1.0857144408163487e-05,865.3427224764832
4313,L09-3,2,distance_3_prime,3003,3003,12,9.988912307338854e-06,865.3101184718255
4216,L09-1,1,distance_3_prime,3003,3003,8,1.0857144408163487e-05,865.2801217681665
4346,L09-4,1,distance_3_prime,3003,3003,8,1.1834284513951141e-05,865.2475177635088
4270,L09-2,2,distance_3_prime,3004,3004,12,1.4618903460416273e-05,865.2119794071134
4358,L09-4,2,distance_3_prime,3004,3004,12,1.571309974937606e-05,865.1680642211184
233,L02-1,2,distance_5_prime,3005,3005,12,6.2998409290165425e-06,865.1208620694713
4230,L09-1,2,distance_3_prime,3005,3005,12,1.3485509819698733e-05,865.1019310474796
226,L02-1,2,distance_5_prime,3043,3043,12,6.2998409290165425e-06,865.0614070904714
4515,L10-4,1,distance_3_prime,3086,3086,8,7.982948422170244e-06,865.0422366745245
4470,L10-3,1,distance_3_prime,3086,3086,8,7.982948422170244e-06,865.0176012956937
4434,L10-2,2,distance_3_prime,3086,3086,12,5.704430631271309e-06,864.9929659168629
4417,L10-2,1,distance_3_prime,3086,3086,8,7.982948422170244e-06,864.9753620439348
4389,L10-1,2,distance_3_prime,3086,3086,12,1.005999951376669e-05,864.950726665104
4378,L10-1,1,distance_3_prime,3086,3086,8,7.982948422170244e-06,864.9196815066044
4527,L10-4,2,distance_3_prime,3087,3087,12,9.642031543906196e-06,864.8950461277736
4483,L10-3,2,distance_3_prime,3087,3087,12,8.534978118449848e-06,864.8652811763976
2762,L02-3,2,distance_3_prime,3094,3094,12,7.0366456779163085e-06,864.838933698946
1051,L05-2,2,distance_5_prime,3107,3107,12,4.967929942251954e-06,864.8171623172185
3934,L07-3,2,distance_3_prime,3112,3112,12,9.662271406762302e-06,864.8017269588879
4442,L10-2,2,distance_3_prime,3121,3121,12,5.704430631271309e-06,864.7716579702701
3886,L07-2,2,distance_3_prime,3142,3142,12,8.52401677242367e-06,864.7538544422699
4034,L08-1,2,distance_3_prime,3153,3153,12,1.2295863056874513e-05,864.7270719815709
2942,L03-2,2,distance_3_prime,3235,3235,12,7.594782890473104e-06,864.6883031253526
858,L04-3,2,distance_5_prime,3280,3280,12,3.5793596227354955e-06,864.663734002702
3054,L03-4,2,distance_3_prime,3282,3282,12,5.468557390003386e-06,864.6519937031394
3426,L05-2,2,distance_3_prime,3285,3285,12,4.967929942251954e-06,864.6340458977854
3781,L06-4,2,distance_3_prime,3314,3314,12,7.469756822066657e-06,864.6177262479251
3488,L05-3,2,distance_3_prime,3330,3330,12,8.46067232732649e-06,864.5929714738168
2626,L02-1,2,distance_3_prime,3393,3393,12,6.2998409290165425e-06,864.5647974349667
2744,L02-3,1,distance_3_prime,3393,3393,8,9.06305050951337e-06,864.5434220746946
2812,L02-4,1,distance_3_prime,3393,3393,8,9.06305050951337e-06,864.5126711443158
2768,L02-3,2,distance_3_prime,3393,3393,12,7.0366456779163085e-06,864.4819202139371
2675,L02-2,1,distance_3_prime,3393,3393,8,9.06305050951337e-06,864.4580448751519
2605,L02-1,1,distance_3_prime,3393,3393,8,9.06305050951337e-06,864.4272939447732
2831,L02-4,2,distance_3_prime,3395,3395,12,8.349626702106193e-06,864.3965430143944
2621,L02-1,2,distance_3_prime,3396,3396,12,6.2998409290165425e-06,864.3681960317408
2763,L02-3,2,distance_3_prime,3396,3396,12,7.0366456779163085e-06,864.3468017719458
2740,L02-3,1,distance_3_prime,3397,3397,8,9.06305050951337e-06,864.3229053232236
2808,L02-4,1,distance_3_prime,3397,3397,8,9.06305050951337e-06,864.2921181406427
2693,L02-2,2,distance_3_prime,3397,3397,12,6.416817194503354e-06,864.2613309580619
2601,L02-1,1,distance_3_prime,3397,3397,8,9.06305050951337e-06,864.2395330300521
2671,L02-2,1,distance_3_prime,3397,3397,8,9.06305050951337e-06,864.2087458474713
997,L05-1,2,distance_5_prime,3400,3400,12,6.6064779819852355e-06,864.1779586648904
1442,L07-1,1,distance_5_prime,3434,3434,8,6.7824142172966825e-06,864.1554966397516
1539,L07-3,1,distance_5_prime,3434,3434,8,6.7824142172966825e-06,864.1322058293295
1491,L07-2,1,distance_5_prime,3434,3434,8,6.7824142172966825e-06,864.1089150189073
1458,L07-1,2,distance_5_prime,3435,3435,12,9.170413799638686e-06,864.0856242084851
1507,L07-2,2,distance_5_prime,3435,3435,12,8.52401677242367e-06,864.0541238370834
2350,L11-4,2,distance_5_prime,3456,3456,12,7.172370593997801e-06,864.0248438394701
3372,L05-1,2,distance_3_prime,3470,3470,12,6.6064779819852355e-06,864.0000561266972
4580,L11-1,2,distance_3_prime,3500,3500,12,1.0670489072974586e-05,863.9771316480998
2806,L02-4,1,distance_3_prime,3514,3514,8,9.06305050951337e-06,863.9397849363444
2689,L02-2,2,distance_3_prime,3514,3514,12,6.416817194503354e-06,863.907937376854
2669,L02-2,1,distance_3_prime,3514,3514,8,9.06305050951337e-06,863.8853886812325
2738,L02-3,1,distance_3_prime,3514,3514,8,9.06305050951337e-06,863.8535411217421
2619,L02-1,2,distance_3_prime,3514,3514,12,6.2998409290165425e-06,863.8216935622517
2599,L02-1,1,distance_3_prime,3514,3514,8,9.06305050951337e-06,863.7995559212271
976,L05-1,1,distance_5_prime,3530,3530,8,7.056770839305861e-06,863.7677083617367
1143,L05-4,1,distance_5_prime,3530,3530,8,7.056770839305861e-06,863.742797960674
1092,L05-3,1,distance_5_prime,3530,3530,8,7.051943736066902e-06,863.7178875596113
1026,L05-2,1,distance_5_prime,3530,3530,8,7.051943736066902e-06,863.692994198223
1047,L05-2,2,distance_5_prime,3531,3531,12,4.967929942251954e-06,863.6681008368347
1108,L05-3,2,distance_5_prime,3531,3531,12,8.46067232732649e-06,863.6505590762087
994,L05-1,2,distance_5_prime,3531,3531,12,6.6064779819852355e-06,863.6206844422209
1271,L06-2,2,distance_5_prime,3581,3581,12,6.113419209891512e-06,863.5973569684664
454,L02-4,2,distance_5_prime,3624,3624,12,8.349626702106193e-06,863.5754648142758
4038,L08-1,2,distance_3_prime,3696,3696,12,1.2295863056874513e-05,863.5452057671074
3474,L05-3,1,distance_3_prime,3778,3778,8,7.051943736066902e-06,863.4997602572492
3525,L05-4,1,distance_3_prime,3778,3778,8,7.056770839305861e-06,863.4731180138144
3358,L05-1,1,distance_3_prime,3778,3778,8,7.056770839305861e-06,863.4464575335835
3408,L05-2,1,distance_3_prime,3778,3778,8,7.051943736066902e-06,863.4197970533526
3532,L05-4,2,distance_3_prime,3841,3841,12,3.7404151860856554e-06,863.3931548099177
76,L01-2,2,distance_5_prime,3916,3916,12,1.1707259964585538e-05,863.378787875188
4181,L08-4,2,distance_3_prime,3939,3939,12,9.412872102600306e-06,863.3329422451667
3982,L07-4,2,distance_3_prime,3940,3940,12,9.747918819332073e-06,863.2958649419545
4079,L08-2,2,distance_3_prime,3940,3940,12,1.0121747755924174e-05,863.2574581418063
4019,L08-1,1,distance_3_prime,3941,3941,8,6.4710416840238876e-06,863.217578455648
4166,L08-4,1,distance_3_prime,3941,3941,8,6.4710416840238876e-06,863.1920760803713
4064,L08-2,1,distance_3_prime,3941,3941,8,6.4710416840238876e-06,863.1665737050946
4118,L08-3,1,distance_3_prime,3941,3941,8,6.4710416840238876e-06,863.1410713298179
3870,L07-2,1,distance_3_prime,3941,3941,8,6.7824142172966825e-06,863.1155689545412
3918,L07-3,1,distance_3_prime,3941,3941,8,6.7824142172966825e-06,863.0888394601109
3968,L07-4,1,distance_3_prime,3941,3941,8,6.709022964985609e-06,863.0621099656805
3821,L07-1,1,distance_3_prime,3941,3941,8,6.7824142172966825e-06,863.0356697061756
2820,L02-4,2,distance_3_prime,3962,3962,12,8.349626702106193e-06,863.0089402117452
2754,L02-3,2,distance_3_prime,3962,3962,12,7.0366456779163085e-06,862.9758589907515
2613,L02-1,2,distance_3_prime,3962,3962,12,6.2998409290165425e-06,862.9479798005756
2735,L02-3,1,distance_3_prime,3963,3963,8,9.06305050951337e-06,862.9230198308148
2666,L02-2,1,distance_3_prime,3963,3963,8,9.06305050951337e-06,862.8871029616456
2803,L02-4,1,distance_3_prime,3963,3963,8,9.06305050951337e-06,862.8511860924764
2596,L02-1,1,distance_3_prime,3963,3963,8,9.06305050951337e-06,862.8152692233072
2685,L02-2,2,distance_3_prime,3963,3963,12,6.416817194503354e-06,862.7793523541379
