# `is_start`: the ID of IS corresponding to the start of the interval. -1 if no corresponding IS.
# Data of {L04-1, gen3} is removed from the main analyses due to sequence divergence between G08 and G20, making analyese unreliable.
depth,length,start,end,is_start,is_end,line,gen_id
0,328,3859849,3860176,43,44,L01-4,3
0,416,1232074,1232489,2,3,L02-1,2
0,34786,1819455,1854240,11,12,L02-1,2
0,942,3060086,3061027,22,23,L02-1,2
0,10041,3376394,3386434,25,27,L02-1,2
4,19158,3829926,3855278,35,37,L02-1,2
0,2405,3894538,3900034,38,39,L02-1,2
0,1152,3997403,3998554,41,42,L02-1,2
0,98,101579,101676,-1,-1,L02-1,3
2,240168,1282160,1522327,9,12,L02-1,3
0,1382,1669467,1670848,14,15,L02-1,3
0,11577,2273399,2284975,24,25,L02-1,3
0,84154,3699228,3783381,46,47,L02-1,3
0,38313,3829619,3871673,51,55,L02-1,3
0,1510,4037390,4038899,59,61,L02-1,3
0,681,554067,554747,1,2,L02-2,2
0,4093,2395639,2399731,15,16,L02-2,2
0,19533,3041493,3061025,24,25,L02-2,2
0,14980,3733656,3748635,33,34,L02-2,2
2,16503,3810331,3829926,35,37,L02-2,2
0,449,3896934,3900474,40,42,L02-2,2
0,746,3998553,4002391,43,45,L02-2,2
0,1651,2322642,2324292,18,20,L02-2,3
2,372360,2452243,2830763,23,28,L02-2,3
0,680,3374464,3375143,34,36,L02-2,3
0,2159,3734831,3736989,41,43,L02-2,3
0,16501,3819217,3835717,46,48,L02-2,3
0,18028,1214067,1232094,3,4,L02-3,2
0,562,1664423,1668077,10,12,L02-3,2
0,1800,2402826,2404625,17,19,L02-3,2
0,17647,2572651,2590297,20,21,L02-3,2
0,507,3373299,3376898,29,31,L02-3,2
0,19357,3790974,3810330,37,38,L02-3,2
2,19158,3829926,3855278,40,42,L02-3,2
0,14929,1101961,1116889,3,4,L02-3,3
0,24926,2375446,2400371,25,26,L02-3,3
2,257120,2403465,2663676,26,30,L02-3,3
0,2005,3992701,3994705,54,56,L02-3,3
0,109,1190356,1190464,-1,-1,L02-4,2
0,58294,2341439,2399732,15,16,L02-4,2
0,9480,3160133,3169612,26,27,L02-4,2
0,31431,3355517,3390040,28,31,L02-4,2
0,2970,3826956,3829925,39,40,L02-4,2
0,1077,3940953,3942029,45,46,L02-4,2
0,7018,140468,150576,1,5,L02-4,3
0,9110,2198923,2208032,22,23,L02-4,3
0,6463,2325590,2332052,26,28,L02-4,3
2,64278,2581472,2648840,33,35,L02-4,3
0,4768,3110253,3115020,41,42,L02-4,3
0,1187,3125285,3126471,43,44,L02-4,3
0,909,3542388,3543296,52,53,L02-4,3
0,189,3814674,3814862,61,62,L02-4,3
0,5024,3867599,3872622,65,67,L02-4,3
0,655,3892871,3893525,69,70,L02-4,3
0,5818,3932628,3941537,71,74,L02-4,3
0,1063,496602,497664,-1,-1,L03-1,3
0,16013,1031959,1047971,4,5,L03-1,3
0,11445,1343272,1357809,10,13,L03-1,3
0,356,1878770,1879125,18,19,L03-1,3
0,4927,2050406,2055332,22,24,L03-1,3
0,226,2398359,2398584,25,26,L03-1,3
0,19359,3435930,3455288,33,35,L03-1,3
0,361,1113148,1113508,8,10,L03-2,2
0,5725,2021650,2027374,17,18,L03-2,2
0,733,2318061,2318793,19,20,L03-2,2
0,330,316001,316330,5,6,L03-2,3
0,166,2330329,2330494,26,27,L03-2,3
2,48315,3577207,3625521,37,39,L03-2,3
0,22732,1669260,1691991,11,13,L03-3,2
0,241,1872745,1872985,14,15,L03-3,2
2,32319,1878157,1910475,15,17,L03-3,2
0,2714,3420075,3425881,27,30,L03-3,2
0,710,3492755,3493464,31,32,L03-3,2
0,2772,3887075,3889846,33,35,L03-3,2
0,32320,1865503,1897822,21,23,L03-3,3
0,1557,2423759,2425315,27,29,L03-3,3
0,12099,3003496,3015594,37,38,L03-3,3
0,805,3033034,3033838,40,41,L03-3,3
0,17596,3129881,3147476,42,43,L03-3,3
0,379,3305043,3305421,45,46,L03-3,3
0,29045,3654440,3683484,52,53,L03-3,3
2,47298,2578607,2628997,22,24,L03-4,2
0,61439,1823917,1885355,19,20,L03-4,3
2,94685,2606489,2710450,36,40,L03-4,3
2,34913,24531,59443,1,2,L04-1,2
0,653,359805,360457,5,6,L04-1,2
0,1174,1950147,1951320,21,22,L04-1,2
0,23113,3021111,3044223,32,33,L04-1,2
0,896,3220206,3221101,35,36,L04-1,2
0,3464,3623361,3626824,37,38,L04-1,2
0,59436,1,59436,-1,1,L04-1,3
0,5197,890534,895730,13,14,L04-1,3
0,584,1325444,1326027,17,18,L04-1,3
0,17162,1744025,1761186,24,25,L04-1,3
0,3954,2029882,2033835,29,30,L04-1,3
3,19344,2033836,2053179,30,31,L04-1,3
0,2232,3515462,3517693,46,48,L04-1,3
0,733,3645936,3646668,49,51,L04-1,3
2,5170,3715224,3720393,-1,-1,L04-1,3
0,360,3883818,3884177,52,53,L04-1,3
0,2324,116143,118466,1,2,L04-2,2
0,534,490405,490938,6,7,L04-2,2
0,414,774580,778086,11,13,L04-2,2
0,543,2210188,2210730,24,25,L04-2,2
0,942,2437059,2438000,31,33,L04-2,2
0,4078,3047317,3051394,34,36,L04-2,2
0,9540,3617285,3626824,38,39,L04-2,2
0,29723,297318,327040,3,4,L04-2,3
0,8810,350690,362591,5,8,L04-2,3
0,3180,1067039,1070218,15,16,L04-2,3
0,1491,1197351,1198841,18,19,L04-2,3
0,545,2248796,2249340,33,35,L04-2,3
0,8843,2445640,2454482,40,42,L04-2,3
0,15311,3036545,3051855,46,47,L04-2,3
0,4136,3770703,3774838,54,55,L04-2,3
0,32830,3907157,3939986,56,57,L04-2,3
0,49487,352618,405197,4,7,L04-3,2
2,162808,1263475,1429375,18,20,L04-3,2
0,107,1559907,1560013,-1,-1,L04-3,2
2,171323,3047317,3218639,36,38,L04-3,2
0,453,3218640,3219092,38,39,L04-3,2
0,782,3626043,3626824,40,41,L04-3,2
0,162795,1912159,2074953,26,28,L04-3,3
0,1850,360354,365296,3,6,L04-4,2
0,10541,480398,490938,7,8,L04-4,2
0,1684,1537569,1539252,21,22,L04-4,2
0,5962,1904514,1910475,24,25,L04-4,2
0,454,2129700,2130153,28,29,L04-4,2
0,12421,2380126,2392546,34,35,L04-4,2
2,41419,2392547,2433965,35,36,L04-4,2
0,3627,3623405,3630124,41,44,L04-4,2
0,7592,352767,360358,3,4,L04-4,3
0,361,478191,478551,6,7,L04-4,3
2,41417,1734090,1775506,24,26,L04-4,3
0,85129,1859079,1944207,28,29,L04-4,3
0,6670,2307643,2314312,37,38,L04-4,3
2,41418,2422692,2464109,42,44,L04-4,3
0,1236,2618027,2619262,46,47,L04-4,3
2,90097,3074360,3167549,49,51,L04-4,3
0,33566,3167550,3201115,51,52,L04-4,3
0,3852,3759971,3763822,60,61,L04-4,3
0,102,3815018,3815119,-1,-1,L04-4,3
0,765,143396,144160,1,2,L05-1,2
0,307,2064373,2064679,16,18,L05-1,2
0,1942,2243328,2245269,19,20,L05-1,2
0,1617,2528733,2530349,23,25,L05-1,2
0,7954,3467719,3478764,32,35,L05-1,2
0,1106,1875535,1876640,14,15,L05-1,3
0,11655,1937643,1949297,19,20,L05-1,3
0,2106,2190459,2192564,24,25,L05-1,3
0,5384,2383245,2388628,28,29,L05-1,3
0,11702,3236271,3247972,39,41,L05-1,3
0,2018,118238,120255,1,2,L05-2,2
0,1466,850369,851834,4,6,L05-2,2
0,442,1069144,1069585,7,8,L05-2,2
4,559,1919589,1920147,18,19,L05-2,2
3,18009,1920148,1938156,19,20,L05-2,2
0,11989,1941249,1953237,20,22,L05-2,2
0,493,2061668,2065252,23,25,L05-2,2
0,519,2143500,2144018,26,27,L05-2,2
0,25623,2529121,2554743,30,32,L05-2,2
0,2682,2984402,2987083,33,35,L05-2,2
0,4970,3475070,3483131,40,43,L05-2,2
0,199,1296042,1296240,15,16,L05-2,3
0,13116,1843654,1856769,23,24,L05-2,3
0,18569,1956491,1975059,28,30,L05-2,3
0,11108,2075926,2087033,34,35,L05-2,3
0,1121,2188465,2189585,39,40,L05-2,3
0,364,2293002,2293365,42,44,L05-2,3
0,203,2667637,2667839,49,50,L05-2,3
0,8243,3213558,3221800,54,56,L05-2,3
0,197,3431276,3431472,59,60,L05-2,3
0,51920,1807839,1859758,10,11,L05-3,2
0,630,1898320,1898949,13,14,L05-3,2
0,21826,1941249,1963074,15,17,L05-3,2
0,4366,2057749,2065206,18,21,L05-3,2
0,21475,2529121,2550595,24,26,L05-3,2
0,6846,3469967,3479904,32,35,L05-3,2
0,211,108911,109121,3,4,L05-3,3
0,16618,140511,157128,5,6,L05-3,3
0,1784,856594,858377,9,11,L05-3,3
0,1361,1248192,1249552,12,14,L05-3,3
0,39205,1821397,1860601,19,21,L05-3,3
0,10103,1887983,1898085,23,24,L05-3,3
0,2241,2179325,2181565,29,31,L05-3,3
0,24131,2903958,2928088,37,39,L05-3,3
0,444,2947453,2947896,-1,-1,L05-3,3
0,7889,2953780,2961668,40,42,L05-3,3
0,465,1241590,1242054,6,8,L05-4,2
0,2171,1816985,1819155,11,12,L05-4,2
2,38497,1819156,1857652,12,13,L05-4,2
0,1718,1857653,1859370,13,14,L05-4,2
2,65319,1872450,1937768,17,18,L05-4,2
0,939,2528733,2529671,24,26,L05-4,2
0,652,2901510,2902161,27,28,L05-4,2
0,23895,2984014,3007908,29,31,L05-4,2
2,31178,3182033,3216303,32,33,L05-4,2
0,1497,3475116,3479704,35,38,L05-4,2
0,1073,381939,383011,2,4,L05-4,3
0,28457,473910,502366,7,8,L05-4,3
0,5744,584612,590355,9,10,L05-4,3
0,17579,1029592,1047170,14,15,L05-4,3
0,679,1517078,1517756,21,22,L05-4,3
0,1622,1538572,1540193,24,25,L05-4,3
2,57047,1644372,1701418,26,28,L05-4,3
0,7816,1701882,1709697,29,30,L05-4,3
4,7492,1712791,1723375,30,32,L05-4,3
0,106330,1723376,1832797,32,36,L05-4,3
0,3329,2114977,2118305,40,41,L05-4,3
0,31328,3324533,3358953,55,59,L05-4,3
0,3803,3488898,3492700,60,61,L05-4,3
0,2010,3615629,3617638,62,63,L05-4,3
0,27698,3897632,3925329,65,66,L05-4,3
0,96,411461,411556,2,3,L06-1,2
0,432,504758,505189,7,8,L06-1,2
0,5629,3046634,3052262,23,24,L06-1,2
0,5876,3527238,3533113,29,31,L06-1,2
0,2108,307937,310044,1,2,L06-1,3
0,14885,417639,435614,5,9,L06-1,3
0,790,548698,549487,14,15,L06-1,3
0,789,624591,625379,16,17,L06-1,3
0,1014,3049561,3050574,38,39,L06-1,3
0,503,3422840,3423342,44,45,L06-1,3
0,13969,76762,90730,1,2,L06-2,2
0,624,1659479,1660102,14,15,L06-2,2
0,276,1886454,1886729,17,18,L06-2,2
0,2516,2313088,2315603,20,22,L06-2,2
0,8818,3244981,3253798,27,28,L06-2,2
0,386,3527238,3527623,33,35,L06-2,2
0,538,3951539,3952076,42,43,L06-2,2
0,6358,866528,872885,6,7,L06-2,3
0,20499,1208376,1228874,9,10,L06-2,3
2,14693,1270504,1285196,12,14,L06-2,3
0,2417,2092227,2094643,25,27,L06-2,3
0,4148,3152370,3156517,37,39,L06-2,3
0,7785,3963514,3971298,56,58,L06-2,3
0,1644,882152,883795,4,5,L06-3,2
0,11449,1582037,1593485,11,12,L06-3,2
0,2579,2160040,2162618,16,17,L06-3,2
0,15551,2294443,2309993,18,19,L06-3,2
0,20627,2374104,2394730,21,22,L06-3,2
0,6388,3395305,3401692,28,29,L06-3,2
0,453,3527238,3527690,33,35,L06-3,2
0,38185,401280,439464,1,3,L06-3,3
0,193,1478004,1478196,14,15,L06-3,3
2,164887,1481289,1649268,15,19,L06-3,3
2,14098,1699283,1716473,21,22,L06-3,3
0,1447,1716474,1717920,22,24,L06-3,3
0,193,2354406,2354598,29,31,L06-3,3
0,10208,3447169,3457376,44,45,L06-3,3
0,15159,305941,321099,1,2,L06-4,2
0,5668,437189,442856,3,4,L06-4,2
0,16221,1278318,1294538,9,11,L06-4,2
0,5317,3527238,3532554,29,31,L06-4,2
0,2451,3728557,3731007,33,35,L06-4,2
0,54787,3717419,3778391,41,47,L06-4,3
0,547,1302939,1303485,10,11,L07-1,2
0,1884,2117279,2122256,16,19,L07-1,2
0,293,2146496,2146788,20,21,L07-1,2
0,1500,2348288,2349787,23,25,L07-1,2
0,6723,1299348,1306070,11,12,L07-1,3
0,1694,1074573,1076266,5,7,L07-2,2
0,799,2121313,2122111,16,18,L07-2,2
0,3248,2348292,2351539,21,23,L07-2,2
0,738,1859908,1860645,13,15,L07-2,3
0,7016,3569097,3576112,31,32,L07-2,3
0,6032,3792321,3798352,35,36,L07-2,3
0,1109,1302378,1303486,9,10,L07-3,2
0,829,2121313,2122141,16,18,L07-3,2
0,148,2348293,2348440,21,23,L07-3,2
0,458,3018884,3019341,28,29,L07-3,2
0,20718,3703589,3724306,33,34,L07-3,2
0,480,3710479,3710958,33,35,L07-3,3
0,2289,849740,852028,3,4,L07-4,2
0,630,2119030,2119659,14,15,L07-4,2
0,3702,3028543,3032244,25,26,L07-4,2
0,707,1069996,1070702,6,7,L07-4,3
0,1587,2346974,2348560,22,24,L07-4,3
0,17293,2606840,2624132,27,28,L07-4,3
0,8872,3016938,3025809,32,33,L07-4,3
0,30830,3710835,3741664,39,40,L07-4,3
0,2163,853160,858415,6,9,L08-1,2
0,19962,1288068,1308029,12,14,L08-1,2
0,787,2122763,2126643,18,20,L08-1,2
0,18328,2352833,2371160,23,25,L08-1,2
0,22846,2992394,3015239,28,30,L08-1,2
0,6852,3028497,3035348,31,32,L08-1,2
0,85,691912,691996,-1,-1,L08-1,3
0,3346,1073667,1077012,9,10,L08-1,3
0,23376,2330053,2353428,20,22,L08-1,3
0,864,2393780,2394643,23,24,L08-1,3
0,4003,3746048,3750050,32,34,L08-1,3
0,2057,1305976,1308032,11,12,L08-2,2
0,45756,2352833,2398588,20,22,L08-2,2
0,863,2434880,2435742,23,24,L08-2,2
0,448,1079167,1079614,8,10,L08-2,3
2,17904,1288121,1306024,13,15,L08-2,3
0,811,2120799,2124702,20,22,L08-2,3
0,23366,2943833,2967198,30,32,L08-2,3
0,4173,2982618,2986790,33,34,L08-2,3
0,976,2125858,2126833,15,17,L08-3,2
0,27336,2352833,2380168,20,22,L08-3,2
2,286953,2435743,2725786,23,25,L08-3,2
0,26174,2992387,3018560,26,28,L08-3,2
0,20,2150448,2150467,18,18,L08-3,3
0,9174,2339708,2348881,20,21,L08-3,3
0,2289,852844,855132,5,6,L08-4,2
0,630,2122134,2122763,16,17,L08-4,2
0,3702,3031647,3035348,27,28,L08-4,2
0,10360,3588086,3598445,29,31,L08-4,3
0,5317,3964757,3970073,27,28,L09-1,2
0,200,394534,394733,3,4,L09-1,3
0,9908,1691938,1701845,12,13,L09-1,3
0,348,2973146,2973493,24,25,L09-1,3
0,348,3583599,3588035,30,32,L09-1,3
0,12901,3959850,3976838,35,38,L09-1,3
0,11675,1685991,1697665,10,11,L09-2,2
0,335,2255941,2256275,13,14,L09-2,2
0,17122,3903119,3920240,26,27,L09-2,2
0,20419,2222972,2243390,13,14,L09-2,3
0,481,3559124,3563693,22,25,L09-2,3
0,9794,1687871,1697664,12,13,L09-3,2
0,1682,2178173,2179854,18,19,L09-3,2
0,229,3580333,3580561,28,30,L09-3,2
0,144,161132,161275,1,3,L09-3,3
0,531,1759651,1760181,21,22,L09-3,3
0,6250,1924873,1934216,24,27,L09-3,3
0,650,3067720,3068369,36,37,L09-3,3
0,8473,152789,161261,1,2,L09-4,2
0,286,2255989,2256274,13,14,L09-4,2
0,82,3853314,3853395,26,27,L09-4,2
0,2070,850400,852469,3,4,L10-1,2
0,3986,1132553,1136538,5,6,L10-1,3
0,246,1276754,1280093,7,9,L10-1,3
0,956,2532842,2533797,20,22,L10-1,3
0,23375,2745275,2768649,23,24,L10-1,3
0,12367,3953484,3965850,33,34,L10-1,3
3,4830,123635,128464,1,3,L10-2,2
2,10819,128465,139283,3,5,L10-2,2
0,12295,1907837,1923225,12,15,L10-2,2
0,387,3065601,3065987,26,27,L10-2,2
0,14157,3941838,3955994,33,34,L10-2,2
0,24375,116658,147218,1,6,L10-2,3
0,396,120146,120541,2,3,L10-3,2
0,17348,1388640,1405987,8,9,L10-3,2
0,1269,2085760,2087028,14,15,L10-3,2
0,1255,3954741,3955995,26,27,L10-3,2
0,2185,121071,123255,1,3,L10-3,3
0,955,1020445,1021399,8,9,L10-3,3
0,6110,1391804,1404107,12,15,L10-3,3
0,23702,1957673,1981374,18,19,L10-3,3
2,63350,3518719,3582068,32,33,L10-3,3
0,12945,3947810,3960754,39,40,L10-3,3
0,2581,118316,123989,1,4,L10-4,2
0,169,3955827,3955995,25,26,L10-4,2
0,236,1273130,1276458,5,7,L10-4,3
0,330,1920626,1920955,14,15,L10-4,3
2,29905,2303616,2333520,23,24,L10-4,3
0,266,3725494,3725759,37,38,L10-4,3
0,196,167289,167484,3,5,L11-1,3
0,20657,1226390,1247046,12,13,L11-1,3
0,4237,3676554,3680790,34,36,L11-1,3
0,176,3760840,3761015,37,38,L11-1,3
2,14613,1284173,1298785,8,10,L11-2,2
2,5048,2093914,2098961,17,18,L11-2,2
3,31173,2098962,2130134,18,19,L11-2,2
2,14615,1283896,1301603,11,13,L11-2,3
0,81,1304699,1304779,13,15,L11-2,3
0,192,1891063,1894347,24,26,L11-2,3
0,5052,2165876,2170927,30,-1,L11-2,3
0,36395,2196859,2236346,-1,34,L11-2,3
0,166,2457484,2457649,17,19,L11-3,2
0,28068,3635759,3666921,22,25,L11-3,2
0,22896,1864090,1886985,13,15,L11-3,3
0,17563,1997259,2014821,17,18,L11-4,2
0,5535,2133231,2138765,19,21,L11-4,2
0,5042,2457484,2462525,24,26,L11-4,2
2,219942,167287,390321,3,7,L11-4,3
0,190,1873187,1873376,21,22,L11-4,3
0,1472,3978934,3980405,49,50,L11-4,3
