first,last,ess_cnt,line,gen_id,is_cnt,ins_cnt,ins_cnt_simple,ess_bp,ess_IS_bp
975001,980000,2,L01-1,1,0,0,0,1293,1293
1010001,1015000,1,L01-1,1,0,0,0,113,113
1025001,1030000,1,L01-1,1,0,0,0,1929,1929
1030001,1035000,2,L01-1,1,0,0,0,1606,1606
1080001,1085000,3,L01-1,1,0,0,0,2306,2306
1085001,1090000,1,L01-1,1,0,0,0,667,667
1090001,1095000,1,L01-1,1,0,0,0,76,76
1165001,1170000,2,L01-1,1,0,0,0,3013,3013
1170001,1175000,4,L01-1,1,0,0,0,4064,4064
1175001,1180000,1,L01-1,1,0,0,0,771,771
1185001,1190000,0,L01-1,1,1,0,0,0,2170
1190001,1195000,0,L01-1,1,1,0,0,0,2502
1200001,1205000,1,L01-1,1,0,0,0,1358,1358
1205001,1210000,1,L01-1,1,0,1,0,42,42
1210001,1215000,1,L01-1,1,0,0,0,3160,3160
1215001,1220000,3,L01-1,1,0,0,0,3299,3299
1220001,1225000,3,L01-1,1,0,0,0,2471,2471
1225001,1230000,2,L01-1,1,0,0,0,2047,2047
1230001,1235000,1,L01-1,1,0,0,0,632,632
1250001,1255000,2,L01-1,1,0,0,0,1648,1648
1255001,1260000,2,L01-1,1,0,0,0,4247,4247
1265001,1270000,1,L01-1,1,0,0,0,218,218
1405001,1410000,0,L01-1,1,1,0,0,0,3093
1475001,1480000,2,L01-1,1,0,0,0,1031,1031
1480001,1485000,1,L01-1,1,0,0,0,1163,1163
1490001,1495000,1,L01-1,1,0,0,0,84,84
1495001,1500000,1,L01-1,1,1,0,0,1538,2309
1500001,1505000,0,L01-1,1,1,0,0,0,3892
1515001,1520000,1,L01-1,1,0,0,0,518,518
1530001,1535000,1,L01-1,1,0,0,0,87,87
1610001,1615000,2,L01-1,1,0,0,0,3620,3620
1615001,1620000,2,L01-1,1,0,0,0,1420,1420
1620001,1625000,3,L01-1,1,0,0,0,1899,1899
1625001,1630000,2,L01-1,1,0,0,0,1642,1642
1645001,1650000,3,L01-1,1,0,0,0,2840,2840
1650001,1655000,1,L01-1,1,0,0,0,297,297
1660001,1665000,1,L01-1,1,0,0,0,600,600
1665001,1670000,1,L01-1,1,0,0,0,506,506
1675001,1680000,0,L01-1,1,0,1,1,0,0
1700001,1705000,1,L01-1,1,0,0,0,584,584
1705001,1710000,4,L01-1,1,0,0,0,2920,2920
1710001,1715000,4,L01-1,1,0,0,0,3526,3526
1775001,1780000,1,L01-1,1,0,0,0,2597,2597
1780001,1785000,1,L01-1,1,0,0,0,590,590
1790001,1795000,1,L01-1,1,0,0,0,162,162
1795001,1800000,1,L01-1,1,0,0,0,626,626
1950001,1955000,0,L01-1,1,0,1,1,0,0
1985001,1990000,0,L01-1,1,1,0,0,0,3553
1990001,1995000,0,L01-1,1,1,0,0,0,1110
2030001,2035000,1,L01-1,1,0,0,0,1274,1274
2055001,2060000,1,L01-1,1,0,0,0,32,32
2060001,2065000,1,L01-1,1,0,0,0,609,609
2110001,2115000,1,L01-1,1,0,0,0,2078,2078
2115001,2120000,5,L01-1,1,0,0,0,4118,4118
2135001,2140000,1,L01-1,1,0,0,0,177,177
2140001,2145000,1,L01-1,1,0,0,0,650,650
2180001,2185000,1,L01-1,1,0,0,0,995,995
2205001,2210000,1,L01-1,1,0,0,0,695,695
2260001,2265000,1,L01-1,1,0,0,0,320,320
2265001,2270000,1,L01-1,1,0,0,0,1452,1452
2275001,2280000,1,L01-1,1,0,0,0,1734,1734
2290001,2295000,3,L01-1,1,0,0,0,707,707
2305001,2310000,0,L01-1,1,1,0,0,0,3515
2310001,2315000,0,L01-1,1,1,0,0,0,1148
2405001,2410000,1,L01-1,1,0,0,0,1099,1099
2410001,2415000,1,L01-1,1,0,0,0,934,934
2455001,2460000,1,L01-1,1,0,0,0,668,668
2495001,2500000,1,L01-1,1,0,0,0,1023,1023
2500001,2505000,1,L01-1,1,0,0,0,738,738
2545001,2550000,1,L01-1,1,0,0,0,2386,2386
2550001,2555000,1,L01-1,1,0,0,0,241,241
2555001,2560000,2,L01-1,1,0,0,0,3415,3415
2640001,2645000,2,L01-1,1,0,0,0,2182,2182
2650001,2655000,1,L01-1,1,0,0,0,1220,1220
2660001,2665000,0,L01-1,1,0,1,0,0,0
2665001,2670000,0,L01-1,1,0,1,0,0,0
2710001,2715000,1,L01-1,1,0,0,0,1415,1415
2720001,2725000,2,L01-1,1,0,0,0,3001,3001
2775001,2780000,1,L01-1,1,0,0,0,1127,1127
2780001,2785000,1,L01-1,1,0,0,0,45,45
2785001,2790000,1,L01-1,1,0,0,0,833,833
2800001,2805000,1,L01-1,1,0,0,0,746,746
2820001,2825000,1,L01-1,1,0,0,0,1472,1472
2825001,2830000,2,L01-1,1,0,0,0,2392,2392
2845001,2850000,1,L01-1,1,0,0,0,491,491
2850001,2855000,1,L01-1,1,0,0,0,312,312
2885001,2890000,2,L01-1,1,0,0,0,1285,1285
2890001,2895000,1,L01-1,1,0,0,0,974,974
2905001,2910000,1,L01-1,1,0,0,0,1208,1208
2910001,2915000,1,L01-1,1,0,0,0,147,147
2920001,2925000,1,L01-1,1,0,0,0,737,737
2930001,2935000,4,L01-1,1,0,0,0,2723,2723
2935001,2940000,2,L01-1,1,0,0,0,1471,1471
2965001,2970000,2,L01-1,1,0,0,0,159,159
2970001,2975000,2,L01-1,1,0,0,0,2748,2748
3020001,3025000,3,L01-1,1,0,0,0,1500,1500
3055001,3060000,2,L01-1,1,0,0,0,2304,2304
3060001,3065000,1,L01-1,1,0,0,0,631,631
3115001,3120000,1,L01-1,1,0,0,0,875,875
3180001,3185000,1,L01-1,1,0,0,0,1098,1098
3215001,3220000,2,L01-1,1,0,0,0,2242,2242
3230001,3235000,1,L01-1,1,0,0,0,1154,1154
3235001,3240000,1,L01-1,1,0,0,0,126,126
3240001,3245000,1,L01-1,1,0,0,0,290,290
3280001,3285000,2,L01-1,1,0,0,0,1348,1348
3285001,3290000,1,L01-1,1,0,0,0,1647,1647
3290001,3295000,1,L01-1,1,0,0,0,822,822
3295001,3300000,1,L01-1,1,0,0,0,1070,1070
3300001,3305000,1,L01-1,1,0,0,0,513,513
3305001,3310000,1,L01-1,1,0,0,0,140,140
3315001,3320000,2,L01-1,1,0,0,0,1606,1606
3320001,3325000,2,L01-1,1,0,0,0,1149,1149
3325001,3330000,2,L01-1,1,0,0,0,3450,3450
3370001,3375000,0,L01-1,1,1,0,0,0,1356
3375001,3380000,0,L01-1,1,1,0,0,0,1737
3385001,3390000,1,L01-1,1,0,0,0,374,374
3430001,3435000,2,L01-1,1,0,0,0,4159,4159
3435001,3440000,2,L01-1,1,0,0,0,492,492
3440001,3445000,2,L01-1,1,0,0,0,2865,2865
3445001,3450000,3,L01-1,1,0,0,0,1429,1429
3450001,3455000,3,L01-1,1,0,0,0,2541,2541
3455001,3460000,2,L01-1,1,0,0,0,865,865
3460001,3465000,3,L01-1,1,0,0,0,1524,1524
3485001,3490000,2,L01-1,1,0,0,0,789,789
3490001,3495000,2,L01-1,1,0,0,0,1098,1098
3505001,3510000,1,L01-1,1,0,0,0,234,234
3510001,3515000,3,L01-1,1,0,0,0,2400,2400
3515001,3520000,2,L01-1,1,0,0,0,1819,1819
3540001,3545000,1,L01-1,1,0,0,0,572,572
3545001,3550000,2,L01-1,1,0,0,0,1456,1456
3550001,3555000,6,L01-1,1,0,0,0,3593,3593
3555001,3560000,13,L01-1,1,0,0,0,4706,4706
3560001,3565000,10,L01-1,1,0,0,0,4523,4523
3565001,3570000,3,L01-1,1,0,0,0,3023,3023
3570001,3575000,1,L01-1,1,0,0,0,4,4
3605001,3610000,1,L01-1,1,0,0,0,1004,1004
3620001,3625000,1,L01-1,1,0,0,0,2135,2135
3665001,3670000,1,L01-1,1,0,0,0,771,771
3670001,3675000,1,L01-1,1,0,0,0,332,332
3690001,3695000,4,L01-1,1,0,0,0,3279,3279
3695001,3700000,1,L01-1,1,0,0,0,787,787
3700001,3705000,0,L01-1,1,0,1,1,0,0
3800001,3805000,1,L01-1,1,0,0,0,1684,1684
3805001,3810000,2,L01-1,1,0,0,0,1296,1296
3855001,3860000,1,L01-1,1,0,0,0,1019,1019
3865001,3870000,0,L01-1,1,1,0,0,0,3092
3880001,3885000,1,L01-1,1,0,0,0,622,622
3885001,3890000,5,L01-1,1,0,0,0,2801,2801
3890001,3895000,1,L01-1,1,0,0,0,224,224
3895001,3900000,2,L01-1,1,0,0,0,2468,2468
3900001,3905000,1,L01-1,1,0,0,0,263,263
3950001,3955000,1,L01-1,1,0,0,0,1540,1540
3955001,3960000,3,L01-1,1,0,0,0,3377,3377
3960001,3965000,3,L01-1,1,1,0,0,2145,3052
3965001,3970000,0,L01-1,1,1,0,0,0,3754
3985001,3990000,1,L01-1,1,0,0,0,53,53
3990001,3995000,2,L01-1,1,0,0,0,3146,3146
20001,25000,1,L01-1,2,0,0,0,75,75
40001,45000,1,L01-1,2,0,0,0,1259,1259
55001,60000,3,L01-1,2,0,0,0,228,228
60001,65000,2,L01-1,2,0,0,0,1659,1659
65001,70000,1,L01-1,2,0,0,0,18,18
105001,110000,1,L01-1,2,0,0,0,545,545
120001,125000,2,L01-1,2,0,0,0,3382,3382
195001,200000,2,L01-1,2,0,0,0,2103,2103
200001,205000,1,L01-1,2,0,0,0,1054,1054
235001,240000,1,L01-1,2,0,0,0,328,328
240001,245000,1,L01-1,2,0,0,0,529,529
245001,250000,5,L01-1,2,0,0,0,3089,3089
250001,255000,5,L01-1,2,0,0,0,1621,1621
255001,260000,3,L01-1,2,0,0,0,4603,4603
260001,265000,1,L01-1,2,0,0,0,3817,3817
325001,330000,2,L01-1,2,0,0,0,2587,2587
330001,335000,2,L01-1,2,0,0,0,1316,1316
335001,340000,1,L01-1,2,0,0,0,1415,1415
345001,350000,1,L01-1,2,0,0,0,536,536
440001,445000,1,L01-1,2,0,0,0,186,186
445001,450000,3,L01-1,2,0,0,0,1928,1928
450001,455000,1,L01-1,2,0,0,0,391,391
460001,465000,2,L01-1,2,0,0,0,1386,1386
465001,470000,3,L01-1,2,0,0,0,1469,1469
470001,475000,1,L01-1,2,0,0,0,171,171
475001,480000,0,L01-1,2,1,0,0,0,3088
480001,485000,0,L01-1,2,1,0,0,0,4
500001,505000,1,L01-1,2,0,0,0,227,227
525001,530000,1,L01-1,2,0,0,0,530,530
550001,555000,0,L01-1,2,1,1,0,0,2485
555001,560000,1,L01-1,2,1,0,0,2855,3463
560001,565000,2,L01-1,2,0,0,0,2182,2182
580001,585000,2,L01-1,2,0,0,0,1276,1276
635001,640000,2,L01-1,2,0,0,0,1258,1258
640001,645000,3,L01-1,2,0,0,0,3943,3943
645001,650000,1,L01-1,2,0,0,0,821,821
665001,670000,1,L01-1,2,0,0,0,479,479
670001,675000,1,L01-1,2,0,0,0,2354,2354
705001,710000,0,L01-1,2,1,0,0,0,3092
710001,715000,3,L01-1,2,0,0,0,3564,3564
715001,720000,5,L01-1,2,0,0,0,4997,4997
720001,725000,5,L01-1,2,0,0,0,4031,4031
725001,730000,5,L01-1,2,0,0,0,4547,4547
730001,735000,2,L01-1,2,0,0,0,1990,1990
760001,765000,1,L01-1,2,0,0,0,662,662
775001,780000,1,L01-1,2,0,0,0,479,479
785001,790000,1,L01-1,2,0,0,0,1280,1280
790001,795000,1,L01-1,2,0,0,0,344,344
795001,800000,1,L01-1,2,0,0,0,404,404
800001,805000,3,L01-1,2,0,0,0,1867,1867
805001,810000,6,L01-1,2,0,0,0,4025,4025
810001,815000,4,L01-1,2,0,0,0,4778,4778
815001,820000,5,L01-1,2,0,0,0,3817,3817
820001,825000,2,L01-1,2,0,0,0,4040,4040
825001,830000,1,L01-1,2,0,0,0,1298,1298
830001,835000,1,L01-1,2,0,0,0,1718,1718
930001,935000,1,L01-1,2,0,0,0,974,974
960001,965000,2,L01-1,2,0,0,0,2818,2818
965001,970000,4,L01-1,2,0,0,0,2969,2969
970001,975000,2,L01-1,2,0,0,0,2761,2761
1005001,1010000,1,L01-1,2,0,0,0,113,113
1025001,1030000,1,L01-1,2,0,0,0,1931,1931
1030001,1035000,2,L01-1,2,0,0,0,1606,1606
1060001,1065000,0,L01-1,2,0,1,1,0,0
1075001,1080000,1,L01-1,2,0,0,0,715,715
1080001,1085000,3,L01-1,2,0,0,0,2258,2258
1090001,1095000,1,L01-1,2,0,0,0,76,76
1160001,1165000,1,L01-1,2,0,0,0,671,671
1165001,1170000,4,L01-1,2,0,0,0,3281,3281
1170001,1175000,3,L01-1,2,0,0,0,3896,3896
1185001,1190000,0,L01-1,2,1,0,0,0,4021
1190001,1195000,1,L01-1,2,1,0,0,1400,2042
1200001,1205000,0,L01-1,2,1,0,0,0,1293
1205001,1210000,0,L01-1,2,1,0,0,0,1800
1210001,1215000,1,L01-1,2,0,0,0,1914,1914
1215001,1220000,3,L01-1,2,0,0,0,4545,4545
1220001,1225000,2,L01-1,2,0,0,0,1226,1226
1225001,1230000,2,L01-1,2,0,0,0,2251,2251
1230001,1235000,1,L01-1,2,0,0,0,1673,1673
1250001,1255000,1,L01-1,2,0,0,0,1292,1292
1255001,1260000,2,L01-1,2,0,0,0,3955,3955
1260001,1265000,1,L01-1,2,0,0,0,648,648
1265001,1270000,1,L01-1,2,0,0,0,218,218
1390001,1395000,0,L01-1,2,0,1,0,0,0
1405001,1410000,0,L01-1,2,1,0,0,0,3092
1475001,1480000,1,L01-1,2,0,0,0,530,530
1480001,1485000,1,L01-1,2,0,0,0,1664,1664
1490001,1495000,1,L01-1,2,0,0,0,84,84
1495001,1500000,1,L01-1,2,0,0,0,1538,1538
1500001,1505000,0,L01-1,2,1,0,0,0,4525
1505001,1510000,0,L01-1,2,1,0,0,0,137
1520001,1525000,1,L01-1,2,0,0,0,518,518
1535001,1540000,1,L01-1,2,0,0,0,87,87
1610001,1615000,2,L01-1,2,0,0,0,2377,2377
1615001,1620000,2,L01-1,2,0,0,0,2663,2663
1620001,1625000,3,L01-1,2,0,0,0,1899,1899
1625001,1630000,2,L01-1,2,0,0,0,1642,1642
1645001,1650000,2,L01-1,2,0,0,0,1598,1598
1650001,1655000,2,L01-1,2,0,0,0,1539,1539
1665001,1670000,1,L01-1,2,0,0,0,1106,1106
1675001,1680000,0,L01-1,2,1,1,0,0,3093
1680001,1685000,0,L01-1,2,0,1,0,0,0
1705001,1710000,1,L01-1,2,0,0,0,584,584
1710001,1715000,4,L01-1,2,0,0,0,3575,3575
1715001,1720000,4,L01-1,2,0,0,0,2871,2871
1745001,1750000,0,L01-1,2,0,1,1,0,0
1775001,1780000,1,L01-1,2,0,1,1,17,17
1780001,1785000,1,L01-1,2,0,0,0,2580,2580
1785001,1790000,1,L01-1,2,0,0,0,590,590
1790001,1795000,0,L01-1,2,0,2,0,0,0
1795001,1800000,1,L01-1,2,0,0,0,788,788
1835001,1840000,0,L01-1,2,0,1,0,0,0
1925001,1930000,0,L01-1,2,0,1,0,0,0
1955001,1960000,0,L01-1,2,1,0,0,0,2684
1960001,1965000,0,L01-1,2,1,0,0,0,409
1990001,1995000,0,L01-1,2,1,0,0,0,1105
1995001,2000000,0,L01-1,2,1,0,0,0,1989
2030001,2035000,0,L01-1,2,1,0,0,0,4524
2035001,2040000,0,L01-1,2,1,0,0,0,139
2075001,2080000,1,L01-1,2,0,0,0,1275,1275
2100001,2105000,1,L01-1,2,0,0,0,641,641
2155001,2160000,2,L01-1,2,0,0,0,3030,3030
2160001,2165000,4,L01-1,2,0,0,0,3166,3166
2170001,2175000,0,L01-1,2,0,1,1,0,0
2180001,2185000,1,L01-1,2,0,0,0,827,827
2215001,2220000,0,L01-1,2,0,1,1,0,0
2220001,2225000,1,L01-1,2,0,0,0,833,833
2225001,2230000,1,L01-1,2,0,0,0,162,162
2250001,2255000,1,L01-1,2,0,0,0,695,695
2255001,2260000,0,L01-1,2,0,1,0,0,0
2265001,2270000,0,L01-1,2,0,1,0,0,0
2305001,2310000,1,L01-1,2,0,0,0,1293,1293
2310001,2315000,1,L01-1,2,0,0,0,479,479
2320001,2325000,1,L01-1,2,0,0,0,1733,1733
2330001,2335000,1,L01-1,2,0,0,0,0,0
2335001,2340000,3,L01-1,2,0,0,0,707,707
2350001,2355000,0,L01-1,2,1,0,0,0,4488
2355001,2360000,0,L01-1,2,1,0,0,0,175
2360001,2365000,0,L01-1,2,0,1,0,0,0
2445001,2450000,0,L01-1,2,0,1,0,0,0
2450001,2455000,1,L01-1,2,0,1,0,2033,2033
2500001,2505000,1,L01-1,2,0,0,0,668,668
2540001,2545000,1,L01-1,2,0,0,0,1760,1760
2590001,2595000,1,L01-1,2,0,0,0,2627,2627
2595001,2600000,1,L01-1,2,0,0,0,290,290
2600001,2605000,2,L01-1,2,0,0,0,3125,3125
2685001,2690000,2,L01-1,2,0,0,0,2182,2182
2695001,2700000,1,L01-1,2,0,0,0,1220,1220
2705001,2710000,0,L01-1,2,1,0,0,0,3092
2710001,2715000,0,L01-1,2,0,1,0,0,0
2755001,2760000,1,L01-1,2,0,0,0,1415,1415
2760001,2765000,1,L01-1,2,0,0,0,1070,1070
2765001,2770000,2,L01-1,2,0,0,0,1930,1930
2820001,2825000,1,L01-1,2,0,0,0,1127,1127
2825001,2830000,1,L01-1,2,0,0,0,878,878
2845001,2850000,1,L01-1,2,0,0,0,746,746
2855001,2860000,0,L01-1,2,0,1,1,0,0
2860001,2865000,1,L01-1,2,0,0,0,144,144
2865001,2870000,3,L01-1,2,0,0,0,2944,2944
2870001,2875000,1,L01-1,2,0,0,0,776,776
2890001,2895000,1,L01-1,2,0,0,0,803,803
2925001,2930000,1,L01-1,2,0,0,0,380,380
2930001,2935000,2,L01-1,2,0,0,0,1879,1879
2950001,2955000,1,L01-1,2,0,0,0,1355,1355
2965001,2970000,1,L01-1,2,0,0,0,737,737
2970001,2975000,3,L01-1,2,0,0,0,1210,1210
2975001,2980000,4,L01-1,2,0,0,0,2308,2308
2980001,2985000,1,L01-1,2,0,0,0,676,676
3010001,3015000,3,L01-1,2,0,0,0,2019,2019
3015001,3020000,1,L01-1,2,0,0,0,887,887
3065001,3070000,3,L01-1,2,0,0,0,1500,1500
3095001,3100000,0,L01-1,2,0,1,0,0,0
3100001,3105000,2,L01-1,2,0,0,0,2935,2935
3110001,3115000,0,L01-1,2,0,1,0,0,0
3125001,3130000,0,L01-1,2,0,1,0,0,0
3155001,3160000,1,L01-1,2,0,0,0,875,875
3225001,3230000,1,L01-1,2,0,0,0,1098,1098
3260001,3265000,2,L01-1,2,0,0,0,2242,2242
3275001,3280000,1,L01-1,2,0,0,0,1154,1154
3280001,3285000,1,L01-1,2,0,0,0,416,416
3325001,3330000,2,L01-1,2,0,0,0,2996,2996
3335001,3340000,1,L01-1,2,0,0,0,1892,1892
3345001,3350000,1,L01-1,2,0,0,0,653,653
3355001,3360000,1,L01-1,2,0,0,0,1238,1238
3360001,3365000,1,L01-1,2,0,0,0,368,368
3365001,3370000,3,L01-1,2,0,0,0,3048,3048
3370001,3375000,1,L01-1,2,0,0,0,1551,1551
3415001,3420000,0,L01-1,2,1,0,0,0,3092
3425001,3430000,1,L01-1,2,0,0,0,24,24
3430001,3435000,1,L01-1,2,0,0,0,352,352
3470001,3475000,1,L01-1,2,0,0,0,1898,1898
3475001,3480000,2,L01-1,2,0,0,0,2261,2261
3480001,3485000,3,L01-1,2,0,0,0,1662,1662
3485001,3490000,1,L01-1,2,0,0,0,1695,1695
3490001,3495000,5,L01-1,2,0,0,0,2716,2716
3495001,3500000,1,L01-1,2,0,0,0,1254,1254
3500001,3505000,4,L01-1,2,0,0,0,2389,2389
3530001,3535000,2,L01-1,2,0,0,0,820,820
3535001,3540000,1,L01-1,2,0,0,0,1067,1067
3550001,3555000,3,L01-1,2,0,0,0,2269,2269
3555001,3560000,2,L01-1,2,0,0,0,650,650
3560001,3565000,2,L01-1,2,0,0,0,1534,1534
3585001,3590000,3,L01-1,2,0,0,0,2028,2028
3590001,3595000,2,L01-1,2,0,0,0,1066,1066
3595001,3600000,10,L01-1,2,0,0,0,4587,4587
3600001,3605000,13,L01-1,2,0,0,0,4684,4684
3605001,3610000,6,L01-1,2,0,0,0,2734,2734
3610001,3615000,3,L01-1,2,0,0,0,2778,2778
3650001,3655000,1,L01-1,2,0,0,0,1004,1004
3660001,3665000,1,L01-1,2,0,0,0,180,180
3665001,3670000,1,L01-1,2,0,0,0,1955,1955
3710001,3715000,1,L01-1,2,0,0,0,1103,1103
3730001,3735000,1,L01-1,2,0,0,0,629,629
3735001,3740000,4,L01-1,2,0,0,0,3437,3437
3745001,3750000,0,L01-1,2,1,0,0,0,2496
3750001,3755000,0,L01-1,2,1,1,0,0,2167
3850001,3855000,2,L01-1,2,0,0,0,2980,2980
3880001,3885000,0,L01-1,2,0,1,1,0,0
3900001,3905000,1,L01-1,2,0,0,0,1019,1019
3910001,3915000,0,L01-1,2,1,0,0,0,902
3915001,3920000,0,L01-1,2,1,0,0,0,2190
20001,25000,1,L01-2,1,0,0,0,75,75
40001,45000,1,L01-2,1,0,0,0,1259,1259
55001,60000,3,L01-2,1,0,0,0,228,228
60001,65000,2,L01-2,1,0,0,0,1657,1657
65001,70000,1,L01-2,1,0,0,0,21,21
105001,110000,1,L01-2,1,0,0,0,545,545
120001,125000,2,L01-2,1,0,0,0,3382,3382
125001,130000,1,L01-2,1,0,0,0,0,0
195001,200000,2,L01-2,1,0,0,0,2094,2094
200001,205000,1,L01-2,1,0,0,0,1063,1063
235001,240000,1,L01-2,1,0,0,0,320,320
240001,245000,1,L01-2,1,0,0,0,537,537
245001,250000,5,L01-2,1,0,0,0,3089,3089
250001,255000,5,L01-2,1,0,0,0,1614,1614
255001,260000,3,L01-2,1,0,0,0,4603,4603
260001,265000,1,L01-2,1,0,0,0,3824,3824
325001,330000,2,L01-2,1,0,0,0,2574,2574
330001,335000,2,L01-2,1,0,0,0,1329,1329
335001,340000,1,L01-2,1,0,0,0,1415,1415
340001,345000,1,L01-2,1,0,0,0,0,0
345001,350000,1,L01-2,1,0,0,0,536,536
440001,445000,1,L01-2,1,0,0,0,171,171
445001,450000,3,L01-2,1,0,0,0,1928,1928
450001,455000,1,L01-2,1,0,0,0,406,406
460001,465000,2,L01-2,1,0,0,0,1371,1371
465001,470000,3,L01-2,1,0,0,0,1469,1469
470001,475000,1,L01-2,1,0,0,0,186,186
475001,480000,0,L01-2,1,1,0,0,0,3073
480001,485000,0,L01-2,1,1,0,0,0,20
500001,505000,1,L01-2,1,0,0,0,227,227
525001,530000,1,L01-2,1,0,0,0,530,530
530001,535000,0,L01-2,1,0,1,0,0,0
555001,560000,0,L01-2,1,1,0,0,0,2834
560001,565000,1,L01-2,1,1,0,0,2855,3114
565001,570000,2,L01-2,1,0,0,0,2182,2182
570001,575000,0,L01-2,1,0,1,0,0,0
585001,590000,2,L01-2,1,0,1,0,1276,1276
640001,645000,2,L01-2,1,0,0,0,1297,1297
645001,650000,3,L01-2,1,0,0,0,3904,3904
650001,655000,1,L01-2,1,0,0,0,821,821
670001,675000,1,L01-2,1,0,0,0,479,479
675001,680000,1,L01-2,1,0,0,0,2354,2354
710001,715000,2,L01-2,1,0,0,0,1703,1703
715001,720000,5,L01-2,1,0,0,0,4997,4997
720001,725000,4,L01-2,1,0,0,0,4435,4435
725001,730000,5,L01-2,1,0,0,0,4203,4203
730001,735000,3,L01-2,1,0,0,0,3323,3323
735001,740000,1,L01-2,1,0,0,0,468,468
760001,765000,1,L01-2,1,0,0,0,662,662
775001,780000,1,L01-2,1,0,0,0,479,479
780001,785000,1,L01-2,1,0,0,0,0,0
785001,790000,1,L01-2,1,0,0,0,60,60
790001,795000,2,L01-2,1,0,0,0,1564,1564
800001,805000,1,L01-2,1,0,0,0,824,824
805001,810000,6,L01-2,1,0,0,0,3794,3794
810001,815000,5,L01-2,1,0,0,0,4759,4759
815001,820000,5,L01-2,1,0,0,0,4280,4280
820001,825000,3,L01-2,1,0,0,0,4357,4357
825001,830000,2,L01-2,1,0,0,0,2215,2215
830001,835000,1,L01-2,1,0,0,0,1607,1607
835001,840000,1,L01-2,1,0,0,0,111,111
930001,935000,1,L01-2,1,0,0,0,974,974
960001,965000,2,L01-2,1,0,0,0,2124,2124
965001,970000,3,L01-2,1,0,0,0,1933,1933
970001,975000,4,L01-2,1,0,0,0,3198,3198
