,start,end,IS_strand,max_alignment_length,length,cluster_id,line,gen_id,closest_gene_5_prime,position_5_prime,distance_5_prime,closest_gene_3_prime,position_3_prime,distance_3_prime
28,552064,555156,reverse,3093,3093,1,L01-1,3,ppa,526889,25175,valS,555909,753
29,706058,709150,reverse,3093,3093,2,L01-1,3,imp,673949,32109,ftsL,710971,1821
30,1062227,1065319,forward,3093,3093,3,L01-1,3,hemH,1031913,30314,lpxH,1081928,16609
31,1188620,1193279,forward,3092,4660,4,L01-1,3,leuS,1176551,12069,infA,1315885,122606
32,1376730,1379821,forward,3092,3092,5,L01-1,3,mukB,1370444,6286,asnS,1392361,12540
33,1392885,1395976,reverse,3092,3092,6,L01-1,3,asnS,1390962,1923,fldA,1483290,87314
34,1412099,1415191,forward,3093,3093,7,L01-1,3,asnS,1390962,21137,fldA,1483290,68099
35,1506198,1510860,reverse,3093,4663,8,L01-1,3,lnt,1503344,2854,fabA,1526016,15156
36,1681982,1685073,reverse,3093,3092,9,L01-1,3,trmU,1672468,9514,pth,1712373,27300
37,1750850,1753941,reverse,3093,3092,10,L01-1,3,kdsA,1723462,27388,topA,1790493,36552
38,1782569,1785661,reverse,3093,3093,11,L01-1,3,kdsA,1723462,59107,topA,1790493,4832
39,1802343,1805435,forward,3093,3093,12,L01-1,3,ribA,1798604,3739,fabI,1812192,6757
40,1851804,1854895,reverse,3093,3092,13,L01-1,3,fabI,1812979,38825,tyrS,1966817,111922
41,1884941,1888029,forward,3092,3089,14,L01-1,3,fabI,1812979,71962,tyrS,1966817,78788
42,1921515,1924606,forward,3092,3092,15,L01-1,3,fabI,1812979,108536,tyrS,1966817,42211
43,2063472,2066564,reverse,3093,3093,16,L01-1,3,thrS,2053430,10042,nadE,2076419,9855
44,2110187,2113278,forward,3093,3092,17,L01-1,3,nadE,2077245,32942,gapA,2119831,6553
45,2154219,2158880,forward,3092,4662,18,L01-1,3,yeaZ,2146887,7332,pgsA,2173926,15046
46,2239724,2242816,reverse,3093,3093,19,L01-1,3,aspS,2198910,40814,metG,2330866,88050
47,2325865,2328957,reverse,3093,3093,20,L01-1,3,aspS,2198910,126955,metG,2330866,1909
48,2583286,2586378,forward,3093,3093,21,L01-1,3,fabB,2574377,8909,gltX,2631365,44987
49,2734449,2737541,reverse,3093,3093,22,L01-1,3,hda,2724135,10314,der,2744300,6759
50,2976833,2979924,reverse,3093,3092,23,L01-1,3,ftsB,2946133,30700,pyrG,2988187,8263
51,2992705,2997916,forward,3093,5212,24,L01-1,3,eno,2988276,4429,lgt,3028346,30430
52,3285854,3288945,reverse,3093,3092,25,L01-1,3,rpoD,3240853,45001,rnpB,3299282,10337
53,3616796,3621458,forward,3093,4663,26,L01-1,3,ftsY,3607976,8820,glyS,3720006,98548
54,3751828,3754921,reverse,3094,3094,27,L01-1,3,glyQ,3722995,28833,gpsA,3775169,20248
55,3786317,3789407,forward,3092,3091,28,L01-1,3,gpsA,3776187,10130,kdtA,3804169,14762
56,3883880,3888541,forward,3093,4662,29,L01-1,3,yidC,3882264,1616,glmS,3909734,21193
57,476928,480020,reverse,3093,3093,0,L01-2,1,yjeE,470186,6742,rpsR,503080,23060
58,557167,560259,reverse,3093,3093,1,L01-2,1,ppa,526892,30275,valS,561324,1065
59,1187831,1192502,forward,3093,4672,2,L01-2,1,leuS,1175771,12060,asnS,1205042,12540
60,1405123,1408215,forward,3093,3093,3,L01-2,1,infA,1266184,138939,fldA,1476321,68106
61,1499230,1503892,reverse,3093,4663,4,L01-2,1,lnt,1496376,2854,fabA,1519050,15158
62,1986448,1991110,forward,3093,4663,5,L01-2,1,fabI,1795626,190822,tyrS,2033318,42208
63,2306486,2311148,reverse,3093,4663,6,L01-2,1,pgsA,2291981,14505,metG,2408902,97754
64,3373645,3376737,reverse,3093,3093,7,L01-2,1,rpoD,3328645,45000,rnpB,3387077,10340
65,3866530,3869621,forward,3092,3092,8,L01-2,1,gpsA,3856399,10131,kdtA,3884379,14758
66,3964094,3968754,forward,3093,4661,9,L01-2,1,yidC,3962477,1617,glmS,3989948,21194
67,476922,480013,reverse,3092,3092,0,L01-2,2,yjeE,470180,6742,rpsR,503070,23057
68,531608,534700,reverse,3093,3093,1,L01-2,2,ppa,526882,4726,ribF,610170,75470
69,550866,553958,forward,3093,3093,2,L01-2,2,ppa,526882,23984,ribF,610170,56212
70,1154348,1159008,forward,3093,4661,3,L01-2,2,leuS,1142279,12069,asnS,1160623,1615
71,1170698,1173790,reverse,3093,3093,4,L01-2,2,asnS,1162022,8676,mukB,1183444,9654
72,1372270,1375361,forward,3092,3092,5,L01-2,2,infA,1233328,138942,fldA,1443463,68102
73,1466372,1471033,reverse,3093,4662,6,L01-2,2,lnt,1463518,2854,fabA,1486189,15156
74,1953578,1956670,forward,3093,3093,7,L01-2,2,fabI,1762762,190816,tyrS,1998875,42205
75,2067674,2070766,reverse,3093,3093,8,L01-2,2,ribC,2026167,41507,yjgQ,2090568,19802
76,2097966,2101058,forward,3093,3093,9,L01-2,2,valS,2094050,3916,pheT,2111872,10814
77,2305320,2309979,reverse,3092,4660,10,L01-2,2,pgsA,2290917,14403,metG,2407730,97751
78,3372458,3375550,reverse,3094,3093,11,L01-2,2,rpoD,3327461,44997,rnpB,3385886,10336
79,3522684,3525774,forward,3092,3091,12,L01-2,2,accC,3517449,5235,yrdC,3542954,17180
80,3867106,3870196,forward,3093,3091,13,L01-2,2,gpsA,3857117,9989,kdtA,3888196,18000
81,3870347,3873439,forward,3093,3093,14,L01-2,2,gpsA,3857117,13230,kdtA,3888196,14757
82,3967910,3972572,forward,3092,4663,15,L01-2,2,yidC,3966294,1616,glmS,3993764,21192
83,476928,480020,reverse,3093,3093,0,L01-2,3,yjeE,470186,6742,rpsR,503081,23061
84,532813,535904,reverse,3092,3092,1,L01-2,3,ppa,526893,5920,ribF,598112,62208
85,540682,543773,forward,3093,3092,2,L01-2,3,ppa,526893,13789,ribF,598112,54339
86,1142290,1146952,forward,3093,4663,3,L01-2,3,leuS,1130222,12068,asnS,1148567,1615
87,1158643,1161734,reverse,3093,3092,4,L01-2,3,asnS,1149966,8677,mukB,1171387,9653
88,1360211,1363303,forward,3093,3093,5,L01-2,3,infA,1221271,138940,fldA,1434506,71203
89,1425840,1428932,reverse,3093,3093,6,L01-2,3,infA,1221271,204569,fldA,1434506,5574
90,1457414,1462075,reverse,3093,4662,7,L01-2,3,lnt,1454560,2854,fabA,1477232,15157
91,1519060,1523721,reverse,3092,4662,8,L01-2,3,serT,1492989,26071,mviN,1574018,50297
92,1949299,1952391,forward,3093,3093,9,L01-2,3,fabI,1758482,190817,tyrS,1994597,42206
93,2063159,2066251,reverse,3093,3093,10,L01-2,3,ribC,2021890,41269,yjgQ,2086053,19802
94,2093453,2096545,forward,3093,3093,11,L01-2,3,valS,2089535,3918,pheT,2107361,10816
95,2300818,2303909,reverse,3092,3092,12,L01-2,3,pgsA,2286415,14403,metG,2401662,97753
96,2658914,2662006,forward,3093,3093,13,L01-2,3,fabB,2645183,13731,gltX,2708010,46004
97,3222135,3225227,reverse,3093,3093,14,L01-2,3,pgk,3215598,6537,metK,3232785,7558
98,3372642,3375734,reverse,3093,3093,15,L01-2,3,rpoD,3327639,45003,rnpB,3386071,10337
99,3522870,3525962,forward,3093,3093,16,L01-2,3,accC,3517636,5234,yrdC,3543146,17184
100,3721265,3724357,reverse,3093,3093,17,L01-2,3,ftsY,3696709,24556,glyS,3783415,59058
101,3769364,3772456,forward,3093,3093,18,L01-2,3,ftsY,3696709,72655,glyS,3783415,10959
102,3846483,3849574,forward,3093,3092,19,L01-2,3,gpsA,3836494,9989,kdtA,3864333,14759
103,3944028,3948690,forward,3093,4663,20,L01-2,3,yidC,3942431,1597,glmS,3964473,15783
104,476928,480020,reverse,3093,3093,0,L01-3,1,yjeE,470186,6742,rpsR,503080,23060
105,557167,560259,reverse,3093,3093,1,L01-3,1,ppa,526892,30275,valS,561324,1065
106,1187831,1192502,forward,3093,4672,2,L01-3,1,leuS,1175771,12060,asnS,1205042,12540
107,1405123,1408215,forward,3093,3093,3,L01-3,1,infA,1266184,138939,fldA,1476321,68106
108,1499230,1503892,reverse,3093,4663,4,L01-3,1,lnt,1496376,2854,fabA,1519050,15158
109,1986448,1991110,forward,3093,4663,5,L01-3,1,fabI,1795626,190822,tyrS,2033318,42208
110,2306486,2311148,reverse,3093,4663,6,L01-3,1,pgsA,2291981,14505,metG,2408902,97754
111,3373645,3376737,reverse,3093,3093,7,L01-3,1,rpoD,3328645,45000,rnpB,3387077,10340
112,3866530,3869621,forward,3092,3092,8,L01-3,1,gpsA,3856399,10131,kdtA,3884379,14758
113,3964094,3968754,forward,3093,4661,9,L01-3,1,yidC,3962477,1617,glmS,3989948,21194
114,5309,8399,forward,3093,3091,0,L01-3,2,oriC,1,5308,oriC,4008366,8399
115,480016,483108,reverse,3093,3093,1,L01-3,2,yjeE,473274,6742,rpsR,506168,23060
116,552251,555343,reverse,3093,3093,2,L01-3,2,ppa,529981,22270,valS,556133,790
117,1176395,1179487,forward,3093,3093,3,L01-3,2,leuS,1170555,5840,asnS,1191410,11923
118,1391489,1394580,forward,3093,3092,4,L01-3,2,infA,1252553,138936,fldA,1462684,68104
119,1485592,1490254,reverse,3094,4663,5,L01-3,2,lnt,1482738,2854,fabA,1505410,15156
120,1562197,1565289,forward,3094,3093,6,L01-3,2,serT,1521166,41031,mviN,1600616,35327
121,1747814,1750906,reverse,3093,3093,7,L01-3,2,kdsA,1704259,43555,topA,1768191,17285
122,1819247,1822339,reverse,3093,3093,8,L01-3,2,fabI,1788179,31068,tyrS,2023828,201489
123,1835601,1838692,forward,3093,3092,9,L01-3,2,fabI,1788179,47422,tyrS,2023828,185136
124,1922673,1925768,reverse,3096,3096,10,L01-3,2,fabI,1788179,134494,tyrS,2023828,98060
125,1978531,1981622,forward,3093,3092,11,L01-3,2,fabI,1788179,190352,tyrS,2023828,42206
126,2296982,2301644,reverse,3093,4663,12,L01-3,2,pgsA,2282479,14503,metG,2399390,97746
127,2514297,2517388,reverse,3093,3092,13,L01-3,2,yejM,2491225,23072,gyrA,2541200,23812
128,2813531,2816622,reverse,3093,3092,14,L01-3,2,hda,2798469,15062,der,2818632,2010
129,2952471,2957133,reverse,3093,4663,15,L01-3,2,uppS,2934452,18019,serV,2970876,13743
130,3374974,3378066,reverse,3093,3093,16,L01-3,2,rpoD,3329977,44997,rnpB,3388404,10338
131,3479070,3482161,reverse,3093,3092,17,L01-3,2,yhbG,3462847,16223,rpsI,3492197,10036
132,3869522,3872613,forward,3093,3092,18,L01-3,2,gpsA,3859392,10130,kdtA,3887370,14757
133,3933211,3936302,reverse,3093,3092,19,L01-3,2,spoT,3903254,29957,gyrB,3959550,23248
134,3970181,3973272,forward,3092,3092,20,L01-3,2,yidC,3968565,1616,glmS,3994465,21193
135,5309,8401,forward,3093,3093,0,L01-3,3,oriC,1,5308,oriC,3954732,8401
136,480028,483119,reverse,3093,3092,1,L01-3,3,yjeE,473286,6742,rpsR,506180,23061
137,552261,555353,reverse,3093,3093,2,L01-3,3,ppa,529992,22269,valS,556143,790
138,1045836,1048928,forward,3093,3093,3,L01-3,3,hemH,1029053,16783,lpxH,1077933,29005
139,1178397,1181489,forward,3093,3093,4,L01-3,3,leuS,1172557,5840,asnS,1193412,11923
140,1393493,1396585,forward,3093,3093,5,L01-3,3,infA,1254554,138939,fldA,1464688,68103
141,1487596,1492258,reverse,3093,4663,6,L01-3,3,lnt,1484742,2854,fabA,1507418,15160
142,1564209,1567301,forward,3093,3093,7,L01-3,3,serT,1523175,41034,mviN,1601528,34227
143,1748725,1751816,reverse,3092,3092,8,L01-3,3,kdsA,1705168,43557,topA,1769101,17285
144,1820157,1823248,reverse,3093,3092,9,L01-3,3,fabI,1789090,31067,tyrS,2016639,193391
145,1836333,1839425,forward,3093,3093,10,L01-3,3,fabI,1789090,47243,tyrS,2016639,177214
146,1971342,1974433,forward,3093,3092,11,L01-3,3,fabI,1789090,182252,tyrS,2016639,42206
147,2289797,2294459,reverse,3093,4663,12,L01-3,3,pgsA,2275297,14500,metG,2297467,3008
148,2386785,2389877,reverse,3093,3093,13,L01-3,3,metG,2295435,91350,folE,2435562,45685
149,2501784,2504876,reverse,3093,3093,14,L01-3,3,yejM,2478713,23071,gyrA,2528693,23817
150,2801032,2804124,reverse,3093,3093,15,L01-3,3,hda,2785970,15062,der,2806135,2011
151,2939974,2944635,reverse,3092,4662,16,L01-3,3,uppS,2921955,18019,serV,2958379,13744
152,3133727,3136818,reverse,3093,3092,17,L01-3,3,lgt,3105853,27874,rpoD,3161063,24245
153,3342024,3345115,reverse,3093,3092,18,L01-3,3,prfB,3304501,37523,rnpB,3352833,7718
154,3443504,3446595,reverse,3093,3092,19,L01-3,3,yhbG,3427281,16223,rpsI,3456630,10035
155,3829402,3832494,forward,3093,3093,20,L01-3,3,gpsA,3823828,5574,kdtA,3847249,14755
156,3893092,3896184,reverse,3093,3093,21,L01-3,3,spoT,3863133,29959,gyrB,3905911,9727
157,3916543,3919635,forward,3093,3093,22,L01-3,3,yidC,3914927,1616,glmS,3940829,21194
158,476928,480020,reverse,3093,3093,0,L01-4,1,yjeE,470186,6742,rpsR,503080,23060
159,557167,560259,reverse,3093,3093,1,L01-4,1,ppa,526892,30275,valS,561324,1065
160,1187831,1192502,forward,3093,4672,2,L01-4,1,leuS,1175771,12060,asnS,1205042,12540
161,1405123,1408215,forward,3093,3093,3,L01-4,1,infA,1266184,138939,fldA,1476321,68106
162,1499230,1503892,reverse,3093,4663,4,L01-4,1,lnt,1496376,2854,fabA,1519050,15158
163,1986448,1991110,forward,3093,4663,5,L01-4,1,fabI,1795626,190822,tyrS,2033318,42208
164,2306486,2311148,reverse,3093,4663,6,L01-4,1,pgsA,2291981,14505,metG,2408902,97754
165,3373645,3376737,reverse,3093,3093,7,L01-4,1,rpoD,3328645,45000,rnpB,3387077,10340
166,3866530,3869621,forward,3092,3092,8,L01-4,1,gpsA,3856399,10131,kdtA,3884379,14758
167,3964094,3968754,forward,3093,4661,9,L01-4,1,yidC,3962477,1617,glmS,3989948,21194
168,476917,480009,reverse,3093,3093,0,L01-4,2,yjeE,470175,6742,rpsR,503070,23061
169,1184730,1189391,forward,3093,4662,1,L01-4,2,leuS,1172661,12069,asnS,1189961,570
170,1202502,1205594,reverse,3093,3093,2,L01-4,2,asnS,1191360,11142,mukB,1216292,10698
171,1405117,1408209,forward,3093,3093,3,L01-4,2,infA,1266176,138941,fldA,1476311,68102
172,1499219,1502311,reverse,3093,3093,4,L01-4,2,lnt,1496365,2854,fabA,1517469,15158
173,1826003,1829095,reverse,3093,3093,5,L01-4,2,fabI,1794042,31961,tyrS,2033262,204167
174,1987963,1991055,forward,3093,3093,6,L01-4,2,fabI,1794042,193921,tyrS,2033262,42207
175,2036862,2039954,reverse,3093,3093,7,L01-4,2,tyrS,2034535,2327,ribC,2063016,23062
176,2125417,2128508,reverse,3093,3092,8,L01-4,2,thrS,2122984,2433,nadE,2145974,17466
177,2312630,2317292,reverse,3093,4663,9,L01-4,2,pgsA,2298127,14503,metG,2388592,71300
178,2447253,2450345,forward,3093,3093,10,L01-4,2,folE,2437944,9309,yejM,2481771,31426
179,2559540,2562632,forward,3093,3093,11,L01-4,2,nrdB,2542126,17414,folC,2628385,65753
180,2752779,2755871,forward,3093,3093,12,L01-4,2,zipA,2709983,42796,dapE,2766667,10796
181,3362628,3365720,reverse,3093,3093,13,L01-4,2,rpoD,3317629,44999,rnpB,3376056,10336
182,3466600,3471261,forward,3093,4662,14,L01-4,2,yhbG,3450507,16093,rpsI,3482844,11583
183,3860177,3863269,forward,3093,3093,15,L01-4,2,gpsA,3850047,10130,kdtA,3878026,14757
184,3957739,3962382,forward,3093,4644,16,L01-4,2,yidC,3956123,1616,glmS,3983575,21193
185,70108,73199,forward,3093,3092,0,L01-4,3,hemC,65021,5087,hemG,111965,38766
186,346059,349151,reverse,3093,3093,1,L01-4,3,dnaB,343088,2971,ssb,354587,5436
187,439610,442702,reverse,3093,3093,2,L01-4,3,ssb,355122,84488,groS,455051,12349
188,443366,446457,forward,3092,3092,3,L01-4,3,ssb,355122,88244,groS,455051,8594
189,487150,490241,reverse,3092,3092,4,L01-4,3,yjeE,480408,6742,rpsR,513300,23059
190,1023430,1026521,forward,3093,3092,5,L01-4,3,ffs,1018899,4531,dnaX,1037532,11011
191,1198064,1202725,forward,3093,4662,6,L01-4,3,leuS,1185995,12069,asnS,1203295,570
192,1215836,1218928,reverse,3093,3093,7,L01-4,3,asnS,1204694,11142,mukB,1229627,10699
193,1418450,1421542,forward,3093,3093,8,L01-4,3,infA,1279508,138942,fldA,1489642,68100
194,1512549,1517210,reverse,3093,4662,9,L01-4,3,lnt,1509695,2854,fabA,1532370,15160
195,1840908,1844000,reverse,3093,3093,10,L01-4,3,fabI,1808949,31959,tyrS,2185889,341889
196,1945109,1948201,reverse,3093,3093,11,L01-4,3,fabI,1808949,136160,tyrS,2185889,237688
197,2078160,2082820,forward,3092,4661,12,L01-4,3,fabI,1808949,269211,tyrS,2185889,103069
198,2140591,2143683,forward,3093,3093,13,L01-4,3,fabI,1808949,331642,tyrS,2185889,42206
199,2189489,2192580,reverse,3093,3092,14,L01-4,3,tyrS,2187162,2327,ribC,2215643,23063
200,2278042,2281133,reverse,3093,3092,15,L01-4,3,thrS,2275609,2433,nadE,2298600,17467
201,2465257,2469917,reverse,3092,4661,16,L01-4,3,pgsA,2450755,14502,yejM,2634393,164476
202,2599875,2602967,forward,3093,3093,17,L01-4,3,pgsA,2450755,149120,yejM,2634393,31426
203,2710564,2713655,forward,3092,3092,18,L01-4,3,nrdB,2694750,15814,folC,2779411,65756
204,2903808,2906899,forward,3092,3092,19,L01-4,3,zipA,2861013,42795,dapE,2917695,10796
205,3120150,3123242,reverse,3093,3093,20,L01-4,3,alaS,3113002,7148,ispF,3165397,42155
206,3372138,3375230,reverse,3093,3093,21,L01-4,3,pgk,3362836,9302,metK,3380021,4791
207,3512193,3515284,reverse,3093,3092,22,L01-4,3,rpoD,3474876,37317,rnpB,3525621,10337
208,3616165,3620826,forward,3093,4662,23,L01-4,3,yhbG,3600072,16093,rpsI,3630993,10167
209,4007994,4011086,forward,3093,3093,24,L01-4,3,gpsA,3998193,9801,kdtA,4025843,14757
210,4105560,4110204,forward,3093,4645,25,L01-4,3,yidC,4103944,1616,glmS,4131398,21194
211,1272641,1275733,reverse,3093,3093,0,L02-1,1,fldA,1205066,67575,infA,1414458,138725
212,1515901,1518992,reverse,3093,3092,1,L02-1,1,fabA,1504700,11201,serT,1522955,3963
213,1664424,1667516,reverse,3093,3093,2,L02-1,1,trmU,1653739,10685,pth,1695055,27539
214,2304045,2307136,reverse,3093,3092,3,L02-1,1,pgsA,2287890,16155,metG,2406339,99203
215,2399733,2402825,reverse,3093,3093,4,L02-1,1,pgsA,2287890,111843,metG,2406339,3514
216,2679399,2682491,forward,3093,3093,5,L02-1,1,fabB,2649857,29542,gltX,2712660,30169
217,2919368,2922460,forward,3093,3093,6,L02-1,1,pssA,2910690,8678,yfiO,2925857,3397
218,3061028,3064120,reverse,3093,3093,7,L02-1,1,ftsB,3027437,33591,eno,3064356,236
219,3373301,3376393,forward,3093,3093,8,L02-1,1,rpoD,3335395,37906,rnpB,3393823,17430
220,3497772,3500863,forward,3093,3092,9,L02-1,1,rplM,3496770,1002,degS,3503422,2559
221,3697930,3701022,reverse,3093,3093,10,L02-1,1,asd,3680170,17760,rpoH,3704415,3393
222,3810332,3813424,reverse,3093,3093,11,L02-1,1,ftsY,3708727,101605,glyS,3819359,5935
223,3829927,3836121,reverse,3093,6195,12,L02-1,1,glyQ,3822348,7579,gpsA,3877625,41504
224,3896937,3900028,forward,3092,3092,13,L02-1,1,gpsA,3878643,18294,kdtA,3906622,6594
225,3998555,4001647,reverse,3093,3093,14,L02-1,1,yidC,3984722,13833,glmS,4012942,11295
226,584138,587230,reverse,3093,3093,0,L02-1,2,dnaT,581095,3043,ribF,640561,53331
227,1235178,1238918,reverse,3093,3741,1,L02-1,2,fldA,1208168,27010,infA,1420886,181968
228,1279068,1282159,reverse,3093,3092,2,L02-1,2,fldA,1208168,70900,infA,1420886,138727
229,1522328,1525420,reverse,3093,3093,3,L02-1,2,fabA,1511126,11202,serT,1529382,3962
230,1670849,1673941,reverse,3093,3093,4,L02-1,2,trmU,1660164,10685,pth,1701478,27537
231,1757574,1760666,forward,3093,3093,5,L02-1,2,kdsA,1712567,45007,topA,1776499,15833
232,1828976,1832068,reverse,3093,3093,6,L02-1,2,fabI,1796488,32488,tyrS,2007054,174986
233,2117394,2120486,reverse,3093,3093,7,L02-1,2,nadE,2114389,3005,gapA,2156977,36491
234,2284979,2288070,reverse,3092,3092,8,L02-1,2,pgsA,2268821,16158,metG,2387271,99201
235,2380665,2383757,reverse,3093,3093,9,L02-1,2,pgsA,2268821,111844,metG,2387271,3514
236,2660331,2663423,forward,3093,3093,10,L02-1,2,fabB,2630792,29539,gltX,2693591,30168
237,2900297,2903389,forward,3093,3093,11,L02-1,2,pssA,2891619,8678,yfiO,2906785,3396
238,3041021,3044113,reverse,3093,3093,12,L02-1,2,ftsB,3008368,32653,eno,3044349,236
239,3353291,3356383,forward,3093,3093,13,L02-1,2,rpoD,3315384,37907,rnpB,3363771,7388
240,3467723,3470815,forward,3093,3093,14,L02-1,2,rplM,3466721,1002,degS,3473373,2558
241,3563598,3566690,reverse,3093,3093,15,L02-1,2,rpsL,3549798,13800,trpS,3590982,24292
242,3670984,3674076,reverse,3093,3093,16,L02-1,2,asd,3653225,17759,rpoH,3677469,3393
243,3783382,3786474,reverse,3093,3093,17,L02-1,2,ftsY,3681781,101601,glyS,3792409,5935
244,3802977,3806718,reverse,3093,3742,18,L02-1,2,glyQ,3795398,7579,gpsA,3916920,110202
245,3825876,3829618,reverse,3094,3743,19,L02-1,2,glyQ,3795398,30478,gpsA,3916920,87302
246,3848777,3852518,reverse,3093,3742,20,L02-1,2,glyQ,3795398,53379,gpsA,3916920,64402
247,3871675,3875416,reverse,3093,3742,21,L02-1,2,glyQ,3795398,76277,gpsA,3916920,41504
248,3933831,3936923,forward,3093,3093,22,L02-1,2,gpsA,3917938,15893,kdtA,3943520,6597
249,4034297,4037389,reverse,3093,3093,23,L02-1,2,yidC,4021616,12681,glmS,4048684,11295
250,80925,84017,reverse,3093,3093,0,L02-1,3,hemC,65021,15904,hemG,111868,27851
251,445820,448912,reverse,3093,3093,1,L02-1,3,ssb,351920,93900,groS,450937,2025
252,590243,593335,reverse,3093,3093,2,L02-1,3,dnaT,587200,3043,ribF,646667,53332
253,939297,942389,reverse,3093,3093,3,L02-1,3,hemB,937859,1438,secD,968974,26585
254,1235352,1242194,forward,3092,6843,4,L02-1,3,fldA,1217376,17976,serT,1508405,266211
255,1251239,1258080,reverse,3092,6842,5,L02-1,3,fldA,1217376,33863,serT,1508405,250325
256,1456448,1459539,forward,3093,3092,6,L02-1,3,fldA,1217376,239072,serT,1508405,48866
257,1501350,1504442,reverse,3093,3093,7,L02-1,3,fldA,1217376,283974,serT,1508405,3963
258,1648491,1651583,reverse,3093,3093,8,L02-1,3,trmU,1639188,9303,pth,1679120,27537
259,1735218,1738310,forward,3093,3093,9,L02-1,3,kdsA,1690209,45009,topA,1754143,15833
260,1806621,1809712,reverse,3093,3092,10,L02-1,3,fabI,1774133,32488,tyrS,1987799,178087
261,1821007,1824099,forward,3093,3093,11,L02-1,3,fabI,1774133,46874,tyrS,1987799,163700
262,2251039,2254131,reverse,3093,3093,12,L02-1,3,pgsA,2246461,4578,metG,2353331,99200
263,2346726,2349817,reverse,3093,3092,13,L02-1,3,pgsA,2246461,100265,metG,2353331,3514
264,2415126,2418218,forward,3093,3093,14,L02-1,3,folE,2402680,12446,yejM,2446507,28289
265,2622500,2625592,forward,3093,3093,15,L02-1,3,fabB,2599954,22546,gltX,2665852,40260
266,2632593,2635684,forward,3093,3092,16,L02-1,3,fabB,2599954,32639,gltX,2665852,30168
267,2872560,2875651,forward,3093,3092,17,L02-1,3,pssA,2863882,8678,yfiO,2879047,3396
268,3013284,3016375,reverse,3092,3092,18,L02-1,3,ftsB,2980628,32656,eno,3016611,236
269,3252050,3257016,forward,3093,4967,19,L02-1,3,parC,3245650,6400,parE,3258158,1142
270,3330533,3333625,forward,3093,3093,20,L02-1,3,rpoD,3292625,37908,rnpB,3341012,7387
271,3444966,3448057,forward,3093,3092,21,L02-1,3,rplM,3443964,1002,degS,3740865,292808
272,3489867,3492958,reverse,3093,3092,22,L02-1,3,rplM,3443964,45903,degS,3740865,247907
273,3691325,3694417,forward,3093,3093,23,L02-1,3,rplM,3443964,247361,degS,3740865,46448
