start,end,IS_strand,max_alignment_length,length,cluster_id,Line,Gen
2296982,2301644,reverse,3093,4663,12,L01-3,2
2514297,2517388,reverse,3093,3092,13,L01-3,2
2813531,2816622,reverse,3093,3092,14,L01-3,2
2952471,2957133,reverse,3093,4663,15,L01-3,2
3374974,3378066,reverse,3093,3093,16,L01-3,2
3479070,3482161,reverse,3093,3092,17,L01-3,2
3869522,3872613,forward,3093,3092,18,L01-3,2
3933211,3936302,reverse,3093,3092,19,L01-3,2
3970181,3973272,forward,3092,3092,20,L01-3,2
5309,8401,forward,3093,3093,0,L01-3,3
480028,483119,reverse,3093,3092,1,L01-3,3
552261,555353,reverse,3093,3093,2,L01-3,3
1045836,1048928,forward,3093,3093,3,L01-3,3
1178397,1181489,forward,3093,3093,4,L01-3,3
1393493,1396585,forward,3093,3093,5,L01-3,3
1487596,1492258,reverse,3093,4663,6,L01-3,3
1564209,1567301,forward,3093,3093,7,L01-3,3
1748725,1751816,reverse,3092,3092,8,L01-3,3
1820157,1823248,reverse,3093,3092,9,L01-3,3
1836333,1839425,forward,3093,3093,10,L01-3,3
1971342,1974433,forward,3093,3092,11,L01-3,3
2289797,2294459,reverse,3093,4663,12,L01-3,3
2386785,2389877,reverse,3093,3093,13,L01-3,3
2501784,2504876,reverse,3093,3093,14,L01-3,3
2801032,2804124,reverse,3093,3093,15,L01-3,3
2939974,2944635,reverse,3092,4662,16,L01-3,3
3133727,3136818,reverse,3093,3092,17,L01-3,3
3342024,3345115,reverse,3093,3092,18,L01-3,3
3443504,3446595,reverse,3093,3092,19,L01-3,3
3829402,3832494,forward,3093,3093,20,L01-3,3
3893092,3896184,reverse,3093,3093,21,L01-3,3
3916543,3919635,forward,3093,3093,22,L01-3,3
476928,480020,reverse,3093,3093,0,L01-4,1
557167,560259,reverse,3093,3093,1,L01-4,1
1187831,1192502,forward,3093,4672,2,L01-4,1
1405123,1408215,forward,3093,3093,3,L01-4,1
1499230,1503892,reverse,3093,4663,4,L01-4,1
1986448,1991110,forward,3093,4663,5,L01-4,1
2306486,2311148,reverse,3093,4663,6,L01-4,1
3373645,3376737,reverse,3093,3093,7,L01-4,1
3866530,3869621,forward,3092,3092,8,L01-4,1
3964094,3968754,forward,3093,4661,9,L01-4,1
476917,480009,reverse,3093,3093,0,L01-4,2
1184730,1189391,forward,3093,4662,1,L01-4,2
1202502,1205594,reverse,3093,3093,2,L01-4,2
1405117,1408209,forward,3093,3093,3,L01-4,2
1499219,1502311,reverse,3093,3093,4,L01-4,2
1826003,1829095,reverse,3093,3093,5,L01-4,2
1987963,1991055,forward,3093,3093,6,L01-4,2
2036862,2039954,reverse,3093,3093,7,L01-4,2
2125417,2128508,reverse,3093,3092,8,L01-4,2
2312630,2317292,reverse,3093,4663,9,L01-4,2
2447253,2450345,forward,3093,3093,10,L01-4,2
2559540,2562632,forward,3093,3093,11,L01-4,2
2752779,2755871,forward,3093,3093,12,L01-4,2
3362628,3365720,reverse,3093,3093,13,L01-4,2
3466600,3471261,forward,3093,4662,14,L01-4,2
3860177,3863269,forward,3093,3093,15,L01-4,2
3957739,3962382,forward,3093,4644,16,L01-4,2
70106,73197,forward,3093,3092,0,L01-4,3
346053,349145,reverse,3093,3093,1,L01-4,3
439603,442695,reverse,3093,3093,2,L01-4,3
443359,446450,forward,3092,3092,3,L01-4,3
487142,490233,reverse,3092,3092,4,L01-4,3
1023411,1026502,forward,3093,3092,5,L01-4,3
1198043,1202704,forward,3093,4662,6,L01-4,3
1215815,1218907,reverse,3093,3093,7,L01-4,3
1418427,1421518,forward,3093,3092,8,L01-4,3
1512524,1517185,reverse,3093,4662,9,L01-4,3
1840874,1843966,reverse,3093,3093,10,L01-4,3
2002830,2005922,forward,3093,3093,11,L01-4,3
2051727,2054818,reverse,3093,3092,12,L01-4,3
2140280,2143371,reverse,3093,3092,13,L01-4,3
2327494,2332154,reverse,3092,4661,14,L01-4,3
2462111,2465203,forward,3093,3093,15,L01-4,3
2572799,2575890,forward,3092,3092,16,L01-4,3
2766044,2769134,forward,3092,3091,17,L01-4,3
2982381,2985473,reverse,3093,3093,18,L01-4,3
3234365,3237457,reverse,3093,3093,19,L01-4,3
3374420,3377511,reverse,3093,3092,20,L01-4,3
3478389,3483050,forward,3093,4662,21,L01-4,3
3870213,3873305,forward,3093,3093,22,L01-4,3
3967770,3972413,forward,3093,4644,23,L01-4,3
1272641,1275733,reverse,3093,3093,0,L02-1,1
1515901,1518992,reverse,3093,3092,1,L02-1,1
1664424,1667516,reverse,3093,3093,2,L02-1,1
2304045,2307136,reverse,3093,3092,3,L02-1,1
2399733,2402825,reverse,3093,3093,4,L02-1,1
2679399,2682491,forward,3093,3093,5,L02-1,1
2919368,2922460,forward,3093,3093,6,L02-1,1
3061028,3064120,reverse,3093,3093,7,L02-1,1
3373301,3376393,forward,3093,3093,8,L02-1,1
3497772,3500863,forward,3093,3092,9,L02-1,1
3697930,3701022,reverse,3093,3093,10,L02-1,1
3810332,3813424,reverse,3093,3093,11,L02-1,1
3829927,3836121,reverse,3093,6195,12,L02-1,1
3896937,3900028,forward,3092,3092,13,L02-1,1
3998555,4001647,reverse,3093,3093,14,L02-1,1
584132,587224,reverse,3093,3093,0,L02-1,2
1235167,1238907,reverse,3093,3741,1,L02-1,2
1279071,1282158,reverse,3104,3088,2,L02-1,2
1522324,1525415,reverse,3093,3092,3,L02-1,2
1670842,1673934,reverse,3093,3093,4,L02-1,2
1757565,1760657,forward,3093,3093,5,L02-1,2
1828966,1832057,reverse,3093,3092,6,L02-1,2
2117380,2120472,reverse,3093,3093,7,L02-1,2
2284963,2288054,reverse,3092,3092,8,L02-1,2
2380648,2383740,reverse,3093,3093,9,L02-1,2
2660312,2663404,forward,3093,3093,10,L02-1,2
2900276,2903368,forward,3093,3093,11,L02-1,2
3040998,3044090,reverse,3093,3093,12,L02-1,2
3353267,3356357,forward,3093,3091,13,L02-1,2
3467697,3470788,forward,3093,3092,14,L02-1,2
3563571,3566663,reverse,3093,3093,15,L02-1,2
3670957,3674049,reverse,3093,3093,16,L02-1,2
3783353,3786445,reverse,3093,3093,17,L02-1,2
3802948,3806689,reverse,3093,3742,18,L02-1,2
3865104,3868195,forward,3093,3092,19,L02-1,2
3965570,3968662,reverse,3093,3093,20,L02-1,2
80916,84007,reverse,3092,3092,0,L02-1,3
445789,448881,reverse,3093,3093,1,L02-1,3
590202,593294,reverse,3093,3093,2,L02-1,3
939234,942326,reverse,3093,3093,3,L02-1,3
1235276,1242117,forward,3092,6842,4,L02-1,3
1251162,1257948,reverse,3092,6787,5,L02-1,3
1456300,1459391,forward,3093,3092,6,L02-1,3
1501195,1504281,reverse,3088,3087,7,L02-1,3
1648320,1651412,reverse,3093,3093,8,L02-1,3
1735043,1738135,forward,3093,3093,9,L02-1,3
1806439,1809530,reverse,3093,3092,10,L02-1,3
1820824,1823915,forward,3092,3092,11,L02-1,3
2250834,2253926,reverse,3093,3093,12,L02-1,3
2346513,2349604,reverse,3093,3092,13,L02-1,3
2414911,2418002,forward,3093,3092,14,L02-1,3
2622274,2625366,forward,3093,3093,15,L02-1,3
2632367,2635457,forward,3093,3091,16,L02-1,3
2872318,2875409,forward,3093,3092,17,L02-1,3
3013028,3016119,reverse,3092,3092,18,L02-1,3
3251778,3256743,forward,3093,4966,19,L02-1,3
3330252,3333344,forward,3093,3093,20,L02-1,3
3444675,3447766,forward,3093,3092,21,L02-1,3
3489570,3492661,reverse,3093,3092,22,L02-1,3
3691013,3694095,forward,3093,3083,23,L02-1,3
3734241,3737981,forward,3093,3741,24,L02-1,3
3830759,3833851,reverse,3093,3093,25,L02-1,3
3938145,3941236,reverse,3093,3092,26,L02-1,3
3966386,3969478,reverse,3093,3093,27,L02-1,3
3985978,3989719,reverse,3093,3742,28,L02-1,3
4048130,4051221,forward,3093,3092,29,L02-1,3
4148589,4151681,reverse,3093,3093,30,L02-1,3
1272641,1275733,reverse,3093,3093,0,L02-2,1
1515901,1518992,reverse,3093,3092,1,L02-2,1
1664424,1667516,reverse,3093,3093,2,L02-2,1
2304045,2307136,reverse,3093,3092,3,L02-2,1
2399733,2402825,reverse,3093,3093,4,L02-2,1
2679399,2682491,forward,3093,3093,5,L02-2,1
2919368,2922460,forward,3093,3093,6,L02-2,1
3061028,3064120,reverse,3093,3093,7,L02-2,1
3373301,3376393,forward,3093,3093,8,L02-2,1
3497772,3500863,forward,3093,3092,9,L02-2,1
3697930,3701022,reverse,3093,3093,10,L02-2,1
3810332,3813424,reverse,3093,3093,11,L02-2,1
3829927,3836121,reverse,3093,6195,12,L02-2,1
3896937,3900028,forward,3092,3092,13,L02-2,1
3998555,4001647,reverse,3093,3093,14,L02-2,1
554073,557814,reverse,3093,3742,0,L02-2,2
770009,773101,forward,3093,3093,1,L02-2,2
1015872,1018964,reverse,3093,3093,2,L02-2,2
1281924,1285016,reverse,3093,3093,3,L02-2,2
1341294,1344386,reverse,3093,3093,4,L02-2,2
1528292,1531384,reverse,3093,3093,5,L02-2,2
1676818,1679910,reverse,3093,3093,6,L02-2,2
1824037,1827129,reverse,3093,3093,7,L02-2,2
2319549,2322641,reverse,3093,3093,8,L02-2,2
2411143,2414235,reverse,3093,3093,9,L02-2,2
2479529,2482621,reverse,3093,3093,10,L02-2,2
2693916,2696983,forward,3093,3068,11,L02-2,2
2830764,2833856,forward,3093,3093,12,L02-2,2
2936966,2940058,forward,3093,3093,13,L02-2,2
3059093,3062185,reverse,3093,3093,14,L02-2,2
3371371,3374463,forward,3093,3093,15,L02-2,2
3495849,3498941,forward,3093,3093,16,L02-2,2
3696010,3699102,reverse,3093,3093,17,L02-2,2
3731737,3734829,forward,3093,3093,18,L02-2,2
3796528,3799620,reverse,3093,3093,19,L02-2,2
3816123,3819215,reverse,3093,3093,20,L02-2,2
3835718,3839459,reverse,3093,3742,21,L02-2,2
3889503,3899446,forward,3093,9944,22,L02-2,2
3910229,3913321,forward,3093,3093,23,L02-2,2
4011399,4014491,reverse,3093,3093,24,L02-2,2
554025,557765,reverse,3093,3741,0,L02-2,3
769939,773031,forward,3093,3093,1,L02-2,3
1015788,1018880,reverse,3093,3093,2,L02-2,3
1281827,1284918,reverse,3093,3092,3,L02-2,3
1341194,1344286,reverse,3093,3093,4,L02-2,3
1528178,1531270,reverse,3093,3093,5,L02-2,3
1676689,1679781,reverse,3093,3093,6,L02-2,3
1823896,1826988,reverse,3093,3093,7,L02-2,3
2200148,2203239,reverse,3093,3092,8,L02-2,3
2230526,2233617,reverse,3093,3092,9,L02-2,3
2444896,2447962,forward,3093,3067,10,L02-2,3
2581729,2584817,forward,3091,3089,11,L02-2,3
2704045,2707137,reverse,3093,3093,12,L02-2,3
2793983,2797075,reverse,3093,3093,13,L02-2,3
2835089,2838180,reverse,3093,3092,14,L02-2,3
2865467,2868558,reverse,3093,3092,15,L02-2,3
3079837,3082903,forward,3093,3067,16,L02-2,3
3216670,3219760,forward,3093,3091,17,L02-2,3
3322866,3325958,forward,3093,3093,18,L02-2,3
3342460,3345552,forward,3093,3093,19,L02-2,3
3405085,3408175,reverse,3092,3091,20,L02-2,3
3440808,3443899,forward,3093,3092,21,L02-2,3
3640960,3644051,reverse,3093,3092,22,L02-2,3
3764740,3767832,reverse,3093,3093,23,L02-2,3
4076989,4080080,forward,3093,3092,24,L02-2,3
4199102,4202843,reverse,3093,3742,25,L02-2,3
4252882,4256623,forward,3093,3742,26,L02-2,3
4267402,4270493,forward,3093,3092,27,L02-2,3
4368563,4371654,reverse,3093,3092,28,L02-2,3
1272641,1275733,reverse,3093,3093,0,L02-3,1
1515901,1518992,reverse,3093,3092,1,L02-3,1
1664424,1667516,reverse,3093,3093,2,L02-3,1
2304045,2307136,reverse,3093,3092,3,L02-3,1
2399733,2402825,reverse,3093,3093,4,L02-3,1
2679399,2682491,forward,3093,3093,5,L02-3,1
2919368,2922460,forward,3093,3093,6,L02-3,1
3061028,3064120,reverse,3093,3093,7,L02-3,1
3373301,3376393,forward,3093,3093,8,L02-3,1
3497772,3500863,forward,3093,3092,9,L02-3,1
3697930,3701022,reverse,3093,3093,10,L02-3,1
3810332,3813424,reverse,3093,3093,11,L02-3,1
3829927,3836121,reverse,3093,6195,12,L02-3,1
3896937,3900028,forward,3092,3092,13,L02-3,1
3998555,4001647,reverse,3093,3093,14,L02-3,1
1045284,1048375,forward,3092,3092,0,L02-3,2
1116876,1119968,forward,3093,3093,1,L02-3,2
1220245,1223336,reverse,3092,3092,2,L02-3,2
1263879,1266970,reverse,3092,3092,3,L02-3,2
1317443,1320535,reverse,3093,3093,4,L02-3,2
1510234,1513326,reverse,3093,3093,5,L02-3,2
1658754,1661846,reverse,3093,3093,6,L02-3,2
2269683,2273424,reverse,3093,3742,7,L02-3,2
2301549,2304641,reverse,3093,3093,8,L02-3,2
2356174,2359265,reverse,3093,3092,9,L02-3,2
2400333,2403425,reverse,3093,3093,10,L02-3,2
2571451,2574541,forward,3092,3091,11,L02-3,2
2663634,2666726,forward,3093,3093,12,L02-3,2
2702713,2705805,forward,3093,3093,13,L02-3,2
2906699,2909790,forward,3092,3092,14,L02-3,2
3048358,3051450,reverse,3093,3093,15,L02-3,2
3360625,3363717,forward,3093,3093,16,L02-3,2
3484592,3487683,forward,3093,3092,17,L02-3,2
3624932,3628024,forward,3093,3093,18,L02-3,2
3687850,3690942,reverse,3093,3093,19,L02-3,2
3780895,3783987,reverse,3093,3093,20,L02-3,2
3800491,3804232,reverse,3093,3742,21,L02-3,2
3865043,3868135,forward,3093,3093,22,L02-3,2
3966655,3969746,reverse,3093,3092,23,L02-3,2
1045226,1048316,forward,3092,3091,0,L02-3,3
1106488,1109579,reverse,3092,3092,1,L02-3,3
1151686,1154777,reverse,3093,3092,2,L02-3,3
1208340,1211432,reverse,3093,3093,3,L02-3,3
1251971,1255062,reverse,3093,3092,4,L02-3,3
1465143,1468235,reverse,3093,3093,5,L02-3,3
1557320,1560412,reverse,3093,3093,6,L02-3,3
1728424,1731515,forward,3093,3092,7,L02-3,3
1761597,1764689,reverse,3093,3093,8,L02-3,3
1910108,1913199,reverse,3093,3092,9,L02-3,3
2448262,2452002,reverse,3092,3741,10,L02-3,3
2524744,2528485,reverse,3093,3742,11,L02-3,3
2556606,2559697,reverse,3093,3092,12,L02-3,3
2611228,2614320,reverse,3093,3093,13,L02-3,3
2630462,2633553,reverse,3093,3092,14,L02-3,3
2801565,2804657,forward,3093,3093,15,L02-3,3
2893742,2896834,forward,3093,3093,16,L02-3,3
2932819,2935909,forward,3092,3091,17,L02-3,3
3136792,3139883,forward,3092,3092,18,L02-3,3
3278439,3281530,reverse,3093,3092,19,L02-3,3
3590677,3593767,forward,3093,3091,20,L02-3,3
3714626,3717718,forward,3093,3093,21,L02-3,3
3854961,3858052,forward,3093,3092,22,L02-3,3
3917876,3920967,reverse,3093,3092,23,L02-3,3
4010913,4014004,reverse,3093,3092,24,L02-3,3
4030503,4034243,reverse,3093,3741,25,L02-3,3
4095050,4098141,forward,3093,3092,26,L02-3,3
4196660,4199751,reverse,3093,3092,27,L02-3,3
1272641,1275733,reverse,3093,3093,0,L02-4,1
1515901,1518992,reverse,3093,3092,1,L02-4,1
1664424,1667516,reverse,3093,3093,2,L02-4,1
2304045,2307136,reverse,3093,3092,3,L02-4,1
2399733,2402825,reverse,3093,3093,4,L02-4,1
2679399,2682491,forward,3093,3093,5,L02-4,1
2919368,2922460,forward,3093,3093,6,L02-4,1
3061028,3064120,reverse,3093,3093,7,L02-4,1
3373301,3376393,forward,3093,3093,8,L02-4,1
3497772,3500863,forward,3093,3092,9,L02-4,1
3697930,3701022,reverse,3093,3093,10,L02-4,1
3810332,3813424,reverse,3093,3093,11,L02-4,1
3829927,3836121,reverse,3093,6195,12,L02-4,1
3896937,3900028,forward,3092,3092,13,L02-4,1
3998555,4001647,reverse,3093,3093,14,L02-4,1
137375,140467,forward,3093,3093,0,L02-4,2
147326,150416,forward,3092,3091,1,L02-4,2
1278710,1281801,reverse,3093,3092,2,L02-4,2
1521967,1525058,reverse,3093,3092,3,L02-4,2
1553757,1556849,reverse,3093,3093,4,L02-4,2
1673590,1676682,reverse,3093,3093,5,L02-4,2
1745605,1748697,forward,3093,3093,6,L02-4,2
2169525,2172617,reverse,3093,3093,7,L02-4,2
2212882,2215974,reverse,3093,3093,8,L02-4,2
2322497,2325589,reverse,3093,3093,9,L02-4,2
2359888,2362979,reverse,3092,3092,10,L02-4,2
2445306,2448397,forward,3093,3092,11,L02-4,2
2578379,2581471,reverse,3093,3093,12,L02-4,2
2645748,2648838,forward,3092,3091,13,L02-4,2
2885710,2888801,forward,3093,3092,14,L02-4,2
3027372,3030465,reverse,3094,3094,15,L02-4,2
3126472,3131288,forward,3092,4817,16,L02-4,2
3317189,3320930,forward,3093,3742,17,L02-4,2
3334461,3337553,forward,3093,3093,18,L02-4,2
3446865,3449956,forward,3093,3092,19,L02-4,2
3612996,3616087,forward,3093,3092,20,L02-4,2
3650127,3653219,reverse,3093,3093,21,L02-4,2
3760953,3764691,reverse,3093,3739,22,L02-4,2
3825505,3828596,forward,3092,3092,23,L02-4,2
3864506,3867598,reverse,3093,3093,24,L02-4,2
3872623,3876363,reverse,3093,3741,25,L02-4,2
3932887,3935978,reverse,3093,3092,26,L02-4,2
137368,140459,forward,3093,3092,0,L02-4,3
183344,188161,forward,3093,4818,1,L02-4,3
601265,604357,forward,3093,3093,2,L02-4,3
1276436,1279527,reverse,3093,3092,3,L02-4,3
1519674,1522765,reverse,3093,3092,4,L02-4,3
1551460,1554551,reverse,3093,3092,5,L02-4,3
1671279,1674370,reverse,3093,3092,6,L02-4,3
1743289,1746376,forward,3093,3088,7,L02-4,3
1828552,1831644,reverse,3093,3093,8,L02-4,3
1925865,1928956,forward,3093,3092,9,L02-4,3
2199651,2202740,forward,3092,3090,10,L02-4,3
2207589,2210680,reverse,3093,3092,11,L02-4,3
2317190,2320279,reverse,3092,3090,12,L02-4,3
2348111,2351203,reverse,3093,3093,13,L02-4,3
2433523,2436611,forward,3089,3089,14,L02-4,3
2529038,2532129,forward,3093,3092,15,L02-4,3
2662098,2665189,reverse,3093,3092,16,L02-4,3
2729462,2732552,forward,3092,3091,17,L02-4,3
2969410,2972500,forward,3092,3091,18,L02-4,3
3111061,3114152,reverse,3092,3092,19,L02-4,3
3193933,3197024,reverse,3092,3092,20,L02-4,3
3261298,3264389,forward,3093,3092,21,L02-4,3
3274653,3279468,forward,3093,4816,22,L02-4,3
3465360,3469099,forward,3092,3740,23,L02-4,3
3482629,3485721,forward,3093,3093,24,L02-4,3
3595018,3598109,forward,3092,3092,25,L02-4,3
3701831,3704922,reverse,3093,3092,26,L02-4,3
3812642,3816381,reverse,3092,3740,27,L02-4,3
3837575,3840667,forward,3093,3093,28,L02-4,3
3869460,3872551,forward,3093,3092,29,L02-4,3
3908459,3911550,reverse,3092,3092,30,L02-4,3
3922193,3925934,reverse,3093,3742,31,L02-4,3
3942439,3945530,forward,3093,3092,32,L02-4,3
3984629,3987720,reverse,3092,3092,33,L02-4,3
207973,211064,forward,3092,3092,0,L03-1,1
1110055,1113147,reverse,3093,3093,1,L03-1,1
1278854,1281946,reverse,3093,3093,2,L03-1,1
1666167,1669258,reverse,3093,3092,3,L03-1,1
1872986,1878156,reverse,3093,5171,4,L03-1,1
2516426,2519518,reverse,3093,3093,5,L03-1,1
2578608,2581700,forward,3093,3093,6,L03-1,1
3420511,3423603,forward,3093,3093,7,L03-1,1
3883981,3887073,reverse,3093,3093,8,L03-1,1
207966,211058,forward,3093,3093,0,L03-1,2
1110019,1113111,reverse,3093,3093,1,L03-1,2
1278816,1281908,reverse,3093,3093,2,L03-1,2
1343658,1346750,forward,3093,3093,3,L03-1,2
1484005,1487097,reverse,3093,3093,4,L03-1,2
1672321,1675413,reverse,3093,3093,5,L03-1,2
1879128,1884298,reverse,3093,5171,6,L03-1,2
2047312,2050403,forward,3092,3092,7,L03-1,2
2398585,2401677,reverse,3093,3093,8,L03-1,2
2528772,2531864,reverse,3093,3093,9,L03-1,2
2590954,2594046,forward,3093,3093,10,L03-1,2
3432837,3435928,forward,3092,3092,11,L03-1,2
3574875,3577966,reverse,3092,3092,12,L03-1,2
3899407,3902499,reverse,3093,3093,13,L03-1,2
207958,211050,forward,3093,3093,0,L03-1,3
455261,458352,reverse,3092,3092,1,L03-1,3
1033972,1037062,forward,3092,3091,2,L03-1,3
1099107,1102199,reverse,3093,3093,3,L03-1,3
1267900,1270992,reverse,3093,3093,4,L03-1,3
1332357,1335448,forward,3093,3092,5,L03-1,3
1461638,1464730,reverse,3093,3093,6,L03-1,3
1649949,1653040,reverse,3093,3092,7,L03-1,3
1856393,1859485,reverse,3093,3093,8,L03-1,3
1917167,1920381,forward,3093,3215,9,L03-1,3
2025716,2028808,forward,3093,3093,10,L03-1,3
2371817,2374907,reverse,3092,3091,11,L03-1,3
2502003,2505095,reverse,3093,3093,12,L03-1,3
2564178,2567270,forward,3093,3093,13,L03-1,3
2963679,2966771,forward,3093,3093,14,L03-1,3
3409132,3412224,forward,3093,3093,15,L03-1,3
3531800,3534892,reverse,3093,3093,16,L03-1,3
3856324,3859415,reverse,3093,3092,17,L03-1,3
