Line,Gen,is_cluster_id,dir,read_name,sseqid,qstart,qend,sstart,send,length,evalue,bitscore,pident
L01-2,2,3,tail,L01-2.2.3.tail,contig_1,6,201,829140,829335,196,2.84e-26,115.0,72.959
L01-2,2,3,tail,L01-2.2.3.tail,contig_1,4,195,2305180,2304959,222,5.1299999999999997e-23,104.0,68.919
L01-2,2,4,head,L01-2.2.4.dir,contig_1,1,297,1158346,1158642,297,2.64e-153,536.0,100.0
L01-2,2,4,tail,L01-2.2.4.tail,contig_1,1,299,1161737,1162035,299,2.17e-154,540.0,100.0
L01-2,2,5,head,L01-2.2.5.dir,contig_1,1,299,1359913,1360211,299,2.17e-154,540.0,100.0
L01-2,2,5,tail,L01-2.2.5.tail,contig_1,1,299,1363306,1363604,299,2.17e-154,540.0,100.0
L01-2,2,6,head,L01-2.2.6.dir,contig_1,1,299,1457116,1457414,299,2.17e-154,540.0,100.0
L01-2,2,6,tail,L01-2.2.6.tail,contig_1,1,299,1462078,1462377,300,3.22e-152,534.0,99.667
L01-2,2,7,head,L01-2.2.7.dir,contig_1,1,299,1949001,1949299,299,2.17e-154,540.0,100.0
L01-2,2,7,tail,L01-2.2.7.tail,contig_1,1,299,1952394,1952692,299,2.17e-154,540.0,100.0
L01-2,2,8,head,L01-2.2.8.dir,contig_1,1,57,2063102,2063158,57,5.1299999999999997e-23,104.0,100.0
L01-2,2,8,tail,L01-2.2.8.tail,contig_1,1,299,535907,536205,299,2.17e-154,540.0,100.0
L01-2,2,8,tail,L01-2.2.8.tail,contig_1,1,299,2066254,2066552,299,2.17e-154,540.0,100.0
L01-2,2,9,head,L01-2.2.9.dir,contig_1,1,299,2093153,2093453,301,1.12e-151,532.0,99.336
L01-2,2,9,tail,L01-2.2.9.tail,contig_1,1,299,2096548,2096846,299,2.17e-154,540.0,100.0
L01-2,2,10,head,L01-2.2.10.dir,contig_1,1,299,2300520,2300818,299,2.17e-154,540.0,100.0
L01-2,2,10,tail,L01-2.2.10.tail,contig_1,1,299,2303914,2304212,299,2.17e-154,540.0,100.0
L01-2,2,10,tail,L01-2.2.10.tail,contig_1,170,297,2516327,2516200,128,3.24e-19,92.4,75.781
L01-2,2,11,head,L01-2.2.11.dir,contig_1,1,299,3372344,3372642,299,2.17e-154,540.0,100.0
L01-2,2,11,head,L01-2.2.11.dir,contig_1,1,59,3076489,3076431,59,2.49e-14,76.1,88.136
L01-2,2,11,tail,L01-2.2.11.tail,contig_1,1,299,3375737,3376035,299,2.17e-154,540.0,100.0
L01-2,2,12,head,L01-2.2.12.dir,contig_1,1,299,3522573,3522870,299,1.12e-151,532.0,99.666
L01-2,2,12,tail,L01-2.2.12.tail,contig_1,1,299,3525965,3526263,299,2.17e-154,540.0,100.0
L01-2,2,13,head,L01-2.2.13.dir,contig_1,1,299,3846185,3846483,299,2.17e-154,540.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,148,299,1161735,1161584,152,1.37e-74,275.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,148,299,1360210,1360361,152,1.37e-74,275.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,148,299,1523722,1523571,152,1.37e-74,275.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,148,299,3846482,3846633,152,1.37e-74,275.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,114,299,3943989,3944178,190,1.37e-74,275.0,92.105
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,480020,479870,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,540682,540832,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,1142290,1142440,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,1143860,1144010,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,1428932,1428782,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,1460506,1460356,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,1462075,1461925,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,1949299,1949449,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,2066251,2066101,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,2093453,2093603,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,2658914,2659064,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,3225227,3225077,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,3375734,3375584,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,3522870,3523020,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,3724357,3724207,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,3769364,3769514,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,3945598,3945748,151,4.7899999999999994e-74,273.0,100.0
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,148,299,2303910,2303760,152,7.11e-72,267.0,99.342
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,535904,535755,151,2.48e-71,265.0,99.338
L01-2,2,13,tail,L01-2.2.13.tail,contig_1,149,299,1522151,1522002,151,2.48e-71,265.0,99.338
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,150,2096398,2096547,150,1.67e-73,271.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,149,477075,476927,149,5.840000000000001e-73,269.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,149,532960,532812,149,5.840000000000001e-73,269.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,149,2063306,2063158,149,5.840000000000001e-73,269.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,149,2661859,2662007,149,5.840000000000001e-73,269.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,149,3525815,3525963,149,5.840000000000001e-73,269.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,149,3948543,3948691,149,5.840000000000001e-73,269.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,151,543626,543776,151,2.04e-72,269.0,99.338
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,151,1425987,1425837,151,2.04e-72,269.0,99.338
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,1146805,1146952,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,1158790,1158643,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,1363156,1363303,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,1457561,1457414,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,1519207,1519060,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,1952244,1952391,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,2300965,2300818,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,3222282,3222135,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,3372789,3372642,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,3721412,3721265,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,3772309,3772456,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,1,148,3849427,3849574,148,2.04e-72,268.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,31,110,246003,246082,80,1.67e-35,145.0,100.0
L01-2,2,14,head,L01-2.2.14.dir,contig_1,31,110,114885,114964,80,7.12e-34,141.0,98.75
L01-2,2,14,head,L01-2.2.14.dir,contig_1,31,110,3535732,3535653,80,1.91e-28,123.0,93.75
L01-2,2,14,tail,L01-2.2.14.tail,contig_1,1,299,3849577,3849875,299,2.17e-154,540.0,100.0
L01-2,2,15,head,L01-2.2.15.dir,contig_1,1,279,3943749,3944027,279,1.56e-143,504.0,100.0
L01-3,1,0,head,L01-3.1.0.dir,contig_1,1,299,479718,480016,299,2.18e-154,540.0,100.0
L01-3,1,0,tail,L01-3.1.0.tail,contig_1,1,299,483111,483409,299,2.18e-154,540.0,100.0
L01-3,1,2,tail,L01-3.1.2.tail,contig_1,1,222,1083321,1083100,222,7.18e-15,77.0,67.568
L01-3,1,3,head,L01-3.1.3.dir,contig_1,1,299,1391191,1391489,299,2.18e-154,540.0,100.0
L01-3,1,3,tail,L01-3.1.3.tail,contig_1,1,299,1394583,1394881,299,2.18e-154,540.0,100.0
L01-3,1,4,head,L01-3.1.4.dir,contig_1,1,299,1485294,1485592,299,2.18e-154,540.0,100.0
L01-3,1,4,tail,L01-3.1.4.tail,contig_1,1,299,1490257,1490555,299,2.18e-154,540.0,100.0
L01-3,1,5,head,L01-3.1.5.dir,contig_1,1,299,1978233,1978531,299,2.18e-154,540.0,100.0
L01-3,1,5,tail,L01-3.1.5.tail,contig_1,1,299,1981625,1981923,299,2.18e-154,540.0,100.0
L01-3,1,6,head,L01-3.1.6.dir,contig_1,1,297,2296685,2296981,297,2.66e-153,536.0,100.0
L01-3,1,6,tail,L01-3.1.6.tail,contig_1,1,299,2301647,2301945,299,2.18e-154,540.0,100.0
L01-3,1,6,tail,L01-3.1.6.tail,contig_1,171,298,2514058,2513931,128,3.26e-19,92.4,75.781
L01-3,1,7,head,L01-3.1.7.dir,contig_1,1,299,3374676,3374974,299,2.18e-154,540.0,100.0
L01-3,1,7,head,L01-3.1.7.dir,contig_1,1,59,3081948,3081890,59,2.51e-14,76.1,88.136
L01-3,1,7,tail,L01-3.1.7.tail,contig_1,1,299,3378069,3378367,299,2.18e-154,540.0,100.0
L01-3,1,7,tail,L01-3.1.7.tail,contig_1,1,228,551015,551242,228,7.670000000000001e-21,96.9,69.298
L01-3,1,8,head,L01-3.1.8.dir,contig_1,1,299,3869224,3869522,299,2.18e-154,540.0,100.0
L01-3,1,8,tail,L01-3.1.8.tail,contig_1,1,299,3872616,3872914,299,9.28e-153,535.0,99.666
L01-3,1,9,head,L01-3.1.9.dir,contig_1,1,299,3969883,3970181,299,2.18e-154,540.0,100.0
L01-3,1,9,tail,L01-3.1.9.tail,contig_1,1,299,3973275,3973573,299,2.18e-154,540.0,100.0
L01-3,2,0,head,L01-3.2.0.dir,contig_1,1,299,5011,5309,299,2.15e-154,540.0,100.0
L01-3,2,0,tail,L01-3.2.0.tail,contig_1,1,299,8404,8702,299,2.15e-154,540.0,100.0
L01-3,2,1,head,L01-3.2.1.dir,contig_1,1,299,479730,480028,299,2.15e-154,540.0,100.0
L01-3,2,1,tail,L01-3.2.1.tail,contig_1,1,299,483122,483420,299,2.15e-154,540.0,100.0
L01-3,2,2,head,L01-3.2.2.dir,contig_1,1,299,551963,552261,299,2.15e-154,540.0,100.0
L01-3,2,2,tail,L01-3.2.2.tail,contig_1,1,299,555356,555654,299,2.15e-154,540.0,100.0
L01-3,2,3,head,L01-3.2.3.dir,contig_1,1,299,1178099,1178397,299,2.15e-154,540.0,100.0
L01-3,2,3,head,L01-3.2.3.dir,contig_1,76,246,1175377,1175547,171,6.6299999999999995e-28,120.0,75.439
L01-3,2,3,tail,L01-3.2.3.tail,contig_1,1,299,1181492,1181790,299,2.15e-154,540.0,100.0
L01-3,2,4,head,L01-3.2.4.dir,contig_1,1,299,1393195,1393493,299,2.15e-154,540.0,100.0
L01-3,2,4,tail,L01-3.2.4.tail,contig_1,1,299,1396588,1396886,299,2.15e-154,540.0,100.0
L01-3,2,5,head,L01-3.2.5.dir,contig_1,1,299,1487298,1487596,299,2.15e-154,540.0,100.0
L01-3,2,5,tail,L01-3.2.5.tail,contig_1,1,299,1492261,1492560,300,3.1999999999999997e-152,534.0,99.667
L01-3,2,6,head,L01-3.2.6.dir,contig_1,1,299,1563911,1564209,299,2.15e-154,540.0,100.0
L01-3,2,6,head,L01-3.2.6.dir,contig_1,82,190,1281198,1281307,110,8.63e-14,74.3,75.455
L01-3,2,6,head,L01-3.2.6.dir,contig_1,131,211,1551347,1551427,82,8.63e-14,74.3,81.707
L01-3,2,6,head,L01-3.2.6.dir,contig_1,82,188,1467792,1467685,110,8.63e-14,73.4,76.364
L01-3,2,7,head,L01-3.2.7.dir,contig_1,1,299,1748427,1748725,299,2.15e-154,540.0,100.0
L01-3,2,7,tail,L01-3.2.7.tail,contig_1,1,299,1751819,1752117,299,2.15e-154,540.0,100.0
L01-3,2,8,head,L01-3.2.8.dir,contig_1,1,299,1819859,1820157,299,2.15e-154,540.0,100.0
L01-3,2,8,tail,L01-3.2.8.tail,contig_1,1,299,1823251,1823549,299,2.15e-154,540.0,100.0
L01-3,2,9,head,L01-3.2.9.dir,contig_1,1,124,1836212,1836335,124,2.16e-59,224.0,100.0
L01-3,2,9,tail,L01-3.2.9.tail,contig_1,1,299,1848275,1848573,299,2.15e-154,540.0,100.0
L01-3,2,10,head,L01-3.2.10.dir,contig_1,1,298,1931957,1932254,298,7.52e-154,538.0,100.0
L01-3,2,10,tail,L01-3.2.10.tail,contig_1,1,299,1932248,1932546,299,2.15e-154,540.0,100.0
L01-3,2,11,tail,L01-3.2.11.tail,contig_1,1,299,1974436,1974734,299,2.15e-154,540.0,100.0
L01-3,2,12,head,L01-3.2.12.dir,contig_1,1,299,2289499,2289797,299,2.15e-154,540.0,100.0
L01-3,2,12,tail,L01-3.2.12.tail,contig_1,171,298,2501545,2501418,128,3.22e-19,92.4,75.781
L01-3,2,13,head,L01-3.2.13.dir,contig_1,1,299,2501486,2501784,299,2.15e-154,540.0,100.0
L01-3,2,13,tail,L01-3.2.13.tail,contig_1,1,299,2504879,2505178,300,3.1999999999999997e-152,534.0,99.667
L01-3,2,14,head,L01-3.2.14.dir,contig_1,1,299,2800734,2801032,299,2.15e-154,540.0,100.0
L01-3,2,14,tail,L01-3.2.14.tail,contig_1,1,299,2804127,2804425,299,2.15e-154,540.0,100.0
L01-3,2,15,head,L01-3.2.15.dir,contig_1,1,299,2939676,2939974,299,2.15e-154,540.0,100.0
L01-3,2,15,tail,L01-3.2.15.tail,contig_1,1,299,2944638,2944936,299,2.15e-154,540.0,100.0
L01-3,2,16,head,L01-3.2.16.dir,contig_1,1,59,3069451,3069393,59,2.47e-14,76.1,88.136
L01-3,2,16,tail,L01-3.2.16.tail,contig_1,1,228,551025,551252,228,7.56e-21,96.9,69.298
L01-3,2,17,head,L01-3.2.17.dir,contig_1,1,299,3443206,3443504,299,2.15e-154,540.0,100.0
L01-3,2,17,tail,L01-3.2.17.tail,contig_1,1,299,3446598,3446896,299,2.15e-154,540.0,100.0
L01-3,2,18,tail,L01-3.2.18.tail,contig_1,1,299,3832497,3832795,299,2.15e-154,540.0,100.0
L01-3,2,19,head,L01-3.2.19.dir,contig_1,1,299,3892794,3893092,299,2.15e-154,540.0,100.0
L01-3,2,20,head,L01-3.2.20.dir,contig_1,1,299,3916245,3916543,299,2.15e-154,540.0,100.0
L01-3,2,20,tail,L01-3.2.20.tail,contig_1,1,299,3919638,3919936,299,2.15e-154,540.0,100.0
L01-4,1,0,head,L01-4.1.0.dir,contig_1,1,299,476619,476917,299,2.18e-154,540.0,100.0
L01-4,1,0,tail,L01-4.1.0.tail,contig_1,1,299,480012,480310,299,2.18e-154,540.0,100.0
L01-4,1,1,head,L01-4.1.1.dir,contig_1,1,298,556858,557155,298,7.6e-154,538.0,100.0
L01-4,1,1,tail,L01-4.1.1.tail,contig_1,1,299,557149,557446,299,1.13e-151,532.0,99.666
L01-4,1,2,head,L01-4.1.2.dir,contig_1,1,298,1184423,1184720,298,7.6e-154,538.0,100.0
L01-4,1,2,tail,L01-4.1.2.tail,contig_1,1,299,1202499,1202201,299,2.18e-154,540.0,100.0
L01-4,1,2,tail,L01-4.1.2.tail,contig_1,1,222,1085427,1085206,222,7.16e-15,77.0,67.568
L01-4,1,3,head,L01-4.1.3.dir,contig_1,1,299,1404819,1405117,299,2.18e-154,540.0,100.0
L01-4,1,3,tail,L01-4.1.3.tail,contig_1,1,299,1408212,1408510,299,2.18e-154,540.0,100.0
L01-4,1,4,head,L01-4.1.4.dir,contig_1,1,299,1498921,1499219,299,2.18e-154,540.0,100.0
L01-4,1,4,tail,L01-4.1.4.tail,contig_1,1,299,1502314,1502612,299,2.18e-154,540.0,100.0
L01-4,1,5,head,L01-4.1.5.dir,contig_1,1,299,1987665,1987963,299,2.18e-154,540.0,100.0
L01-4,1,5,tail,L01-4.1.5.tail,contig_1,1,299,1991058,1991356,299,2.18e-154,540.0,100.0
L01-4,1,6,head,L01-4.1.6.dir,contig_1,1,299,2312332,2312630,299,2.18e-154,540.0,100.0
L01-4,1,6,tail,L01-4.1.6.tail,contig_1,171,298,2506362,2506235,128,3.25e-19,92.4,75.781
